"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","2e46f9be10f6c3fe32646ff7213f9a80843c7e41",9321,"Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"2","f0d09d00944b2ba48b61b4bbecb2e738c3cb8b16",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"3","290d16fbe14c5c0b729585bcec94ae20e2a66f29",2759,"Eukaryota","superkingdom",0.9995,"","","","","","",""
"4","3eefc5e18d830ebe40ddf1bf64cc1413263fd166",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"5","f010a3a4207f74263d7a795942748d4ff7a45473",33154,"Opisthokonta","no rank",0.9999,"","","","","","",""
"6","1a4d033040facccab99968e4873776cf5a27decf",33154,"Opisthokonta","no rank",1,"","","","","","",""
"7","8fb325a2f46b11c4b933958d5f57d7a417c9c11c",54970,"Chironominae","subfamily",0.9009,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"8","6fe4801a3caa0ed7d9bbae761dce12731007a8e6",1,"root","no rank",1,"","","","","","",""
"9","6fd8f7e5bfd941d475e6bec6ef361dedbfd85a6b",1,"root","no rank",1,"","","","","","",""
"10","9d61965c40b9f40342adf7d0a45e19b8642052bf",1,"root","no rank",1,"","","","","","",""
"11","59f11a7c5b1f4d776af7f087b691274ec5b698c2",1,"root","no rank",NA,"","","","","","",""
"12","0b7018f74389933bbafb8bed6d263b8724a5dafb",33154,"Opisthokonta","no rank",1,"","","","","","",""
"13","8ba7caf9cd4a6f71829b39eaf8efb20da9c1d279",33154,"Opisthokonta","no rank",0.986,"","","","","","",""
"14","436edc9b91d0d3ba5b28a995dece578e0177d672",117571,"Euteleostomi","no rank",0.9137,"Metazoa","Chordata","","","","",""
"15","3324b2782422ef70c5edd2da4275ab7fcc9772dc",33317,"Protostomia","no rank",0.9999,"Metazoa","","","","","",""
"16","bd907eebe8c54fc35994d00b3318b898ebb79a51",2836,"Bacillariophyta","phylum",0.9995,"","Bacillariophyta","","","","",""
"17","3272f6c9cbaba73c474997e87357c22dcce92239",33213,"Bilateria","no rank",0.9039,"Metazoa","","","","","",""
"18","291580f0a5c0525dd318d191e58b4e4157a42017",1,"root","no rank",1,"","","","","","",""
"19","7c4dc16d44ed404a1a5b9710ead57ee62a27b279",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"20","a18a9f63ac76c82f14d68274c496162d694c673f",4783,"Phytophthora","genus",NA,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"21","8ed52d9ad4e39f2a623f95541f35d31b84f27438",2759,"Eukaryota","superkingdom",0.9942,"","","","","","",""
"22","fa44dd30c2e11c0ffc58c3c32d9872c06dcf8354",33317,"Protostomia","no rank",0.9999,"Metazoa","","","","","",""
"23","e7f0b0eb33e7dd62287b932e3ae5da9c0ed09657",6088,"Hydra oligactis","species",NA,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra oligactis"
"24","bc02f2a31dc3341d916070e2a69ca7f2840c46a6",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"25","a6e5b80ad88f8f7a23de07dfd414d57f84636753",1,"root","no rank",1,"","","","","","",""
"26","662d98e7f8d28c7805b6180ae8b37268e203a3fe",1,"root","no rank",1,"","","","","","",""
"27","4cbe1a271087f215d4d5649deb204edc548d18a1",1,"root","no rank",1,"","","","","","",""
