creek,location,day,month,year,time,temp.C,hour,minute
Portage,downstream,10,3,2021,9:30,4.3,9,30
Portage,upstream,10,3,2021,10:15,4.63,10,15
Squalicum,downstream,10,3,2021,12:45,5.77,12,45
Squalicum,upstream,10,3,2021,13:15,5.86,13,15
Padden,downstream,10,3,2021,14:40,6.79,14,40
Padden,upstream_11,10,3,2021,15:00,6.74,15,0
Padden,upstream_5,10,3,2021,15:50,6.63,15,50
Chuckanut,downstream,10,3,2021,16:30,6.27,16,30
Chuckanut,upstream,10,3,2021,17:15,6.19,17,15
Barnes,downstream,10,3,2021,17:50,5.98,17,50
Barnes,upstream,10,3,2021,18:20,6.4,18,20
Portage,downstream,8,4,2021,9:30,6.61,9,30
Portage,upstream,8,4,2021,10:55,6.66,10,55
Squalicum,downstream,8,4,2021,16:30,7.38,16,30
Squalicum,upstream,8,4,2021,16:30,7.48,16,30
Padden,downstream,8,4,2021,14:30,9.43,14,30
Padden,upstream_11,8,4,2021,15:30,9.55,15,30
Padden,upstream_5,8,4,2021,15:45,9.73,15,45
Chuckanut,downstream,8,4,2021,12:10,6.29,12,10
Chuckanut,upstream,8,4,2021,12:25,6.32,12,25
Barnes,downstream,8,4,2021,11:05,5.78,11,5
Barnes,upstream,8,4,2021,11:30,5.87,11,30
Portage,downstream,10,5,2021,9:20,8.91,9,20
Portage,upstream,10,5,2021,9:40,9.01,9,40
Squalicum,downstream,10,5,2021,15:30,11.13,15,30
Squalicum,upstream,10,5,2021,16:00,11.14,16,0
Padden,downstream,10,5,2021,14:00,14.2,14,0
Padden,upstream_11,10,5,2021,14:15,13.56,14,15
Padden,upstream_5,10,5,2021,14:45,13.49,14,45
Chuckanut,downstream,10,5,2021,11:45,9.76,11,45
Chuckanut,upstream,10,5,2021,12:00,9.81,12,0
Barnes,downstream,10,5,2021,10:45,9.53,10,45
Barnes,upstream,10,5,2021,11:15,8.48,11,15
Portage,downstream,11,6,2021,9:45,11.44,9,45
Portage,upstream,11,6,2021,10:15,11.51,10,15
