Sequencing.run,Sample.number,Sample.name,Index.number,i7_Index_Name,i5_Index_Name,Well,Locus,Creek,Station,Bio.rep,Month.year,Dilution.factor,Type
1,52,PrtDn1.0321,54,UDP0054,UDP0054,F7,LerayXT,Prt,Dn,1,321,10,sample
1,53,PrtDn2.0321,55,UDP0055,UDP0055,G7,LerayXT,Prt,Dn,2,321,10,sample
1,54,PrtDn3.0321,56,UDP0056,UDP0056,H7,LerayXT,Prt,Dn,3,321,10,sample
1,55,PrtUp1.0321,57,UDP0057,UDP0057,A8,LerayXT,Prt,Up,1,321,10,sample
1,56,PrtUp2.0321,58,UDP0058,UDP0058,B8,LerayXT,Prt,Up,2,321,10,sample
1,57,PrtUp3.0321,59,UDP0059,UDP0059,C8,LerayXT,Prt,Up,3,321,10,sample
1,58,SqmDn1.0321,60,UDP0060,UDP0060,D8,LerayXT,Sqm,Dn,1,321,1,sample
1,59,SqmDn2.0321,61,UDP0061,UDP0061,E8,LerayXT,Sqm,Dn,2,321,1,sample
1,60,SqmDn3.0321,62,UDP0062,UDP0062,F8,LerayXT,Sqm,Dn,3,321,1,sample
1,61,SqmUp1.0321,63,UDP0063,UDP0063,G8,LerayXT,Sqm,Up,1,321,1,sample
1,62,SqmUp2.0321,64,UDP0064,UDP0064,H8,LerayXT,Sqm,Up,2,321,1,sample
1,63,SqmUp3.0321,65,UDP0065,UDP0065,A9,LerayXT,Sqm,Up,3,321,1,sample
1,64,PadDn4.0321,66,UDP0066,UDP0066,B9,LerayXT,Pad,Dn,1,321,1,sample
1,65,PadDn5.0321,67,UDP0067,UDP0067,C9,LerayXT,Pad,Dn,2,321,1,sample
1,66,PadDn6.0321,68,UDP0068,UDP0068,D9,LerayXT,Pad,Dn,3,321,1,sample
1,67,PadUp5.4.0321,69,UDP0069,UDP0069,E9,LerayXT,Pad,Up5,1,321,1,sample
1,68,PadUp5.5.0321,70,UDP0070,UDP0070,F9,LerayXT,Pad,Up5,2,321,1,sample
1,69,PadUp5.6.0321,71,UDP0071,UDP0071,G9,LerayXT,Pad,Up5,3,321,1,sample
1,70,ChkDn1.0321,72,UDP0072,UDP0072,H9,LerayXT,Chk,Dn,1,321,1,sample
1,71,ChkDn2.0321,73,UDP0073,UDP0073,A10,LerayXT,Chk,Dn,2,321,1,sample
1,72,ChkDn3.0321,74,UDP0074,UDP0074,B10,LerayXT,Chk,Dn,3,321,1,sample
1,73,ChkUp1.0321,75,UDP0075,UDP0075,C10,LerayXT,Chk,Up,1,321,1,sample
1,74,ChkUp2.0321,76,UDP0076,UDP0076,D10,LerayXT,Chk,Up,2,321,1,sample
1,75,ChkUp3.0321,77,UDP0077,UDP0077,E10,LerayXT,Chk,Up,3,321,1,sample
1,76,BrnDn1.0321,78,UDP0078,UDP0078,F10,LerayXT,Brn,Dn,1,321,1,sample
1,77,BrnDn2.0321,79,UDP0079,UDP0079,G10,LerayXT,Brn,Dn,2,321,1,sample
1,78,BrnDn3.0321,80,UDP0080,UDP0080,H10,LerayXT,Brn,Dn,3,321,1,sample
1,79,BrnUp1.0321,81,UDP0081,UDP0081,A11,LerayXT,Brn,Up,1,321,1,sample
1,80,BrnUp2.0321,82,UDP0082,UDP0082,B11,LerayXT,Brn,Up,2,321,1,sample
1,81,BrnUp3.0321,83,UDP0083,UDP0083,C11,LerayXT,Brn,Up,3,321,1,sample
1,82,PadDn1.0421,84,UDP0084,UDP0084,D11,LerayXT,Pad,Dn,1,421,1,sample
1,83,PadDn2.0421,85,UDP0085,UDP0085,E11,LerayXT,Pad,Dn,2,421,1,sample
1,84,PadDn3.0421,86,UDP0086,UDP0086,F11,LerayXT,Pad,Dn,3,421,1,sample
1,85,PadUp5.1.0421,87,UDP0087,UDP0087,G11,LerayXT,Pad,Up5,1,421,1,sample
1,86,PadUp5.2.0421,88,UDP0088,UDP0088,H11,LerayXT,Pad,Up5,2,421,1,sample
1,87,PadUp5.3.0421,89,UDP0089,UDP0089,A12,LerayXT,Pad,Up5,3,421,1,sample
1,88,PadUp11.4.0321,90,UDP0090,UDP0090,B12,LerayXT,Pad,Up11,1,321,1,sample
1,89,PadUp11.5.0321,91,UDP0091,UDP0091,C12,LerayXT,Pad,Up11,2,321,1,sample
1,90,PadUp11.6.0321,92,UDP0092,UDP0092,D12,LerayXT,Pad,Up11,3,321,1,sample
1,91,SqmDn1.0321-TR-POOL,93,UDP0093,UDP0093,E12,LerayXT,Sqm,Dn1,4,321,1,tech_rep
1,92,SqmDn2.0321-TR-POOL,94,UDP0094,UDP0094,F12,LerayXT,Sqm,Dn2,5,321,1,tech_rep
1,93,SqmDn3.0321-TR-POOL,95,UDP0095,UDP0095,G12,LerayXT,Sqm,Dn3,6,321,1,tech_rep
1,94,Kangaroo,96,UDP0096,UDP0096,H12,LerayXT,Kangaroo,Kangaroo,1,321,1,kangaroo
