Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
52,LerayXT,173469,160542,158321,158384,154289,154289,153546
53,LerayXT,190161,174267,171929,154744,148673,148673,148182
54,LerayXT,147591,135626,132437,132613,127941,127941,127590
55,LerayXT,193406,178018,173252,172829,165997,165997,165194
56,LerayXT,204963,189460,184956,185115,178376,178376,177829
57,LerayXT,183610,168635,165158,165243,159590,159590,158999
58,LerayXT,200068,189270,183060,183532,179045,179045,178056
59,LerayXT,152655,140885,134900,131726,125717,125717,125308
60,LerayXT,198449,185279,178322,176157,168788,168788,168251
61,LerayXT,152460,144432,138488,138785,134737,134737,134032
62,LerayXT,172863,161195,154531,154248,148048,148048,147257
63,LerayXT,194458,180881,174223,171374,164300,164300,163780
64,LerayXT,151037,140598,134934,135253,130661,130661,128860
65,LerayXT,179943,170548,164309,164981,158868,158868,156027
66,LerayXT,168422,155400,148823,148935,142991,142991,142182
67,LerayXT,78310,72151,68646,68349,65403,65403,65080
68,LerayXT,181597,168924,163306,162616,156581,156581,155483
69,LerayXT,157794,145723,140532,139753,134515,134515,133280
70,LerayXT,181634,167014,156941,157236,144753,144753,144040
71,LerayXT,181509,168577,162259,162370,153841,153841,153174
72,LerayXT,203570,189455,183994,183860,175709,175709,174741
73,LerayXT,204216,189469,181837,181455,171390,171390,170681
74,LerayXT,135340,125867,120278,119684,112991,112991,112671
75,LerayXT,203902,190892,184408,184084,174699,174699,173982
76,LerayXT,174268,161565,155984,156237,149696,149696,146338
77,LerayXT,208774,193950,189719,190095,183736,183736,180907
78,LerayXT,142835,131931,126870,126621,120856,120856,119279
79,LerayXT,181582,168103,163502,163888,159171,159171,158859
80,LerayXT,175477,160512,157872,157906,156722,156722,156570
81,LerayXT,214096,197997,192883,193256,187683,187683,186693
82,LerayXT,171962,159439,154134,151917,146512,146512,140112
83,LerayXT,158746,148186,143195,142899,138210,138210,134050
84,LerayXT,143076,134424,129715,129338,125589,125589,122127
85,LerayXT,214407,199446,194068,193872,188352,188352,178319
86,LerayXT,185084,170853,165816,165204,160327,160327,152513
87,LerayXT,137154,127883,123475,122994,119311,119311,114556
88,LerayXT,179439,165417,160155,159325,153876,153876,149929
89,LerayXT,116497,107342,102449,101952,97872,97872,97203
90,LerayXT,107747,99857,94589,94636,90504,90504,89872
91,LerayXT,197851,185327,178507,178937,173609,173609,172998
92,LerayXT,202636,187364,180757,176501,168873,168873,168306
93,LerayXT,210635,195776,188128,185801,177397,177397,176856
94,LerayXT,192377,177245,176869,176901,176023,176023,175882
