Sample_name,Locus,Hash,nReads
3,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,64047
3,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,15886
3,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,451
3,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,19039
3,MiFish,de42666eb0e70e73c99b1061e5e4bfe4477204b5,1194
3,MiFish,a786ab2b4d6cd6be5394f1351bea438a7d35726e,3
3,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,419
3,MiFish,f2a25ce492a30a4768da727b9f52dd7dbc9c9c3f,566
3,MiFish,356c9e8e032ccd933d99e6e70be0f03d79687d91,113
3,MiFish,1021f08c37be8ab7acfc3b1369d11401d292d3c4,71
1,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,67573
1,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,11188
1,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,44459
1,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,6
4,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,103665
4,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,11647
4,MiFish,ed6e1448c045fb5baaa6842d6fa9fbe45fe3925a,23
4,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,139
4,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,204
4,MiFish,097a152c219da9af2fd576074865eb81e7bfd7c2,604
4,MiFish,406aec86258ef8821827fb46e2447a9aa2885cec,28
4,MiFish,d6d7333ba5d29b5c2437d8be4ef0426e4b543437,304
4,MiFish,1553e093118bdc22bdbfed5138b635e4c772dc57,4
4,MiFish,d28d58671c4bd7f584dc466797f8506402aaab73,8
4,MiFish,a2b7fece79c7ab965dca6a5152dfee4964bb8432,4
4,MiFish,53fa4c2e1a9e52a473d008006046e1c7e5e41680,3
2,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,27648
2,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,17842
2,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,52574
2,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,10023
2,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1935
2,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,689
2,MiFish,30653d8276bc10f8ff41fe57c6a7ea5092df4092,340
5,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,113255
5,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,9274
5,MiFish,94b310b913e0d26c0720e1775a3f2a7f2dd6af18,1130
5,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,7
5,MiFish,f78e25ea3cd72ae2175b33d8fe81e921b6cc36bd,403
5,MiFish,406aec86258ef8821827fb46e2447a9aa2885cec,110
5,MiFish,aeef90d9e99a45da1b57e61c1977a4566c19da06,67
5,MiFish,bc56a2be1b74b1bbd5ef45d8c2af3aea3efbb54f,44
5,MiFish,97a550a41a291f4645061c2e3f02a91c3d4de78b,25
5,MiFish,7b095283528423b1de9940f88390c0332c7eb62a,7
5,MiFish,2c3b41bc33873447b7d6461d388b45280a0f9257,6
5,MiFish,2383aafd73654b7dd43e4a5c2b3e4dc1602ec6cd,5
5,MiFish,6584397abbb1a719da61222a58dbf154c541f9b7,3
5,MiFish,91bfb3166d8b56e0b68388af68ce147de5f0e05b,2
6,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,122161
6,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,7196
6,MiFish,de42666eb0e70e73c99b1061e5e4bfe4477204b5,5816
6,MiFish,31adf9b0bfe620438b8e730fd474cc27e61c3cc4,6596
6,MiFish,406aec86258ef8821827fb46e2447a9aa2885cec,168
6,MiFish,4748ac7f3909734e514c31c438cb533bdf7b9f91,130
6,MiFish,43afbf035a485da4e140ca46d2c826d53440f5cb,14
6,MiFish,e31692ff1b969276eaaeda69d89bd0730718590a,13
6,MiFish,0441b212707ec0e2de05c37c6f776f367dc32c2c,9
6,MiFish,70381ab8527d8accf1296bca4cc2854330c1ab9b,3
7,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,44665
7,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,4474
7,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,39397
7,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,2571
7,MiFish,de42666eb0e70e73c99b1061e5e4bfe4477204b5,15611
7,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1867
7,MiFish,8e5fb424831d8863aa9ddae5847022470ba0f1a9,1495
7,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,26
8,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,57792
8,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,3881
8,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,51604
8,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,2681
8,MiFish,de42666eb0e70e73c99b1061e5e4bfe4477204b5,2052
8,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,58
8,MiFish,1b0a7e6eae9c451c3bf3a636331436d5cb037572,69
8,MiFish,3d7dbd8dc77990c523533b32f6d59133a76add40,13
9,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,21599
9,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,5024
9,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,68816
9,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,6168
9,MiFish,de42666eb0e70e73c99b1061e5e4bfe4477204b5,13528
9,MiFish,94b310b913e0d26c0720e1775a3f2a7f2dd6af18,719
9,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1932
9,MiFish,c6d586dc78d8ef5cac238cba2d5714407775bd69,224
9,MiFish,d665a22273eb050425814dad353904c8b09a1f31,8
9,MiFish,4be671e1ce0da6b1505cf3f3cbe98a49c6d2d7ff,5
9,MiFish,23c619d6fffd998ebd33fc4a32feda91287ea49e,4
