Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
3,MiFish,103822,102346,102328,102282,102209,102209,101789
1,MiFish,125755,123714,123694,123712,123427,123427,123226
4,MiFish,119737,117544,117493,117530,117181,117181,116633
2,MiFish,114558,112424,112384,112397,112340,112340,111051
5,MiFish,126936,125287,125252,125266,124867,124867,124338
6,MiFish,145802,143733,143617,143688,143098,143098,142106
7,MiFish,118367,116355,116302,116324,115995,115995,110106
8,MiFish,127315,125342,125338,125310,125283,125283,118150
9,MiFish,123601,121231,121208,121204,120907,120907,118030
10,MiFish,124829,122553,122522,122548,122387,122387,121332
11,MiFish,124079,121912,121868,121873,121699,121699,120166
12,MiFish,97992,96316,96286,96297,96200,96200,93585
13,MiFish,129781,127465,127458,127464,127400,127400,127400
14,MiFish,119317,117091,117063,117084,116083,116083,116083
15,MiFish,118212,116071,116040,116064,114876,114876,114871
16,MiFish,167674,164343,164288,164330,162522,162522,162461
17,MiFish,157733,154663,154540,154471,153397,153397,152623
18,MiFish,131903,128688,128429,128092,126081,126081,122246
