Sample_name,Locus,file1,file2
3,MiFish,Locus_MiFish_3_S3_L001_R1_001.fastq,Locus_MiFish_3_S3_L001_R2_001.fastq
1,MiFish,Locus_MiFish_1_S1_L001_R1_001.fastq,Locus_MiFish_1_S1_L001_R2_001.fastq
4,MiFish,Locus_MiFish_4_S4_L001_R1_001.fastq,Locus_MiFish_4_S4_L001_R2_001.fastq
2,MiFish,Locus_MiFish_2_S2_L001_R1_001.fastq,Locus_MiFish_2_S2_L001_R2_001.fastq
5,MiFish,Locus_MiFish_5_S5_L001_R1_001.fastq,Locus_MiFish_5_S5_L001_R2_001.fastq
6,MiFish,Locus_MiFish_6_S6_L001_R1_001.fastq,Locus_MiFish_6_S6_L001_R2_001.fastq
7,MiFish,Locus_MiFish_7_S7_L001_R1_001.fastq,Locus_MiFish_7_S7_L001_R2_001.fastq
8,MiFish,Locus_MiFish_8_S8_L001_R1_001.fastq,Locus_MiFish_8_S8_L001_R2_001.fastq
9,MiFish,Locus_MiFish_9_S9_L001_R1_001.fastq,Locus_MiFish_9_S9_L001_R2_001.fastq
10,MiFish,Locus_MiFish_10_S10_L001_R1_001.fastq,Locus_MiFish_10_S10_L001_R2_001.fastq
11,MiFish,Locus_MiFish_11_S11_L001_R1_001.fastq,Locus_MiFish_11_S11_L001_R2_001.fastq
12,MiFish,Locus_MiFish_12_S12_L001_R1_001.fastq,Locus_MiFish_12_S12_L001_R2_001.fastq
13,MiFish,Locus_MiFish_13_S13_L001_R1_001.fastq,Locus_MiFish_13_S13_L001_R2_001.fastq
14,MiFish,Locus_MiFish_14_S14_L001_R1_001.fastq,Locus_MiFish_14_S14_L001_R2_001.fastq
15,MiFish,Locus_MiFish_15_S15_L001_R1_001.fastq,Locus_MiFish_15_S15_L001_R2_001.fastq
16,MiFish,Locus_MiFish_16_S16_L001_R1_001.fastq,Locus_MiFish_16_S16_L001_R2_001.fastq
17,MiFish,Locus_MiFish_17_S17_L001_R1_001.fastq,Locus_MiFish_17_S17_L001_R2_001.fastq
18,MiFish,Locus_MiFish_18_S18_L001_R1_001.fastq,Locus_MiFish_18_S18_L001_R2_001.fastq
