Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
19,MiMammal,137810,135559,135541,135527,134388,134388,133812
20,MiMammal,111714,109628,109492,109619,108865,108865,108820
21,MiMammal,116864,114858,114701,114844,113935,113935,113617
22,MiMammal,121123,118854,118769,118760,116616,116616,116593
23,MiMammal,146520,143105,142974,142951,141558,141558,138480
24,MiMammal,131490,129087,128947,128991,127342,127342,127015
25,MiMammal,118631,115484,115467,115434,115252,115252,115243
26,MiMammal,145612,142869,142800,142837,141970,141970,141800
27,MiMammal,135636,133132,133116,133117,132746,132746,132561
28,MiMammal,123373,121086,121067,121070,119748,119748,119735
29,MiMammal,134589,131672,131455,131496,130670,130670,130347
30,MiMammal,115536,113302,113283,113190,111483,111483,111366
31,MiMammal,170809,167116,166780,166915,164666,164666,162890
32,MiMammal,174781,171232,171134,170685,167998,167998,167088
33,MiMammal,178295,172948,171443,171587,162695,162695,157774
