Sample_name,Locus,file1,file2
19,MiMammal,Locus_MiMammal_19_S19_L001_R1_001.fastq,Locus_MiMammal_19_S19_L001_R2_001.fastq
20,MiMammal,Locus_MiMammal_20_S20_L001_R1_001.fastq,Locus_MiMammal_20_S20_L001_R2_001.fastq
21,MiMammal,Locus_MiMammal_21_S21_L001_R1_001.fastq,Locus_MiMammal_21_S21_L001_R2_001.fastq
22,MiMammal,Locus_MiMammal_22_S22_L001_R1_001.fastq,Locus_MiMammal_22_S22_L001_R2_001.fastq
23,MiMammal,Locus_MiMammal_23_S23_L001_R1_001.fastq,Locus_MiMammal_23_S23_L001_R2_001.fastq
24,MiMammal,Locus_MiMammal_24_S24_L001_R1_001.fastq,Locus_MiMammal_24_S24_L001_R2_001.fastq
25,MiMammal,Locus_MiMammal_25_S25_L001_R1_001.fastq,Locus_MiMammal_25_S25_L001_R2_001.fastq
26,MiMammal,Locus_MiMammal_26_S26_L001_R1_001.fastq,Locus_MiMammal_26_S26_L001_R2_001.fastq
27,MiMammal,Locus_MiMammal_27_S27_L001_R1_001.fastq,Locus_MiMammal_27_S27_L001_R2_001.fastq
28,MiMammal,Locus_MiMammal_28_S28_L001_R1_001.fastq,Locus_MiMammal_28_S28_L001_R2_001.fastq
29,MiMammal,Locus_MiMammal_29_S29_L001_R1_001.fastq,Locus_MiMammal_29_S29_L001_R2_001.fastq
30,MiMammal,Locus_MiMammal_30_S30_L001_R1_001.fastq,Locus_MiMammal_30_S30_L001_R2_001.fastq
31,MiMammal,Locus_MiMammal_31_S31_L001_R1_001.fastq,Locus_MiMammal_31_S31_L001_R2_001.fastq
32,MiMammal,Locus_MiMammal_32_S32_L001_R1_001.fastq,Locus_MiMammal_32_S32_L001_R2_001.fastq
33,MiMammal,Locus_MiMammal_33_S33_L001_R1_001.fastq,Locus_MiMammal_33_S33_L001_R2_001.fastq
