Sample_name,Locus,Hash,nReads
MiFish.0321.1Prt.Up.1,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,3687
MiFish.0321.1Prt.Up.1,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,576
MiFish.0321.1Prt.Up.1,MiFish,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,287
MiFish.0321.1Prt.Up.1,MiFish,b2adee11d0798c70d512e9c4a4ec72cf72fdab7a,27
MiFish.0321.1Prt.Up.1,MiFish,629aa86f569921707980e85a596cb12105791f75,454
MiFish.0321.1Prt.Up.1,MiFish,8399a44ac9eddd3a5e70f87c08014d7e00b2f02a,157
MiFish.0321.1Prt.Up.1,MiFish,a786ab2b4d6cd6be5394f1351bea438a7d35726e,84
MiFish.0321.1Prt.Up.1,MiFish,8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8,337
MiFish.0321.1Prt.Up.1,MiFish,f536d06c01845ccab42b872aac3cb3788e538310,115
MiFish.0321.1Prt.Up.1,MiFish,9c94ba083a52d4995e5bcfae6ea41aa5c0431be8,301
MiFish.0321.1Prt.Up.1,MiFish,0f393c323c7d2dcd0cb68a529747e8c4abfd9509,193
MiFish.0321.1Prt.Up.1,MiFish,9c944dd49cc66af585d01075d653dc14fb1403c1,138
MiFish.0321.1Prt.Up.1,MiFish,b1f3a67396c40a744dcd968c70dfbebb8751bb8f,121
MiFish.0321.1Prt.Up.1,MiFish,572d0ebd3c85cad6ac4c8c13468d267182e42a2c,204
MiFish.0321.1Prt.Up.1,MiFish,267aa7fd1982ad1231f15695eab5d5d802650fd1,50
MiFish.0321.1Prt.Up.1,MiFish,65f6e204e30982d55209e5e4291814ec311b470a,261
MiFish.0321.1Prt.Up.1,MiFish,6f59d575eb8996f930b1622a5dc11b3f8734ccf5,64
MiFish.0321.1Prt.Up.1,MiFish,1c55c48eea48f9b3d4988feef548151f23615fc8,76
MiFish.0321.1Prt.Up.1,MiFish,de153c34b212edc93e83a42901b4b97d6e887c7f,68
MiFish.0321.1Prt.Up.1,MiFish,722b2bb28aa222d19d2d58e5295c440a5b0d8e83,198
MiFish.0321.1Prt.Up.1,MiFish,fb434d844c0eecd94ddb6cde96b0f0194c52c80a,325
MiFish.0321.1Prt.Up.1,MiFish,e6ea754005001269f3c50e7326892547a4af556f,73
MiFish.0321.1Prt.Up.1,MiFish,ad6053ef8b9c7ececb1449fbd7937cc28583b1eb,176
MiFish.0321.1Prt.Up.1,MiFish,93a08621cefddb36afa51968b00f31c0067a0816,145
MiFish.0321.1Prt.Up.1,MiFish,1817c9310d0145992696f8490f9c0dea4501cf52,46
MiFish.0321.1Prt.Up.1,MiFish,b788eca460686de3f92b46d93b89eb571cd06bed,18
MiFish.0321.1Prt.Up.1,MiFish,44915bee2458e63f38683d814af6f392972eec73,118
MiFish.0321.1Prt.Up.1,MiFish,1f1502cf53f9a5dc611bf0182c29cc214c06aca5,25
MiFish.0321.1Prt.Up.1,MiFish,f53c0268906f5a28f163439cc5235a9f5eca5af3,78
MiFish.0321.1Prt.Up.1,MiFish,19e479ce616b499e2f4b8fa9c2ca783d09e9bc30,216
MiFish.0321.1Prt.Up.1,MiFish,e63a97cc5b55455aed87138fd829f3a8621891d6,77
MiFish.0321.1Prt.Up.1,MiFish,b5115f88e47602690570c7bd7bd16467fcd5c67c,122
MiFish.0321.1Prt.Up.1,MiFish,f50e881d7696609641469e2957bbb974b6fdf608,64
MiFish.0321.1Prt.Up.1,MiFish,e435800311b37d3de7b80886b09bb183cda4f126,53
MiFish.0321.1Prt.Up.1,MiFish,38d5b9d9b790cafde268cfe8e94083fe4cf8c3d3,12
MiFish.0321.1Prt.Up.1,MiFish,6b9a840eaa6fa47062a8b9040053664f5d66c2aa,98
MiFish.0321.1Prt.Up.1,MiFish,ca746b69822e7ab7263d5f4f639af08538e1438e,74
MiFish.0321.1Prt.Up.1,MiFish,02b0e16a44762f262ddf59986eb75aedee447ab9,155
MiFish.0321.1Prt.Up.1,MiFish,a1520b4f34dbd150c8c16f9d947c753d665cf5f1,75
MiFish.0321.1Prt.Up.1,MiFish,d9b873733030cf712ad5cf86c255ab0f7495e3f1,37
