Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
MiFish.0321.1Prt.Up.1,MiFish,38406,15499,15280,15166,12744,12744,12744
MiFish.0321.2Brn.Dn.3,MiFish,38538,20588,20537,20491,19967,19967,19964
MiFish.0321.3Chk.Dn.1,MiFish,31820,12665,12520,12446,10687,10687,10648
MiFish.0321.3Chk.Dn.3,MiFish,40942,19380,19300,19227,18645,18645,18645
MiFish.0321.3Chk.Up.2,MiFish,46744,21108,21000,20935,19987,19987,19978
MiFish.0321.4Pad.Dn.2,MiFish,43749,25377,25295,25220,24327,24327,24309
MiFish.0321.4Pad.Dn.3,MiFish,46077,22410,22346,22275,21508,21508,21508
MiFish.0321.4Pad.Up11.1,MiFish,34639,17360,17200,17119,16284,16284,16284
MiFish.0321.4Pad.Up11.3,MiFish,43544,20719,20618,20588,19635,19635,19635
MiFish.0321.4Pad.Up5.1,MiFish,38587,19578,19387,19373,18144,18144,18140
MiFish.0321.4Pad.Up5.2,MiFish,33795,16149,15968,15832,14354,14354,14354
MiFish.0321.4Pad.Up5.3,MiFish,47741,20238,20105,20017,19107,19107,19087
MiFish.0321.5Sqm.Dn.3,MiFish,41711,23230,23186,23178,22992,22992,22983
MiFish.0321.5Sqm.Up.1,MiFish,39282,19500,19458,19454,19051,19051,19051
MiFish.0421.1Prt.Dn.1,MiFish,40416,18196,17957,17912,15948,15948,15610
MiFish.0421.1Prt.Dn.3,MiFish,44668,21627,21595,21584,21316,21316,21154
MiFish.0421.2Brn.Dn.2,MiFish,32113,18768,18685,18672,18099,18099,17837
MiFish.0421.2Brn.Dn.3,MiFish,43562,24668,24631,24626,24430,24430,24430
MiFish.0421.2Brn.Up.2,MiFish,38316,20387,20349,20353,20148,20148,20145
MiFish.0421.3Chk.Dn.1,MiFish,37219,17949,17929,17882,17697,17697,17697
MiFish.0421.3Chk.Dn.2,MiFish,49333,22226,22122,22061,21397,21397,21323
MiFish.0421.3Chk.Up.1,MiFish,35851,17766,17726,17671,17361,17361,17361
MiFish.0421.4Pad.Up11.2,MiFish,47572,23238,23064,22945,21515,21515,21515
MiFish.0421.4Pad.Up5.1,MiFish,43197,20450,20336,20288,19347,19347,19329
MiFish.0421.4Pad.Up5.2,MiFish,43517,22510,22434,22383,21560,21560,21512
MiFish.0421.5Sqm.Dn.2,MiFish,39316,19434,19407,19420,19117,19117,19098
MiFish.0421.5Sqm.Dn.3,MiFish,44452,22252,22211,22229,21695,21695,21669
MiFish.0421.5Sqm.Up.2,MiFish,43504,21637,21617,21615,21106,21106,21106
MiFish.0421.5Sqm.Up.3,MiFish,46977,22270,22247,22256,21864,21864,21842
MiFish.0821.1Prt.Dn.2,MiFish,7715,4322,4308,4313,4298,4298,4002
MiFish.0821.1Prt.Dn.3,MiFish,41537,24536,24527,24525,24440,24440,22622
MiFish.0821.1Prt.Up.2,MiFish,40120,18237,18112,18006,16624,16624,16622
MiFish.0821.1Prt.Up.3,MiFish,35337,17289,17233,17172,16894,16894,16894
MiFish.0821.2Brn.Dn.2,MiFish,35894,22162,22006,21772,21107,21107,20856
MiFish.0821.2Brn.Up.1,MiFish,35742,18805,18640,18542,17262,17262,17262
MiFish.0821.2Brn.Up.3,MiFish,39559,21602,21453,21383,20746,20746,20746
MiFish.0821.3Chk.Up.1,MiFish,4281,2302,2287,2272,2272,2272,2272
MiFish.0821.4Pad.Dn.1,MiFish,47813,20934,20694,20556,18393,18393,18233
MiFish.0821.5Sqm.Dn.1,MiFish,44192,21671,21659,21661,21277,21277,20945
MiFish.0821.2Brn.Dn.2TR2,MiFish,35440,16564,16340,16279,15767,15767,15767
MiFish.0821.2Brn.Dn.2TR3,MiFish,43972,21069,20854,20698,20154,20154,20127
MiFish.Kangaroo.Run.2,MiFish,50426,31551,31533,31551,30534,30534,30534
