Sample_name,Locus,Hash,nReads
NGN0095,MiMammal,8519a7f742cabfdb887dc2013feba40c4584b8db,10692
NGN0095,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,297
NGN0095,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,1487
NGN0095,MiMammal,e3bb86462242cc75b2d9159e96f588a2ca09a5d3,819
NGN0095,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,307
NGN0095,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,15
NGN0095,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,202
NGN0095,MiMammal,63a7d0273f9bdd41fc062c411d5c529730a67ff1,419
NGN0095,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,4
NGN0095,MiMammal,73bd07c218ab7e4ae33a1653d793820dc5cbb2c4,255
NGN0095,MiMammal,a05528c413125215bde6d2205cba6d625e7228f9,109
NGN0095,MiMammal,e49a7966657c33a24529e6281ed3bcfc1422c6b4,88
NGN0095,MiMammal,f5e77b2d8a8ca49cd10b41aad5592334c7e1565a,6
NGN0096,MiMammal,8519a7f742cabfdb887dc2013feba40c4584b8db,6676
NGN0096,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,232
NGN0096,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,1538
NGN0096,MiMammal,1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16,2226
NGN0096,MiMammal,0af50c9e935876232e242db91bb835235691bf3a,75
NGN0096,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,712
NGN0096,MiMammal,63a7d0273f9bdd41fc062c411d5c529730a67ff1,1018
NGN0096,MiMammal,827f99ae61c4f9a80e1b415ff8de0c02d35659dd,1031
NGN0096,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,171
NGN0096,MiMammal,d5f832529f6b73fadb1b9087af48bf9a8dc101c8,274
NGN0096,MiMammal,e949919da98e5306e2e0256d20339908ccb29c81,253
NGN0096,MiMammal,e3d2fad9cee615d4db845a1afc12aac186f8e80e,123
NGN0096,MiMammal,69e1baa12096acc8c9e9158a6a978a8228658b6e,31
NGN0096,MiMammal,9cbe9776d7d1838f1adcc215a39365c34a8625e5,28
NGN0096,MiMammal,9abc47c7765bafe86fa0b8c0c4be7ab58dfa8061,20
NGN0096,MiMammal,034bb4a8d095515c5fa3661e10d121c958bc0c44,12
NGN0096,MiMammal,94bb478e5e71ec60861e4942c3584d23b39b33e8,12
NGN0096,MiMammal,c5a621aaf81ac9b455706c36e638822d82f1c98a,11
NGN0096,MiMammal,63283ebd575153d54e2bc0a92a096c3cae26a821,7
