Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0095,MiMammal,25306,14762,14739,14727,14700,14700,14700
NGN0096,MiMammal,25015,14715,14706,14578,14450,14450,14450
NGN0097,MiMammal,24588,13754,13735,13726,13264,13264,13264
NGN0098,MiMammal,20185,10810,10800,10795,10231,10231,10231
NGN0099,MiMammal,31049,18373,18356,18365,17656,17656,17656
NGN0100,MiMammal,25712,14125,14105,14089,13702,13702,13702
NGN0101,MiMammal,23617,12280,12267,12256,12159,12159,12159
NGN0102,MiMammal,21453,11914,11909,11906,11335,11335,11335
NGN0103,MiMammal,20185,11103,11084,11095,10544,10544,10544
NGN0104,MiMammal,24570,14002,13986,13995,13340,13340,13340
NGN0105,MiMammal,22400,11758,11688,11695,11335,11335,11335
NGN0106,MiMammal,22662,12082,12071,12065,11811,11811,11811
NGN0107,MiMammal,25765,13813,13760,13758,13077,13077,13027
NGN0108,MiMammal,23604,12888,12851,12852,12550,12550,12550
NGN0109,MiMammal,15972,8799,8750,8760,8500,8500,8500
NGN0110,MiMammal,22970,13558,13476,13525,12912,12912,12912
NGN0111,MiMammal,23053,12536,12415,12484,12177,12177,12177
NGN0112,MiMammal,25161,14471,14450,14450,13774,13774,13774
NGN0113,MiMammal,19982,10224,10194,10156,10130,10130,10126
NGN0114,MiMammal,21481,11506,11439,11437,10937,10937,10937
NGN0115,MiMammal,19924,11016,11009,11011,10530,10530,10530
NGN0116,MiMammal,23323,12906,12901,12891,12329,12329,12329
NGN0117,MiMammal,24204,13591,13584,13584,13151,13151,13151
NGN0118,MiMammal,23754,13885,13864,13876,13306,13306,13306
NGN0119,MiMammal,27903,15704,15696,15698,15145,15145,15145
NGN0120,MiMammal,20394,12363,12345,12342,11889,11889,11889
NGN0121,MiMammal,25974,14174,14123,14133,13891,13891,13891
NGN0122,MiMammal,21045,10586,10528,10526,10481,10481,10481
NGN0123,MiMammal,16733,8483,8468,8481,8468,8468,8468
NGN0124,MiMammal,20864,10451,10396,10409,10367,10367,10357
NGN0125,MiMammal,19720,10389,10381,10375,10302,10302,10302
NGN0126,MiMammal,26075,13346,13282,13259,12961,12961,12961
NGN0127,MiMammal,17363,7946,7936,7936,7913,7913,7493
NGN0128,MiMammal,24217,13285,13277,13283,12734,12734,12734
NGN0129,MiMammal,24823,14284,14279,14277,13660,13660,13660
NGN0130,MiMammal,29749,17456,17454,17456,16689,16689,16689
