Sample_name,Locus,Hash,nReads
COI.0421.1Prt.Dn.2,COI,8ced4e264bbb8d3ddb99269a95fa959f870dd15a,2867
COI.0421.1Prt.Dn.2,COI,dae90776f80bda22e272442b309639d6629b87bf,2526
COI.0421.1Prt.Dn.2,COI,5c026bc4d86869a5f740acd9ddf38934be1b4b80,2331
COI.0421.1Prt.Dn.2,COI,665fbb34b0bd88c1cca78151d693208de0393c85,3358
COI.0421.1Prt.Dn.2,COI,957ef09d67d03c376fff8b00c09490f675c2b318,1450
COI.0421.1Prt.Dn.2,COI,230082a170f5ef20031c4ed9a59bc4335ae252fb,2062
COI.0421.1Prt.Dn.2,COI,aebc6333bf79c5bae216fd9a30bcd32bbb5fba4a,1046
COI.0421.1Prt.Dn.2,COI,594715bccf5200da99c4d14884216866dbf42370,606
COI.0421.1Prt.Dn.2,COI,8b3e3a0ec89e34142cbb30202034de872ddd3fce,862
COI.0421.1Prt.Dn.2,COI,246e354f238131e6912ea2faa04d91b5872e6faa,655
COI.0421.1Prt.Dn.2,COI,6cec0e35eb0a1f5b7122eb61794d3a2ba304a608,767
COI.0421.1Prt.Dn.2,COI,90e44fac9bf7f1cbae3d6a50f6e228630778adbf,456
COI.0421.1Prt.Dn.2,COI,777761764e7f3a73510192e862301678c84ccc17,1334
COI.0421.1Prt.Dn.2,COI,0e66520fde6477b768d0156c7fdbf18d7324f962,398
COI.0421.1Prt.Dn.2,COI,e95cc929893d992c39ea010f8199d0d6829801d6,472
COI.0421.1Prt.Dn.2,COI,e5aeb12e60cb38d63f7f894a9cb3b001fd533062,361
COI.0421.1Prt.Dn.2,COI,29fcd0dc8315f8bf2d7732ad3bf854b99cc3a07e,476
COI.0421.1Prt.Dn.2,COI,dd03f12f2927306b5786848be6376fae639cd955,399
COI.0421.1Prt.Dn.2,COI,2b1f72772586fa151b4d3c3cf9c8724717c7a207,352
COI.0421.1Prt.Dn.2,COI,8df2af385d72d04e50850fdbf0c164ad4a19ef94,441
COI.0421.1Prt.Dn.2,COI,eadd75b1845f38953f6e67a48420cdced9f95fb1,332
COI.0421.1Prt.Dn.2,COI,adfcdeda211d362fe10ef72df466f2d70effb0cc,445
COI.0421.1Prt.Dn.2,COI,03492303ca264b1b647b7b74b8eede99b7e014a5,182
COI.0421.1Prt.Dn.2,COI,f8ed9218d66516713b90ebc9d3dc5adab6b983c3,161
COI.0421.1Prt.Dn.2,COI,490802d9ce4f42f7a9f461ba621832ce844ae677,376
COI.0421.1Prt.Dn.2,COI,75fd0233e8e5ca8d8f0768b09bd76725191253ed,156
COI.0421.1Prt.Dn.2,COI,67ebb46870e31e702f4f5439d2267628d5fc7d67,295
COI.0421.1Prt.Dn.2,COI,6b7bc2b3c242e5ffecfd5d8ed4f6f0539aca377a,224
COI.0421.1Prt.Dn.2,COI,8fe3b049f5905a074f2c300991a40374aaf0b6c5,297
COI.0421.1Prt.Dn.2,COI,38bc1a7de9dd07020f28002587f4dbd4dd1ef3d7,727
COI.0421.1Prt.Dn.2,COI,16d3b9331babd339ad3c5b389711adf9c9cc4b2c,224
