Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
COI.0421.1Prt.Dn.2,COI,117773,109206,107202,106803,103461,103461,102921
COI.0421.1Prt.Up.1,COI,73958,68432,66851,66467,63801,63801,63305
COI.0421.1Prt.Up.3,COI,124792,116151,114131,114155,110349,110349,109350
COI.0421.2Brn.Up.1,COI,107408,100697,97464,97272,93173,93173,91172
COI.0421.2Brn.Up.3,COI,113208,105140,100263,100008,94259,94259,93194
COI.0421.3Chk.Dn.1,COI,111074,103790,97895,97806,89669,89669,76741
Delta.1m1.072021,COI,151317,141527,141028,141002,137546,137546,132144
COI.0421.4Pad.Up11.3,COI,78597,73317,69613,70081,66428,66428,61582
Delta.1m2.072021,COI,114409,106072,105235,105222,102031,102031,98056
COI.0421.5Sqm.Dn.2,COI,117512,107246,100690,100546,92242,92242,90587
COI.0421.5Sqm.Up.2,COI,111753,104443,100771,100453,95183,95183,92418
COI.0821.3Chk.Up.2,COI,118328,107891,104106,103969,98170,98170,93081
COI.0821.4Pad.Dn.1,COI,112402,105017,102541,102361,99489,99489,97511
COI.0821.4Pad.Up11.1,COI,79597,73455,67704,69744,64315,64315,63729
COI.0821.4Pad.Up5.2,COI,113078,105137,101656,101325,96626,96626,95581
COI.Kangaroo.Run.2,COI,129206,118511,118319,118398,117090,117090,114612
Delta.1m3.072021,COI,119525,110655,110093,109935,107437,107437,102912
MBT.1m1.072021,COI,113374,104132,103359,103233,100165,100165,95202
