Sample_name,Locus,file1,file2
COI.0421.1Prt.Dn.2,COI,Locus_COI_NGN0173_S79_L001_R1_001.fastq,Locus_COI_NGN0173_S79_L001_R2_001.fastq
COI.0421.1Prt.Up.1,COI,Locus_COI_NGN0174_S80_L001_R1_001.fastq,Locus_COI_NGN0174_S80_L001_R2_001.fastq
COI.0421.1Prt.Up.3,COI,Locus_COI_NGN0175_S81_L001_R1_001.fastq,Locus_COI_NGN0175_S81_L001_R2_001.fastq
COI.0421.2Brn.Up.1,COI,Locus_COI_NGN0176_S82_L001_R1_001.fastq,Locus_COI_NGN0176_S82_L001_R2_001.fastq
COI.0421.2Brn.Up.3,COI,Locus_COI_NGN0177_S83_L001_R1_001.fastq,Locus_COI_NGN0177_S83_L001_R2_001.fastq
COI.0421.3Chk.Dn.1,COI,Locus_COI_NGN0178_S84_L001_R1_001.fastq,Locus_COI_NGN0178_S84_L001_R2_001.fastq
Delta.1m1.072021,COI,Locus_COI_MGY1_S85_L001_R1_001.fastq,Locus_COI_MGY1_S85_L001_R2_001.fastq
COI.0421.4Pad.Up11.3,COI,Locus_COI_NGN0179_S86_L001_R1_001.fastq,Locus_COI_NGN0179_S86_L001_R2_001.fastq
Delta.1m2.072021,COI,Locus_COI_MGY2_S87_L001_R1_001.fastq,Locus_COI_MGY2_S87_L001_R2_001.fastq
COI.0421.5Sqm.Dn.2,COI,Locus_COI_NGN0180_S88_L001_R1_001.fastq,Locus_COI_NGN0180_S88_L001_R2_001.fastq
COI.0421.5Sqm.Up.2,COI,Locus_COI_NGN0181_S89_L001_R1_001.fastq,Locus_COI_NGN0181_S89_L001_R2_001.fastq
COI.0821.3Chk.Up.2,COI,Locus_COI_NGN0182_S90_L001_R1_001.fastq,Locus_COI_NGN0182_S90_L001_R2_001.fastq
COI.0821.4Pad.Dn.1,COI,Locus_COI_NGN0183_S91_L001_R1_001.fastq,Locus_COI_NGN0183_S91_L001_R2_001.fastq
COI.0821.4Pad.Up11.1,COI,Locus_COI_NGN0184_S92_L001_R1_001.fastq,Locus_COI_NGN0184_S92_L001_R2_001.fastq
COI.0821.4Pad.Up5.2,COI,Locus_COI_NGN0185_S93_L001_R1_001.fastq,Locus_COI_NGN0185_S93_L001_R2_001.fastq
COI.Kangaroo.Run.2,COI,Locus_COI_NGN0186_S94_L001_R1_001.fastq,Locus_COI_NGN0186_S94_L001_R2_001.fastq
Delta.1m3.072021,COI,Locus_COI_MGY3_S95_L001_R1_001.fastq,Locus_COI_MGY3_S95_L001_R2_001.fastq
MBT.1m1.072021,COI,Locus_COI_MGY4_S96_L001_R1_001.fastq,Locus_COI_MGY4_S96_L001_R2_001.fastq
