Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
MiMammal.0321.1Prt.Dn.1,MiMammal,90356,88340,88059,88280,82624,82624,82006
MiMammal.0321.1Prt.Dn.2,MiMammal,84575,82014,81825,81769,78126,78126,77970
MiMammal.0321.4Pad.Up11.1,MiMammal,72847,70364,70240,70313,67592,67592,67226
MiMammal.0321.2Brn.Up.3,MiMammal,63685,61797,61536,61560,59644,59644,59409
MiMammal.0321.5Sqm.Dn.1,MiMammal,108452,105182,105099,104882,99559,99559,96689
MiMammal.0321.5Sqm.Up.1,MiMammal,74989,72495,72341,72431,70148,70148,69362
MiMammal.0321.5Sqm.Up.2,MiMammal,76108,73420,73174,73354,70091,70091,68542
MiMammal.0321.2Brn.Up.1TR2,MiMammal,68283,66299,66274,66287,64429,64429,64429
MiMammal.0321.2Brn.Up.1TR3,MiMammal,62771,61160,60947,61139,59220,59220,59215
MiMammal.0421.1Prt.Dn.3,MiMammal,80852,78326,78285,78304,75592,75592,74649
MiMammal.0421.1Prt.Up.1,MiMammal,65546,63010,62853,62746,60649,60649,60056
MiMammal.0421.1Prt.Up.2,MiMammal,73685,71296,71102,71267,68613,68613,67376
MiMammal.0421.2Brn.Dn.2,MiMammal,65492,62723,62427,62533,60543,60543,60094
MiMammal.0421.2Brn.Dn.3,MiMammal,84472,81335,81277,81275,79453,79453,77963
MiMammal.0421.2Brn.Up.2,MiMammal,50433,48655,48617,48591,46783,46783,45869
MiMammal.0421.2Brn.Up.3,MiMammal,68804,66937,66900,66913,64811,64811,64574
MiMammal.0421.3Chk.Up.2,MiMammal,74242,71745,71545,71644,67289,67289,66457
MiMammal.0421.3Chk.Up.3,MiMammal,68662,66476,66234,66458,64018,64018,64018
MiMammal.0421.4Pad.Dn.2,MiMammal,65297,62779,62681,62690,60542,60542,59157
MiMammal.0421.5Sqm.Dn.2,MiMammal,53416,51434,51330,51412,49581,49581,48975
MiMammal.0421.5Sqm.Dn.3,MiMammal,63276,61130,61084,61093,58634,58634,57658
MiMammal.0421.5Sqm.Up.1,MiMammal,62221,60390,60248,60379,58593,58593,58496
MiMammal.0421.5Sqm.Up.2,MiMammal,75694,73400,73242,73284,69874,69874,68763
MiMammal.0821.1Prt.Dn.2,MiMammal,80700,78208,78130,78160,74251,74251,72875
MiMammal.0821.1Prt.Dn.3,MiMammal,85040,82903,82859,82871,79015,79015,77551
MiMammal.0821.1Prt.Up.2,MiMammal,64580,62314,62161,62217,60323,60323,59815
MiMammal.0821.2Brn.Up.1,MiMammal,86439,83411,83011,83249,80044,80044,78221
MiMammal.0821.3Chk.Dn.1,MiMammal,61983,59759,59699,59697,57193,57193,56122
MiMammal.0821.3Chk.Dn.3,MiMammal,56376,54413,54388,54209,51601,51601,51080
MiMammal.0821.3Chk.Up.3,MiMammal,58547,56202,56152,56177,53577,53577,53309
MiMammal.0821.4Pad.Up11.3,MiMammal,54704,52531,52357,52485,50699,50699,49502
MiMammal.0821.4Pad.Up5.2,MiMammal,74691,71989,71769,71829,69383,69383,68191
MiMammal.0821.5Sqm.Up.3,MiMammal,54135,51994,51959,51917,49552,49552,46391
MiMammal.0821.4Pad.Up5.2TR2,MiMammal,76258,73701,73630,73656,71081,71081,69989
MiMammal.0821.4Pad.Up5.2TR3,MiMammal,80227,77956,77907,77915,75261,75261,74236
MiMammal.0421.Kangaroo,MiMammal,95947,93747,93722,93680,90760,90760,90056
