Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
MiMammal.0321.1Prt.Dn.1,MiMammal,90356,88340,88059,88280,82624,82624,82006
MiMammal.0321.1Prt.Dn.2,MiMammal,84575,82014,81825,81769,78126,78126,77970
MiMammal.0321.4Pad.Up11.1,MiMammal,72847,70364,70240,70313,67592,67592,67226
MiMammal.0321.2Brn.Up.3,MiMammal,63685,61797,61536,61560,59644,59644,59409
MiMammal.0321.5Sqm.Dn.1,MiMammal,108452,105182,105099,104882,99559,99559,96689
MiMammal.0321.5Sqm.Up.1,MiMammal,74989,72495,72341,72431,70148,70148,69362
MiMammal.0321.5Sqm.Up.2,MiMammal,76108,73420,73174,73354,70091,70091,68542
MiMammal.0321.2Brn.Up.1TR2,MiMammal,68283,66299,66274,66287,64429,64429,64429
MiMammal.0321.2Brn.Up.1TR3,MiMammal,62771,61160,60947,61139,59220,59220,59215
MiMammal.0421.1Prt.Dn.3,MiMammal,80852,78326,78285,78304,75592,75592,74193
MiMammal.0421.1Prt.Up.1,MiMammal,65546,63010,62853,62746,60649,60649,60056
MiMammal.0421.1Prt.Up.2,MiMammal,73685,71296,71102,71267,68613,68613,67376
MiMammal.0421.2Brn.Dn.2,MiMammal,65492,62723,62427,62533,60543,60543,60258
MiMammal.0421.2Brn.Dn.3,MiMammal,84472,81335,81277,81275,79453,79453,78737
MiMammal.0421.2Brn.Up.2,MiMammal,50433,48655,48617,48591,46783,46783,46067
MiMammal.0421.2Brn.Up.3,MiMammal,68804,66937,66900,66913,64811,64811,64787
MiMammal.0421.3Chk.Up.2,MiMammal,74242,71745,71545,71644,67289,67289,66457
MiMammal.0421.3Chk.Up.3,MiMammal,68662,66476,66234,66458,64018,64018,64018
MiMammal.0421.4Pad.Dn.2,MiMammal,65297,62779,62681,62690,60542,60542,59157
MiMammal.0421.5Sqm.Dn.2,MiMammal,53416,51434,51330,51412,49581,49581,48975
MiMammal.0421.5Sqm.Dn.3,MiMammal,63276,61130,61084,61093,58634,58634,57658
MiMammal.0421.5Sqm.Up.1,MiMammal,62221,60390,60248,60379,58593,58593,58496
MiMammal.0421.5Sqm.Up.2,MiMammal,75694,73400,73242,73284,69874,69874,68763
MiMammal.0821.1Prt.Dn.2,MiMammal,80700,78208,78130,78160,74251,74251,72875
MiMammal.0821.1Prt.Dn.3,MiMammal,85040,82903,82859,82871,79015,79015,77551
MiMammal.0821.1Prt.Up.2,MiMammal,64580,62314,62161,62217,60323,60323,59815
MiMammal.0821.2Brn.Up.1,MiMammal,86439,83411,83011,83249,80044,80044,80044
MiMammal.0821.3Chk.Dn.1,MiMammal,61983,59759,59699,59697,57193,57193,56849
MiMammal.0821.3Chk.Dn.3,MiMammal,56376,54413,54388,54209,51601,51601,51507
MiMammal.0821.3Chk.Up.3,MiMammal,58547,56202,56152,56177,53577,53577,53309
MiMammal.0821.4Pad.Up11.3,MiMammal,54704,52531,52357,52485,50699,50699,49502
MiMammal.0821.4Pad.Up5.2,MiMammal,74691,71989,71769,71829,69383,69383,68191
MiMammal.0821.5Sqm.Up.3,MiMammal,54135,51994,51959,51917,49552,49552,46391
MiMammal.0821.4Pad.Up5.2TR2,MiMammal,76258,73701,73630,73656,71081,71081,70233
MiMammal.0821.4Pad.Up5.2TR3,MiMammal,80227,77956,77907,77915,75261,75261,74454
MiMammal.0421.Kangaroo,MiMammal,95947,93747,93722,93680,90760,90760,90056
MiFish.0321.1Prt.Up.1,MiFish,65474,62241,61759,61804,59060,59060,58567
MiFish.0321.2Brn.Dn.3,MiFish,64501,62137,62046,61988,60568,60568,60568
MiFish.0321.3Chk.Dn.1,MiFish,66761,63127,62807,62777,61284,61284,60872
MiFish.0321.3Chk.Dn.3,MiFish,68292,65440,65313,65268,63645,63645,61133
MiFish.0321.3Chk.Up.2,MiFish,82694,78667,78221,78494,75125,75125,74085
MiFish.0321.4Pad.Dn.2,MiFish,86665,83844,83682,83715,80294,80294,77904
MiFish.0321.4Pad.Dn.3,MiFish,70636,67551,67432,67446,65040,65040,63452
MiFish.0321.4Pad.Up11.1,MiFish,53873,51462,51281,51109,49189,49189,47529
MiFish.0321.4Pad.Up11.3,MiFish,70155,66835,66621,66534,64026,64026,62440
MiFish.0321.4Pad.Up5.1,MiFish,72283,68909,68652,68595,66214,66214,63723
MiFish.0321.4Pad.Up5.2,MiFish,65477,62371,62156,62087,59396,59396,57610
MiFish.0321.4Pad.Up5.3,MiFish,85027,80818,80664,80396,77910,77910,75152
MiFish.0321.5Sqm.Dn.3,MiFish,84416,80944,80884,80643,77899,77899,76605
MiFish.0321.5Sqm.Up.1,MiFish,68266,65471,65410,65332,63357,63357,62689
MiFish.0421.1Prt.Dn.1,MiFish,72229,68965,68625,68394,66024,66024,64491
MiFish.0421.1Prt.Dn.3,MiFish,78618,75985,75944,75944,74243,74243,72123
MiFish.0421.2Brn.Dn.2,MiFish,62820,60242,60136,60057,58952,58952,58676
MiFish.0421.2Brn.Dn.3,MiFish,86817,83618,83484,83537,81796,81796,80973
MiFish.0421.2Brn.Up.2,MiFish,76196,72957,72898,72870,71718,71718,71206
MiFish.0421.3Chk.Dn.1,MiFish,63666,61526,61490,61496,60016,60016,59780
MiFish.0421.3Chk.Dn.2,MiFish,85735,82437,82159,82266,79713,79713,78861
MiFish.0421.3Chk.Up.1,MiFish,67610,65078,64935,65005,62976,62976,62918
MiFish.0421.4Pad.Up11.2,MiFish,84757,81201,80936,81042,78009,78009,76143
MiFish.0421.4Pad.Up5.1,MiFish,77693,74542,74278,74445,72571,72571,71204
MiFish.0421.4Pad.Up5.2,MiFish,82555,79642,79539,79548,76874,76874,75412
MiFish.0421.5Sqm.Dn.2,MiFish,74316,71466,71400,71332,69389,69389,68443
MiFish.0421.5Sqm.Dn.3,MiFish,68339,65376,65333,65335,63559,63559,62689
MiFish.0421.5Sqm.Up.2,MiFish,82187,79105,79064,79094,76911,76911,75207
MiFish.0421.5Sqm.Up.3,MiFish,82268,78778,78749,78600,76029,76029,74836
MiFish.0821.1Prt.Dn.2,MiFish,14232,13740,13708,13718,13423,13423,12475
MiFish.0821.1Prt.Dn.3,MiFish,73710,71367,71293,71281,69552,69552,63557
MiFish.0821.1Prt.Up.2,MiFish,48507,45960,45696,45788,44522,44522,44234
MiFish.0821.1Prt.Up.3,MiFish,58973,57032,56964,56837,55186,55186,54198
MiFish.0821.2Brn.Dn.2,MiFish,73128,70717,70556,70511,68126,68126,65529
MiFish.0821.2Brn.Up.1,MiFish,74318,70680,70393,70447,69338,69338,69299
MiFish.0821.2Brn.Up.3,MiFish,80420,77592,77197,77473,76368,76368,76341
MiFish.0821.3Chk.Up.1,MiFish,7475,7206,7145,7157,6929,6929,6929
MiFish.0821.4Pad.Dn.1,MiFish,82318,78676,78235,78269,75781,75781,75028
