Sample_name,Locus,Hash,nReads
COI.0421.1Prt.Dn.2,COI2,8ced4e264bbb8d3ddb99269a95fa959f870dd15a,2881
COI.0421.1Prt.Dn.2,COI2,dae90776f80bda22e272442b309639d6629b87bf,2546
COI.0421.1Prt.Dn.2,COI2,665fbb34b0bd88c1cca78151d693208de0393c85,3395
COI.0421.1Prt.Dn.2,COI2,5c026bc4d86869a5f740acd9ddf38934be1b4b80,2354
COI.0421.1Prt.Dn.2,COI2,957ef09d67d03c376fff8b00c09490f675c2b318,1466
COI.0421.1Prt.Dn.2,COI2,230082a170f5ef20031c4ed9a59bc4335ae252fb,2064
COI.0421.1Prt.Dn.2,COI2,aebc6333bf79c5bae216fd9a30bcd32bbb5fba4a,1054
COI.0421.1Prt.Dn.2,COI2,594715bccf5200da99c4d14884216866dbf42370,612
COI.0421.1Prt.Dn.2,COI2,8b3e3a0ec89e34142cbb30202034de872ddd3fce,876
COI.0421.1Prt.Dn.2,COI2,246e354f238131e6912ea2faa04d91b5872e6faa,661
COI.0421.1Prt.Dn.2,COI2,6cec0e35eb0a1f5b7122eb61794d3a2ba304a608,772
COI.0421.1Prt.Dn.2,COI2,90e44fac9bf7f1cbae3d6a50f6e228630778adbf,461
COI.0421.1Prt.Dn.2,COI2,777761764e7f3a73510192e862301678c84ccc17,1340
COI.0421.1Prt.Dn.2,COI2,0e66520fde6477b768d0156c7fdbf18d7324f962,400
COI.0421.1Prt.Dn.2,COI2,e95cc929893d992c39ea010f8199d0d6829801d6,479
COI.0421.1Prt.Dn.2,COI2,e5aeb12e60cb38d63f7f894a9cb3b001fd533062,363
COI.0421.1Prt.Dn.2,COI2,dd03f12f2927306b5786848be6376fae639cd955,399
COI.0421.1Prt.Dn.2,COI2,29fcd0dc8315f8bf2d7732ad3bf854b99cc3a07e,479
COI.0421.1Prt.Dn.2,COI2,2b1f72772586fa151b4d3c3cf9c8724717c7a207,358
COI.0421.1Prt.Dn.2,COI2,8df2af385d72d04e50850fdbf0c164ad4a19ef94,440
COI.0421.1Prt.Dn.2,COI2,eadd75b1845f38953f6e67a48420cdced9f95fb1,336
COI.0421.1Prt.Dn.2,COI2,adfcdeda211d362fe10ef72df466f2d70effb0cc,447
COI.0421.1Prt.Dn.2,COI2,03492303ca264b1b647b7b74b8eede99b7e014a5,185
COI.0421.1Prt.Dn.2,COI2,f8ed9218d66516713b90ebc9d3dc5adab6b983c3,163
COI.0421.1Prt.Dn.2,COI2,490802d9ce4f42f7a9f461ba621832ce844ae677,376
COI.0421.1Prt.Dn.2,COI2,75fd0233e8e5ca8d8f0768b09bd76725191253ed,157
COI.0421.1Prt.Dn.2,COI2,67ebb46870e31e702f4f5439d2267628d5fc7d67,296
COI.0421.1Prt.Dn.2,COI2,8fe3b049f5905a074f2c300991a40374aaf0b6c5,305
COI.0421.1Prt.Dn.2,COI2,6b7bc2b3c242e5ffecfd5d8ed4f6f0539aca377a,225
COI.0421.1Prt.Dn.2,COI2,16d3b9331babd339ad3c5b389711adf9c9cc4b2c,229
COI.0421.1Prt.Dn.2,COI2,38bc1a7de9dd07020f28002587f4dbd4dd1ef3d7,729
COI.0421.1Prt.Dn.2,COI2,28904a5a2d28e949fd91cd003b559c0d69f35b41,484
COI.0421.1Prt.Dn.2,COI2,62c7a79bb8950291dcc1a471a9e74a7a96069ed3,187
COI.0421.1Prt.Dn.2,COI2,fddd2fdb38c11fadeba8fc9d08e0ad9a358d977d,173
COI.0421.1Prt.Dn.2,COI2,3e9c012e4efc60f0d8427e82d4ca12e8324705ef,199
COI.0421.1Prt.Dn.2,COI2,4514195490c3f955f8990f7ba0a606a076d1d291,110
COI.0421.1Prt.Dn.2,COI2,334a1eef882700daee8a544538f601bde4454b5d,189
COI.0421.1Prt.Dn.2,COI2,1afe509aefc387d2ec453c2c1b7a587c904865ce,85
COI.0421.1Prt.Dn.2,COI2,bd777300aa129bb85776da6593866c4392feb738,206
COI.0421.1Prt.Dn.2,COI2,1ce3711a787f32c23f96314ed5e74598e81c5169,198
COI.0421.1Prt.Dn.2,COI2,79b98f91e548bcd438d95283289480d8ac0cdcfb,342
COI.0421.1Prt.Dn.2,COI2,adbf43e0b0d9b544282f4a96b0a349619e3c7d45,272
COI.0421.1Prt.Dn.2,COI2,4e0d46b9ae3f09828b061636a36b7deaae775f89,205
COI.0421.1Prt.Dn.2,COI2,8fbf288c13b403c8b1c3c3d940c6277c42fe38d3,178
COI.0421.1Prt.Dn.2,COI2,b54cdffeb57cb1e9e80e2b9d978282a72ab581e9,318
COI.0421.1Prt.Dn.2,COI2,1ff876cd660687fcca3abb35ad3c4157e594a73c,76
COI.0421.1Prt.Dn.2,COI2,28d40513f198967127545213f07c75f182f209bc,114
COI.0421.1Prt.Dn.2,COI2,1539a2f9ae9df2c9bb550c6c6f1587297ce943e4,216
COI.0421.1Prt.Dn.2,COI2,c9e436b6ddb66e70103c365b2dcd06b64c2570e5,440
COI.0421.1Prt.Dn.2,COI2,b0515617cf6baa3faae751b92ce598b7b28cec1c,135
COI.0421.1Prt.Dn.2,COI2,f7e0c0686d287c37875c39e093585e034b12851e,106
COI.0421.1Prt.Dn.2,COI2,39f6fb13175c36f25d3d74549a083a2776771706,127
COI.0421.1Prt.Dn.2,COI2,02b3c3e1867e94f1422597e5d74bc54dfc792449,216
COI.0421.1Prt.Dn.2,COI2,c61fd9f0454e83614f6c3ba4204b89d6bd5c8d2f,126
COI.0421.1Prt.Dn.2,COI2,b68e80867f7b254ae4b48c4ae8b2ae9bd83a72e7,121
COI.0421.1Prt.Dn.2,COI2,93b16d7d1fa3c5a6f86ef5c1e9804d953cb495e3,102
COI.0421.1Prt.Dn.2,COI2,5ff3e6d2a9b832df20459bfb44976ae614173b19,261
COI.0421.1Prt.Dn.2,COI2,20b7b4c78a65412f8b27980898a28e477d4c666d,119
COI.0421.1Prt.Dn.2,COI2,5d62d04d9e834746791f61db46f380d2be705911,132
COI.0421.1Prt.Dn.2,COI2,6d4d2d4568d99747d965ba3687b50742702fb2fc,173
COI.0421.1Prt.Dn.2,COI2,7a1a059634dcdd84c703581b5508e3a242e48602,120
COI.0421.1Prt.Dn.2,COI2,b1c86cc88bce89145aba77a9ea7e6c77f022c5a6,146
COI.0421.1Prt.Dn.2,COI2,cba18aa303638e888bd3efbdacee84d41657b4d3,167
COI.0421.1Prt.Dn.2,COI2,03305215eda5041311eb9f1ac5120362de78c0ca,129
COI.0421.1Prt.Dn.2,COI2,34e24ea04584755537e6d6f5bf56df027049b57d,86
COI.0421.1Prt.Dn.2,COI2,c9b7da6fa27064b3d6755cbc7d6aa6253b87ddf2,153
COI.0421.1Prt.Dn.2,COI2,9bd2d7ece4df413edbd919f217e97b4601df1e63,39
COI.0421.1Prt.Dn.2,COI2,576110b0393a0f375cd5ddff3cdfee9410132c78,57
COI.0421.1Prt.Dn.2,COI2,867db3e0433b7d5d846a04f42936095629dce5de,140
COI.0421.1Prt.Dn.2,COI2,516c60eeccfbb26c0da168dfefaddaa4fa35a11e,197
COI.0421.1Prt.Dn.2,COI2,d1a188d47463879fe4b9b38b2f16bb79d572692c,112
COI.0421.1Prt.Dn.2,COI2,bf1bea45f245b1cd8037c9ec17808a5364a37a2c,87
COI.0421.1Prt.Dn.2,COI2,6321b87a2665565df6219e627e968e0eb4a34e44,124
COI.0421.1Prt.Dn.2,COI2,52f64c5772e8df7dab364c5576d10547f5a8496c,131
COI.0421.1Prt.Dn.2,COI2,c05573ff99ce959ef5950ceab7070636a5e0a745,116
COI.0421.1Prt.Dn.2,COI2,82baeaf7642332e3165cba87c0f6e0a4b3a50e42,50
COI.0421.1Prt.Dn.2,COI2,c4dd55f96104d55194321ffda2c43f5b5a684fb9,161
COI.0421.1Prt.Dn.2,COI2,c4cb42391880eefa1b02f2a7d4ec6111b94c4c4d,166
COI.0421.1Prt.Dn.2,COI2,c5d6db15f101fe7073fc6266c61524900cae35d1,72
COI.0421.1Prt.Dn.2,COI2,b70dd76dc4d69b07ec1bf44d206f40fffc6aac57,204
COI.0421.1Prt.Dn.2,COI2,4bbf81dffc97d51a69fd5c08b1b805385ca00ead,104
COI.0421.1Prt.Dn.2,COI2,773df94f96f3eabbf3a4c558b2ce263d6f64899e,119
COI.0421.1Prt.Dn.2,COI2,1dd848a9ca9a82ceec4746f97196acdd73933b7b,209
COI.0421.1Prt.Dn.2,COI2,a300a6d3c09a65507371bbd1e66bb624ce691fe5,127
COI.0421.1Prt.Dn.2,COI2,6b3b9d04d6d7f5011c545526e893cf8e298bbf8f,153
COI.0421.1Prt.Dn.2,COI2,39f7bbe701110e7d32f597fd491fc9c7fc052694,103
COI.0421.1Prt.Dn.2,COI2,7c8431f9cc1ff3d7a01b31e2ef27af22ddec31be,142
COI.0421.1Prt.Dn.2,COI2,a27e69109b133ecc21d898cd487665cbc39b15e8,107
COI.0421.1Prt.Dn.2,COI2,a4dc9cb1d33d8896294b73772682c949c5081b6d,76
COI.0421.1Prt.Dn.2,COI2,b9fdd2100b0f5ec87f7df4a12618b3112bbd42b6,91
COI.0421.1Prt.Dn.2,COI2,20e187389cbf5f3617eb7957c559a7b00f4fceba,140
COI.0421.1Prt.Dn.2,COI2,6db1f81be340230e268bf53eed31fc47e3dee316,100
