"","Sample_name","Locus","nReads","NewHash"
"1","COI.0421.1Prt.Dn.2","COI2",2881,"5fb2c5b8a1da76223c3c28c406e65c8483d5fc85"
"2","COI.0421.1Prt.Dn.2","COI2",2546,"83e594b8fd251b7265e2c69e6799abf40f5cfe75"
"3","COI.0421.1Prt.Dn.2","COI2",3395,"e9ae04a410735949efe3ed7149bb088bf3e57e70"
"4","COI.0421.1Prt.Dn.2","COI2",2354,"dca61831638b2e4ce05eff11ed66fcd70c0374f8"
"5","COI.0421.1Prt.Dn.2","COI2",1466,"73434005f091706edb085556d7ddb1624139b6f1"
"6","COI.0421.1Prt.Dn.2","COI2",2064,"8278f17acfb259439877603a23a8314c3af064f6"
"7","COI.0421.1Prt.Dn.2","COI2",1054,"632fc231ae48a82b422d56899551151b21c9dfb1"
"8","COI.0421.1Prt.Dn.2","COI2",612,"e16a93ca9bf1f81bb8a7b80876cdebdc261c8d65"
"9","COI.0421.1Prt.Dn.2","COI2",876,"dc22680f8df9832a781f67c5301098f35796ccf6"
"10","COI.0421.1Prt.Dn.2","COI2",661,"456cadbed10cc4bc42083e67e688958ec1f13702"
"11","COI.0421.1Prt.Dn.2","COI2",772,"ce58180855d37c58484e232cc5bf1a12d79393a8"
"12","COI.0421.1Prt.Dn.2","COI2",461,"a86872bfabb6c35c3017a276ad571db61a45f1db"
"13","COI.0421.1Prt.Dn.2","COI2",1340,"af67ce097b97dbe421dde5133a08c1179aba5f8a"
"14","COI.0421.1Prt.Dn.2","COI2",400,"22ba7a9708b83a08cd32cccbf67b98f47561c11a"
"15","COI.0421.1Prt.Dn.2","COI2",479,"5dd05c86a8b817456db8edf5e5ed758ca4fffaf6"
"16","COI.0421.1Prt.Dn.2","COI2",363,"7b302a35366278dbc6f5ea014d5b4b7e657d70cf"
"17","COI.0421.1Prt.Dn.2","COI2",399,"c33b1180d07b56a01ffc0147115fb938b80c1a7f"
"18","COI.0421.1Prt.Dn.2","COI2",479,"4ebf63f8ed24ac38f5972c0843195731ed42c58f"
