Sample_name,Locus,Hash,nReads
COI.0421.2Brn.Up.1,COI,d31458861abd71166b0c84b6fcdd4dff8ea29a40,45700
COI.0421.2Brn.Up.1,COI,e9ae04a410735949efe3ed7149bb088bf3e57e70,369
COI.0421.2Brn.Up.1,COI,290d16fbe14c5c0b729585bcec94ae20e2a66f29,319
COI.0421.2Brn.Up.1,COI,8278f17acfb259439877603a23a8314c3af064f6,159
COI.0421.2Brn.Up.1,COI,2ec78f4e561eff6f145269b3281cf497f7627dca,6128
COI.0421.2Brn.Up.1,COI,7fcf8ab238c7b5c792191ef8d9113bb83cb93c97,489
COI.0421.2Brn.Up.1,COI,bd907eebe8c54fc35994d00b3318b898ebb79a51,1280
COI.0421.2Brn.Up.1,COI,51b24df83b4a68613b34065c1583207d8fb4ad9b,719
COI.0421.2Brn.Up.1,COI,7c4dc16d44ed404a1a5b9710ead57ee62a27b279,1135
COI.0421.2Brn.Up.1,COI,bc02f2a31dc3341d916070e2a69ca7f2840c46a6,1139
COI.0421.2Brn.Up.1,COI,f29b7aa6f87d16401df576261ed7cd7e44559017,77
COI.0421.2Brn.Up.1,COI,a6e5b80ad88f8f7a23de07dfd414d57f84636753,648
COI.0421.2Brn.Up.1,COI,0adf7b9444acb6f8eb10175a487eef85ba324bcc,245
COI.0421.2Brn.Up.1,COI,9e5f9a11911e23c80ead23b92c1cd8360835b1a5,151
COI.0421.2Brn.Up.1,COI,5a4892eb908c6ce3cd6e4fa170f9f536e02f11b5,474
COI.0421.2Brn.Up.1,COI,09a13a0b702d3550d7d8100040b3550264d27f64,25
COI.0421.2Brn.Up.1,COI,007d57343da8b23cf493f3c66d6d59d96617e00f,639
COI.0421.2Brn.Up.1,COI,5f163531b35e785031e3bef381b6a2c8e42ff7af,157
COI.0421.2Brn.Up.1,COI,f67338a06ccce62cf8fa2654ad74c8577342fef8,1289
COI.0421.2Brn.Up.1,COI,7f77a1e269b16ffd1131b86ebd9532b5c9e41301,257
COI.0421.2Brn.Up.1,COI,df2066f62e9a5d6c3589cba51e08de488d81de71,1216
COI.0421.2Brn.Up.1,COI,b753ff6b73547c87ad9856eaf323381e57cdd256,56
COI.0421.2Brn.Up.1,COI,4ebf63f8ed24ac38f5972c0843195731ed42c58f,138
COI.0421.2Brn.Up.1,COI,a0808c3049d8cb6510e36914b4b81d242264bca7,561
COI.0421.2Brn.Up.1,COI,a41903f26061e0750bea8135a7a82b66df6afd0f,85
COI.0421.2Brn.Up.1,COI,06c5efdd23279c7da68cc0d281b7903ee4c47cb2,29
COI.0421.2Brn.Up.1,COI,1d83734ad1508a2bc3da6c3e93043f11d6241edd,8
