Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
COI.0421.2Brn.Up.1,COI,107408,101814,98518,98610,94460,94460,92427
COI.0421.2Brn.Up.3,COI,113208,106397,101455,101854,95993,95993,94826
COI.0421.3Chk.Dn.1,COI,111074,105321,99303,100080,92442,92442,78917
COI.0421.4Pad.Up11.3,COI,78597,73733,70008,70978,67183,67183,62272
COI.0421.5Sqm.Dn.2,COI,117512,110155,103312,104397,96695,96695,95042
COI.0421.5Sqm.Up.2,COI,111753,105778,102066,102270,98175,98175,95447
COI.0821.3Chk.Up.2,COI,118328,110066,106202,106497,101046,101046,95414
COI.0821.4Pad.Dn.1,COI,112402,106293,103776,103966,101545,101545,99350
COI.0821.4Pad.Up11.1,COI,79597,73817,68037,70522,64904,64904,64291
COI.0821.4Pad.Up5.2,COI,113078,106395,102874,103005,98443,98443,97327
COI.Kangaroo.Run.2,COI,129206,121980,121833,121903,120722,120722,117881
