Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
COI.0421.2Brn.Up.1,COI,107408,91650,87686,88394,83961,83961,82222
COI.0421.2Brn.Up.3,COI,113208,92926,86907,88104,81430,81430,80525
COI.0421.3Chk.Dn.1,COI,111074,94586,87545,88888,80312,80312,68882
COI.0421.4Pad.Up11.3,COI,78597,62230,57799,59374,55063,55063,51095
COI.0421.5Sqm.Dn.2,COI,117512,95427,87722,89203,80457,80457,79069
COI.0421.5Sqm.Up.2,COI,111753,93892,88699,90098,83935,83935,81636
COI.0821.3Chk.Up.2,COI,118328,96749,91928,93062,86705,86705,83203
COI.0821.4Pad.Dn.1,COI,112402,95335,92400,92814,89500,89500,87741
COI.0821.4Pad.Up11.1,COI,79597,57622,52019,54428,49019,49019,48727
COI.0821.4Pad.Up5.2,COI,113078,93682,88631,90021,84278,84278,83405
COI.Kangaroo.Run.2,COI,129206,109003,108947,108930,108227,108227,105528
