Sample_name,Locus,file1,file2
COI.0321.2Brn.Up.2,COI,Locus_COI_NGN0239_S53_L001_R1_001.fastq,Locus_COI_NGN0239_S53_L001_R2_001.fastq
COI.0321.2Brn.Up.2TR2,COI,Locus_COI_NGN0240_S54_L001_R1_001.fastq,Locus_COI_NGN0240_S54_L001_R2_001.fastq
COI.0321.2Brn.Up.2TR3,COI,Locus_COI_NGN0241_S55_L001_R1_001.fastq,Locus_COI_NGN0241_S55_L001_R2_001.fastq
COI.0421.1Prt.Dn.1,COI,Locus_COI_NGN0242_S56_L001_R1_001.fastq,Locus_COI_NGN0242_S56_L001_R2_001.fastq
COI.0421.2Brn.Dn.1,COI,Locus_COI_NGN0243_S57_L001_R1_001.fastq,Locus_COI_NGN0243_S57_L001_R2_001.fastq
COI.0421.2Brn.Dn.2,COI,Locus_COI_NGN0244_S58_L001_R1_001.fastq,Locus_COI_NGN0244_S58_L001_R2_001.fastq
COI.0421.2Brn.Dn.3,COI,Locus_COI_NGN0245_S59_L001_R1_001.fastq,Locus_COI_NGN0245_S59_L001_R2_001.fastq
COI.0421.3Chk.Dn.2,COI,Locus_COI_NGN0246_S60_L001_R1_001.fastq,Locus_COI_NGN0246_S60_L001_R2_001.fastq
COI.0421.3Chk.Dn.3,COI,Locus_COI_NGN0247_S61_L001_R1_001.fastq,Locus_COI_NGN0247_S61_L001_R2_001.fastq
COI.0421.3Chk.Up.1,COI,Locus_COI_NGN0248_S62_L001_R1_001.fastq,Locus_COI_NGN0248_S62_L001_R2_001.fastq
COI.0421.3Chk.Up.2,COI,Locus_COI_NGN0249_S63_L001_R1_001.fastq,Locus_COI_NGN0249_S63_L001_R2_001.fastq
COI.0421.3Chk.Up.3,COI,Locus_COI_NGN0250_S64_L001_R1_001.fastq,Locus_COI_NGN0250_S64_L001_R2_001.fastq
MBT.1m2.072021,COI,Locus_COI_MGY5_S65_L001_R1_001.fastq,Locus_COI_MGY5_S65_L001_R2_001.fastq
COI.0421.4Pad.Up11.2,COI,Locus_COI_NGN0251_S66_L001_R1_001.fastq,Locus_COI_NGN0251_S66_L001_R2_001.fastq
MBT.1m3.072021,COI,Locus_COI_MGY6_S67_L001_R1_001.fastq,Locus_COI_MGY6_S67_L001_R2_001.fastq
