Sample_name,Locus,file1,file2
MiMammal.0321.2Brn.Dn.3,MiMammal,Locus_MiMammal_NGN0187_S1_L001_R1_001.fastq,Locus_MiMammal_NGN0187_S1_L001_R2_001.fastq
MiMammal.0321.4Pad.Dn.2,MiMammal,Locus_MiMammal_NGN0188_S2_L001_R1_001.fastq,Locus_MiMammal_NGN0188_S2_L001_R2_001.fastq
MiMammal.0321.2Brn.Up.1,MiMammal,Locus_MiMammal_NGN0189_S3_L001_R1_001.fastq,Locus_MiMammal_NGN0189_S3_L001_R2_001.fastq
MiMammal.0321.4Pad.Up11.2,MiMammal,Locus_MiMammal_NGN0190_S4_L001_R1_001.fastq,Locus_MiMammal_NGN0190_S4_L001_R2_001.fastq
MiMammal.0321.5Sqm.Dn.2,MiMammal,Locus_MiMammal_NGN0191_S5_L001_R1_001.fastq,Locus_MiMammal_NGN0191_S5_L001_R2_001.fastq
MiMammal.0321.5Sqm.Up.3,MiMammal,Locus_MiMammal_NGN0192_S6_L001_R1_001.fastq,Locus_MiMammal_NGN0192_S6_L001_R2_001.fastq
MiMammal.0421.1Prt.Dn.1,MiMammal,Locus_MiMammal_NGN0193_S7_L001_R1_001.fastq,Locus_MiMammal_NGN0193_S7_L001_R2_001.fastq
MiMammal.0421.1Prt.Dn.2,MiMammal,Locus_MiMammal_NGN0194_S8_L001_R1_001.fastq,Locus_MiMammal_NGN0194_S8_L001_R2_001.fastq
MiMammal.0421.1Prt.Up.3,MiMammal,Locus_MiMammal_NGN0195_S9_L001_R1_001.fastq,Locus_MiMammal_NGN0195_S9_L001_R2_001.fastq
MiMammal.0421.2Brn.Dn.1,MiMammal,Locus_MiMammal_NGN0196_S10_L001_R1_001.fastq,Locus_MiMammal_NGN0196_S10_L001_R2_001.fastq
MiMammal.0421.2Brn.Up.1,MiMammal,Locus_MiMammal_NGN0197_S11_L001_R1_001.fastq,Locus_MiMammal_NGN0197_S11_L001_R2_001.fastq
MiMammal.0421.3Chk.Dn.3,MiMammal,Locus_MiMammal_NGN0198_S12_L001_R1_001.fastq,Locus_MiMammal_NGN0198_S12_L001_R2_001.fastq
MiMammal.0421.4Pad.Dn.1,MiMammal,Locus_MiMammal_NGN0199_S13_L001_R1_001.fastq,Locus_MiMammal_NGN0199_S13_L001_R2_001.fastq
MiMammal.0421.4Pad.Dn.3,MiMammal,Locus_MiMammal_NGN0200_S14_L001_R1_001.fastq,Locus_MiMammal_NGN0200_S14_L001_R2_001.fastq
MiMammal.0421.5Sqm.Dn.1,MiMammal,Locus_MiMammal_NGN0201_S15_L001_R1_001.fastq,Locus_MiMammal_NGN0201_S15_L001_R2_001.fastq
MiMammal.0821.1Prt.Up.3,MiMammal,Locus_MiMammal_NGN0202_S16_L001_R1_001.fastq,Locus_MiMammal_NGN0202_S16_L001_R2_001.fastq
MiMammal.0821.2Brn.Up.2,MiMammal,Locus_MiMammal_NGN0203_S17_L001_R1_001.fastq,Locus_MiMammal_NGN0203_S17_L001_R2_001.fastq
MiMammal.0821.3Chk.Up.1,MiMammal,Locus_MiMammal_NGN0204_S18_L001_R1_001.fastq,Locus_MiMammal_NGN0204_S18_L001_R2_001.fastq
MiMammal.0821.4Pad.Dn.1,MiMammal,Locus_MiMammal_NGN0205_S19_L001_R1_001.fastq,Locus_MiMammal_NGN0205_S19_L001_R2_001.fastq
MiMammal.0821.4Pad.Up11.1,MiMammal,Locus_MiMammal_NGN0206_S20_L001_R1_001.fastq,Locus_MiMammal_NGN0206_S20_L001_R2_001.fastq
MiMammal.0821.4Pad.Up5.1,MiMammal,Locus_MiMammal_NGN0207_S21_L001_R1_001.fastq,Locus_MiMammal_NGN0207_S21_L001_R2_001.fastq
MiMammal.0821.5Sqm.Dn.1,MiMammal,Locus_MiMammal_NGN0208_S22_L001_R1_001.fastq,Locus_MiMammal_NGN0208_S22_L001_R2_001.fastq
MiMammal.0821.5Sqm.Up.2,MiMammal,Locus_MiMammal_NGN0209_S23_L001_R1_001.fastq,Locus_MiMammal_NGN0209_S23_L001_R2_001.fastq
MiMammal.0821.Kangaroo,MiMammal,Locus_MiMammal_NGN0210_S24_L001_R1_001.fastq,Locus_MiMammal_NGN0210_S24_L001_R2_001.fastq
MiFish.0321.1Prt.Dn.1,MiFish,Locus_MiFish_NGN0211_S25_L001_R1_001.fastq,Locus_MiFish_NGN0211_S25_L001_R2_001.fastq
MiFish.0321.1Prt.Dn.2,MiFish,Locus_MiFish_NGN0212_S26_L001_R1_001.fastq,Locus_MiFish_NGN0212_S26_L001_R2_001.fastq
MiFish.0321.1Prt.Up.2,MiFish,Locus_MiFish_NGN0213_S27_L001_R1_001.fastq,Locus_MiFish_NGN0213_S27_L001_R2_001.fastq
MiFish.0321.2Brn.Dn.1,MiFish,Locus_MiFish_NGN0214_S28_L001_R1_001.fastq,Locus_MiFish_NGN0214_S28_L001_R2_001.fastq
MiFish.0321.2Brn.Up.1,MiFish,Locus_MiFish_NGN0215_S29_L001_R1_001.fastq,Locus_MiFish_NGN0215_S29_L001_R2_001.fastq
MiFish.0321.2Brn.Up.2,MiFish,Locus_MiFish_NGN0216_S30_L001_R1_001.fastq,Locus_MiFish_NGN0216_S30_L001_R2_001.fastq
MiFish.0321.2Brn.Up.3,MiFish,Locus_MiFish_NGN0217_S31_L001_R1_001.fastq,Locus_MiFish_NGN0217_S31_L001_R2_001.fastq
MiFish.0321.4Pad.Dn.1,MiFish,Locus_MiFish_NGN0218_S32_L001_R1_001.fastq,Locus_MiFish_NGN0218_S32_L001_R2_001.fastq
MiFish.0321.5Sqm.Up.2,MiFish,Locus_MiFish_NGN0219_S33_L001_R1_001.fastq,Locus_MiFish_NGN0219_S33_L001_R2_001.fastq
MiFish.0321.1Prt.Dn.1TR2,MiFish,Locus_MiFish_NGN0220_S34_L001_R1_001.fastq,Locus_MiFish_NGN0220_S34_L001_R2_001.fastq
MiFish.0321.1Prt.Dn.1TR3,MiFish,Locus_MiFish_NGN0221_S35_L001_R1_001.fastq,Locus_MiFish_NGN0221_S35_L001_R2_001.fastq
MiFish.0421.1Prt.Dn.2,MiFish,Locus_MiFish_NGN0222_S36_L001_R1_001.fastq,Locus_MiFish_NGN0222_S36_L001_R2_001.fastq
MiFish.0421.2Brn.Up.3,MiFish,Locus_MiFish_NGN0223_S37_L001_R1_001.fastq,Locus_MiFish_NGN0223_S37_L001_R2_001.fastq
MiFish.0421.3Chk.Dn.3,MiFish,Locus_MiFish_NGN0224_S38_L001_R1_001.fastq,Locus_MiFish_NGN0224_S38_L001_R2_001.fastq
MiFish.0421.4Pad.Dn.1,MiFish,Locus_MiFish_NGN0225_S39_L001_R1_001.fastq,Locus_MiFish_NGN0225_S39_L001_R2_001.fastq
MiFish.0421.4Pad.Up11.3,MiFish,Locus_MiFish_NGN0226_S40_L001_R1_001.fastq,Locus_MiFish_NGN0226_S40_L001_R2_001.fastq
MiFish.0421.5Sqm.Up.1,MiFish,Locus_MiFish_NGN0227_S41_L001_R1_001.fastq,Locus_MiFish_NGN0227_S41_L001_R2_001.fastq
MiFish.0421.3Chk.Dn.3TR2,MiFish,Locus_MiFish_NGN0228_S42_L001_R1_001.fastq,Locus_MiFish_NGN0228_S42_L001_R2_001.fastq
