Sample_name,Locus,Hash,nReads
COI.0321.2Brn.Up.2,COI,2ec78f4e561eff6f145269b3281cf497f7627dca,3571
COI.0321.2Brn.Up.2,COI,8278f17acfb259439877603a23a8314c3af064f6,28
COI.0321.2Brn.Up.2,COI,e9ae04a410735949efe3ed7149bb088bf3e57e70,43
COI.0321.2Brn.Up.2,COI,7c4dc16d44ed404a1a5b9710ead57ee62a27b279,1807
COI.0321.2Brn.Up.2,COI,290d16fbe14c5c0b729585bcec94ae20e2a66f29,415
COI.0321.2Brn.Up.2,COI,bd907eebe8c54fc35994d00b3318b898ebb79a51,913
COI.0321.2Brn.Up.2,COI,bc02f2a31dc3341d916070e2a69ca7f2840c46a6,826
COI.0321.2Brn.Up.2,COI,007d57343da8b23cf493f3c66d6d59d96617e00f,757
COI.0321.2Brn.Up.2,COI,a0808c3049d8cb6510e36914b4b81d242264bca7,526
COI.0321.2Brn.Up.2,COI,7fcf8ab238c7b5c792191ef8d9113bb83cb93c97,423
COI.0321.2Brn.Up.2,COI,9e25bd6c089c4e6ad5c653d1bfeb5bdefa090b51,543
COI.0321.2Brn.Up.2,COI,d717c1cc4bb12e3fa38fc247ebd34a7f5c01b54d,180
COI.0321.2Brn.Up.2,COI,e8da07052900d1394cee992be34f83aa07639f8f,7
COI.0321.2Brn.Up.2,COI,a6e5b80ad88f8f7a23de07dfd414d57f84636753,212
COI.0321.2Brn.Up.2,COI,5a4892eb908c6ce3cd6e4fa170f9f536e02f11b5,86
COI.0321.2Brn.Up.2,COI,7f77a1e269b16ffd1131b86ebd9532b5c9e41301,124
COI.0321.2Brn.Up.2,COI,f29b7aa6f87d16401df576261ed7cd7e44559017,12
COI.0321.2Brn.Up.2,COI,b450a1868a85869b3a6055c374a27b99896e4816,7
COI.0321.2Brn.Up.2,COI,5f163531b35e785031e3bef381b6a2c8e42ff7af,56
COI.0321.2Brn.Up.2,COI,85cc7cb53cb13c6aaf8c7bdcb36c303c443572cf,249
COI.0321.2Brn.Up.2,COI,103eda75da0657f3817155d2b96a497b5a26dddf,115
COI.0321.2Brn.Up.2,COI,b8e861bd35a8b432ce585d48c79b2125a561908b,75
COI.0321.2Brn.Up.2,COI,9fd0f1cdb2658f99c7a2de577a81fbf03507438c,206
COI.0321.2Brn.Up.2,COI,2cccc455fe24e45d9e191762b73503e703e08497,47
COI.0321.2Brn.Up.2,COI,a41903f26061e0750bea8135a7a82b66df6afd0f,14
COI.0321.2Brn.Up.2,COI,8538bc651583daa593b0bb72988aa1906c088b35,61
COI.0321.2Brn.Up.2,COI,9e5f9a11911e23c80ead23b92c1cd8360835b1a5,35
COI.0321.2Brn.Up.2,COI,fef7f333b4a33e3b9e281b9507ae41c3ead40dae,108
COI.0321.2Brn.Up.2,COI,6548b644dbe3b94cfc42f8b5371aba9ed80724bd,123
COI.0321.2Brn.Up.2,COI,0dd5484138196c9ce626633bf0fc2e4af34d1645,62
COI.0321.2Brn.Up.2,COI,b753ff6b73547c87ad9856eaf323381e57cdd256,36
COI.0321.2Brn.Up.2,COI,01eb76834eecb8a5ee4bb7d06f23f483f8668f00,95
COI.0321.2Brn.Up.2,COI,0394d6cc3d6d0e035cb06ac9b9a6aed2b081e6bd,80
COI.0321.2Brn.Up.2,COI,5615a89cdbb8b7fa005b187cca2000b135d4ad3d,113
COI.0321.2Brn.Up.2,COI,11797089de84a3fd4c1975fba6e68a6e1fefb264,68
COI.0321.2Brn.Up.2,COI,b17bc15b43df749b89426494c3cae5b60c394a27,86
COI.0321.2Brn.Up.2,COI,f77a859e23b4ce9cd02061a05c3f5d39943a4043,121
COI.0321.2Brn.Up.2,COI,b4cf5fedbf880d9cb6220864070122fd5dd71461,19
COI.0321.2Brn.Up.2,COI,0ed071f3b6b6154a6df3da4880f9986742065ec2,116
COI.0321.2Brn.Up.2,COI,f7134332cfbc68026dfb6e9b23413341871f153f,5
COI.0321.2Brn.Up.2,COI,c47dcd5cc705094d93122b055340a58768857cfa,139
COI.0321.2Brn.Up.2,COI,8ada084a1afb2b81a7cd5a1a56262dc36dd268c7,114
COI.0321.2Brn.Up.2,COI,bb9f55939bf7318cf15ee25b0a24bf13c51895e9,61
COI.0321.2Brn.Up.2,COI,cfb1664dc73ffd93c5022d6fc8cb8e906fb7c857,66
COI.0321.2Brn.Up.2,COI,9236c858b4af07bf8724f5b367da9e17e936d615,62
COI.0321.2Brn.Up.2,COI,544a7ae34cbff9f505d5761aabc4e5816f108296,75
COI.0321.2Brn.Up.2,COI,8f0aba3d460e6971e873fc29b15e210f045d7aea,81
COI.0321.2Brn.Up.2,COI,33aa71c34f9f50d8b72e918b375fa572db884fce,55
COI.0321.2Brn.Up.2,COI,92a12e355a1bb9870beb55df87cd7bd4d17394ec,100
COI.0321.2Brn.Up.2,COI,95165515c3803c622a9cc21470494f1951017559,110
COI.0321.2Brn.Up.2,COI,12e8dc8f57e908ccac25b5abf1a49af06eedc525,94
COI.0321.2Brn.Up.2,COI,51b24df83b4a68613b34065c1583207d8fb4ad9b,8
COI.0321.2Brn.Up.2,COI,7494c8f53407c9eb8d5935cd8f438822a6138b63,78
COI.0321.2Brn.Up.2,COI,8b37988f78eb148bbafe47d7c1310ea41e78578f,75
COI.0321.2Brn.Up.2,COI,47059bcdb5105e97b80719b92bebf17ce0b7360c,48
COI.0321.2Brn.Up.2,COI,53e9531f0390bbf276330e1b71c05795037ebd89,66
COI.0321.2Brn.Up.2,COI,61978b2c126b68e9814269fca0cb5572c186741e,82
COI.0321.2Brn.Up.2,COI,0bd2b766bf8fdfe5d5089a389cd02f122c1affae,73
COI.0321.2Brn.Up.2,COI,0b271fb02662287b8c0c31eb9da9801ae9505d32,47
COI.0321.2Brn.Up.2,COI,b147ac50d60c0fd1d4567680e9a0081d020130e4,87
COI.0321.2Brn.Up.2,COI,ad4f3ff8bb5d79726f4e8a4eb542d0f4c6a7e85d,49
COI.0321.2Brn.Up.2,COI,661d51160f7f405db146acde9289820ba139cd42,75
COI.0321.2Brn.Up.2,COI,ad9e55937091ebf89d04243a3840e7a77dfd1369,58
COI.0321.2Brn.Up.2,COI,5de256af930a2488f9242abe14e185bf3e9851b3,81
COI.0321.2Brn.Up.2,COI,5e998b58b276d3b2e32bac1ae3f0ea1342e20023,89
COI.0321.2Brn.Up.2,COI,a73140bc19e2a8c32780ad0214cd417bbd8a8541,64
COI.0321.2Brn.Up.2,COI,2a7014d73a52eca3e9ab0af51211a076caa8e3eb,62
COI.0321.2Brn.Up.2,COI,7fea0f8cd9f9d152b2a023979c04fdd9b158abf7,66
COI.0321.2Brn.Up.2,COI,cedef7b3dcc1e5edeee682f6e19a24913895281a,38
COI.0321.2Brn.Up.2,COI,71d6170f28019b6dc9b423608c26049baa7d04ad,74
COI.0321.2Brn.Up.2,COI,b150f0527c06cd415298ba8a2bf21659de04939a,38
COI.0321.2Brn.Up.2,COI,6bc9993a83d5fb2ebb2e49b40ab7daa4efcb2e76,7
COI.0321.2Brn.Up.2,COI,af293dba5ecb19eeb33a9be3e2a121c0394055d4,81
COI.0321.2Brn.Up.2,COI,4e985010fd2a82c9b56deb5adeb49bb2746c193e,51
COI.0321.2Brn.Up.2,COI,717bcaf169c64d9f2acbd4b7b6a11620613a319a,14
COI.0321.2Brn.Up.2,COI,80dfeefe610dc4776e8595596e90c093f0bce01e,51
COI.0321.2Brn.Up.2,COI,2915b0a8afcb5792b329c9627ac1194bf1db03ce,46
COI.0321.2Brn.Up.2,COI,dc423395a6d0cb1eb2ab227df8a6ded2f30c7393,56
COI.0321.2Brn.Up.2,COI,26cd5f6db545f8182afaec29e5e8548a0583e50e,21
COI.0321.2Brn.Up.2,COI,41dd81ae371d4be95cdf8ac9b8328f98b7b8fd24,73
COI.0321.2Brn.Up.2,COI,f2034452e62e3b6a384a11f2bf79c985c6829f74,19
COI.0321.2Brn.Up.2,COI,1f9c925d231cd94997cac181977f11c5e6ddc939,73
COI.0321.2Brn.Up.2,COI,6a9b362dd6079c4fd0736853d1b1faf26b097ac1,23
COI.0321.2Brn.Up.2,COI,fdcaa77b6eb8bf7cd77a5f84f8ea40f819717e7d,48
COI.0321.2Brn.Up.2,COI,3f557cd9149dc34b04418c2ff1eb7f241f7efd3a,72
COI.0321.2Brn.Up.2,COI,a0a241cfdf8976d02ca6f45538ee305b8773887e,12
COI.0321.2Brn.Up.2,COI,e577ebe1c936dffa890b5c87a56ea221ef8a115b,41
COI.0321.2Brn.Up.2,COI,ad1fea252b45e23e3cde64abaa64e6b81cd7d959,24
COI.0321.2Brn.Up.2,COI,f2874d3a74c7b348ec38b3187dcaf7972884d912,17
COI.0321.2Brn.Up.2,COI,9d0a7e8394c93d548b6757ec669c17f0b31f8c98,38
COI.0321.2Brn.Up.2,COI,b4332c6e038f7c0e9fa1ecd6a84e16c0c43146ac,49
COI.0321.2Brn.Up.2,COI,165cd60f2cd4b397f12ceee91382128ef86119fc,30
COI.0321.2Brn.Up.2,COI,07c8aafde56e4f7a11907f8127ec570b1cf8570c,33
COI.0321.2Brn.Up.2,COI,134d525cdb78a3672bc9ac147ce77beb821f0b0c,49
COI.0321.2Brn.Up.2,COI,3d63e821ce4d75b87e31154e653a1ed1291da50d,16
COI.0321.2Brn.Up.2,COI,6a0c94ff2bebb442dde6c933233ba96fae79feff,86
COI.0321.2Brn.Up.2,COI,019adefbe011b9134df171517147af99487e7449,56
COI.0321.2Brn.Up.2,COI,acbe01c76c48daa00ea9851dd3c38490e5eac130,44
COI.0321.2Brn.Up.2,COI,e7c064da1d606c0f94ae9a8196be3d221e5d2355,55
COI.0321.2Brn.Up.2,COI,64c3289bc0a7f1ae43a8150a3935fc82c0bdc1a2,26
COI.0321.2Brn.Up.2,COI,38bf955f53b24a8b099fdded3f167fe180ccdd04,28
COI.0321.2Brn.Up.2,COI,f3e36916099ece9b9456ff123b0c03518f8ec667,29
COI.0321.2Brn.Up.2,COI,2287856c7bcc6726615edf278f62be26e51797a8,14
COI.0321.2Brn.Up.2,COI,47036ad93299ddb7557bff5014c73344d892a248,51
COI.0321.2Brn.Up.2,COI,5f47a397ab54833cb91371353ee1af76b488fa01,5
COI.0321.2Brn.Up.2,COI,553afd6abf63bd86c330e8a4e8bb8d9e5f535a58,3
COI.0321.2Brn.Up.2,COI,f63050c30c8fc50ccde5bd1f2f17722be561e266,26
COI.0321.2Brn.Up.2,COI,f646c94909c2f3a646f60b6be6712279d44cc141,70
COI.0321.2Brn.Up.2,COI,19b0fda988d7b70f1b3d36aa10a554ed18571cd4,24
COI.0321.2Brn.Up.2,COI,e17afafce361c01ea2523676554434b5b9b9ac64,16
COI.0321.2Brn.Up.2,COI,5ca5c9d5e25c80e6887a0ddc4de099637a92b571,36
COI.0321.2Brn.Up.2,COI,5dbd08b5e57e140dd429b0e86a3aed56b64cd8f2,7
COI.0321.2Brn.Up.2,COI,d671791d22395557f74615f8200c479382acfbdd,40
COI.0321.2Brn.Up.2,COI,ed748023f53d1a575b80df82e8092eafccf9f0c4,51
COI.0321.2Brn.Up.2,COI,601d10e35112d8c3bafc5402888b34f79847b1f5,50
COI.0321.2Brn.Up.2,COI,4355c3e98eb645811aff74ac8ec201574614f007,23
COI.0321.2Brn.Up.2,COI,055019b1adef8ff0555d35f17f87649b3c2c0139,20
COI.0321.2Brn.Up.2,COI,90198c9b7e7b827e95724590e74cee0babde3414,44
COI.0321.2Brn.Up.2,COI,2124731e0b180e08427897ecf68cf674d1878ea0,47
COI.0321.2Brn.Up.2,COI,62ef3a01117ac19bc3a27cd2b0d742cc2d8a8e02,28
COI.0321.2Brn.Up.2,COI,a415f41fe4551fb60d8bddf39fc131a86609fe76,49
COI.0321.2Brn.Up.2,COI,533410eaa6cf65b02c48fb197bcef202d748afa8,19
COI.0321.2Brn.Up.2,COI,adc8b09f3b13e398a8a4d3e76094bbc4600b4d53,28
COI.0321.2Brn.Up.2,COI,6c2f8c203ff47c4488b9cbb9523467c7d384ba49,27
COI.0321.2Brn.Up.2,COI,7530f86ed48e0e25f1fdf492696cec124dc9861e,22
COI.0321.2Brn.Up.2,COI,f53294c90e5e8e2c8e612280d36eca25d2c66112,22
COI.0321.2Brn.Up.2,COI,baf7e7a2d86a023affafa9b73b91ba06a2851beb,12
COI.0321.2Brn.Up.2,COI,b344622c2d9abd533578bd419d8b21d777a51992,33
COI.0321.2Brn.Up.2,COI,59b0d1c891684266440fb925be1322c3b4366867,22
COI.0321.2Brn.Up.2,COI,f8021852ae9cdca976b8d04c9f7e2e4e656631cb,16
COI.0321.2Brn.Up.2,COI,fcf38289d1af5a5d33c411f2cfd28d2bb4bbe4e5,48
COI.0321.2Brn.Up.2,COI,db7cbd88f1b473915a637b260a59dd1d6932803a,25
COI.0321.2Brn.Up.2,COI,0c1db55d313817554f282936133320231ddfb417,11
COI.0321.2Brn.Up.2,COI,8ea6af68475877760a3d59a170b5f5889dcf0078,34
COI.0321.2Brn.Up.2,COI,72ca7b0cbd653700fbf0995fee52024271fc5a18,8
COI.0321.2Brn.Up.2,COI,a0fc08ca6be33cb9a887811d6ab800ceb97adc83,31
COI.0321.2Brn.Up.2,COI,7db108532e59e1f2882b7639df6ba43d1d8a7687,68
COI.0321.2Brn.Up.2,COI,f59656d36d1d0b392a95baf79e206d311030294e,37
COI.0321.2Brn.Up.2,COI,902f9f742be0754d34264b34957a4ac2fb4ee952,23
COI.0321.2Brn.Up.2,COI,314e1f5ef4256e5ab82d4847f7e2df64f098bb81,12
COI.0321.2Brn.Up.2,COI,e2d5078a58a9fc5b987e5ccdb24747f2d3c654e3,41
COI.0321.2Brn.Up.2,COI,c8b4e5dfcc1b091943d753c407f6fe165cd96ebf,42
COI.0321.2Brn.Up.2,COI,e5bf31c85395fd17bfe055d1150ae6720263cbf1,33
COI.0321.2Brn.Up.2,COI,5a9ec9151398685ced673f202106ca524017f44d,16
COI.0321.2Brn.Up.2,COI,633679573cf1091e1befea5a840b3aa8c0bc22a3,22
COI.0321.2Brn.Up.2,COI,98f66c85e59672f87a5abef0bfecc87750720b38,33
COI.0321.2Brn.Up.2,COI,5402672c4768a47baecb5975ab6c20c36403b705,9
COI.0321.2Brn.Up.2,COI,adea6c742049771706e02236730234332b91f292,15
COI.0321.2Brn.Up.2,COI,cf98edc4142007fb5e49506f7de016d153501322,12
COI.0321.2Brn.Up.2,COI,d72d63f9557e76a3ccee7d494b13932e22851b95,18
COI.0321.2Brn.Up.2,COI,1f4fe12465b3a2a2ec40db4fd39e44734b82b77a,49
COI.0321.2Brn.Up.2,COI,ff583ca0e8f673ea629277330fbcd49ce026833a,16
COI.0321.2Brn.Up.2,COI,612767f9eab3a88ca4c2f5ed2e91dc48f4cb9606,19
COI.0321.2Brn.Up.2,COI,5cde0ace216e6b7cce4b9d87a791c0bc864ae776,31
COI.0321.2Brn.Up.2,COI,eace3b4b48c590e3810d74d43fd4330d1da0926d,20
COI.0321.2Brn.Up.2,COI,9d0ebcf0079e4f9dac4725247ddc0d024f282644,42
COI.0321.2Brn.Up.2,COI,e729f5ce45090c7315565d7883ed4144736346c0,6
COI.0321.2Brn.Up.2,COI,8d942887d72a401d893ad8b78ade950a3a00a400,63
COI.0321.2Brn.Up.2,COI,18325d78a83fb9062b5c77784192557f057bfd5d,21
COI.0321.2Brn.Up.2,COI,0e253fe7d325c0519a652f856629576b44af37ed,36
COI.0321.2Brn.Up.2,COI,26fa5489ab123b1b8e9fca666c321cb061715ed0,31
COI.0321.2Brn.Up.2,COI,403a0f2b2ad2e4d2b04235ff92617c11dcde0e8c,50
COI.0321.2Brn.Up.2,COI,aa4a8e904f80b93c333134c71603ede62257f382,46
COI.0321.2Brn.Up.2,COI,3994ee5566e4e73d95f8265419bff47296c66166,31
COI.0321.2Brn.Up.2,COI,84d18614873729636bc30fbfc911b90ef5034a34,26
COI.0321.2Brn.Up.2,COI,e31ebb7b3b358a6749a54035630043ffe1642f33,23
COI.0321.2Brn.Up.2,COI,779aaae14d8612b09aa66757f600fe7cbd551289,27
COI.0321.2Brn.Up.2,COI,8fb2fde214655cd01ba62f14d8d4691561288f3f,47
COI.0321.2Brn.Up.2,COI,261db9641af69b9d19f1b8cf4179984aaeaa14e4,28
COI.0321.2Brn.Up.2,COI,103a50139acb99de2e2c87732fd878896e69b3a2,49
COI.0321.2Brn.Up.2,COI,fbfbdc49ceb2e85ddfb30d8c5c790e983920712c,24
COI.0321.2Brn.Up.2,COI,5984e6b5c505349bedf06ec0839a2f498e36961a,11
COI.0321.2Brn.Up.2,COI,c5a27dd14c978fce98b87905c1317619b1fb236a,44
COI.0321.2Brn.Up.2,COI,528aa3750d592c117427fb7e7c0bee5235377f9b,54
COI.0321.2Brn.Up.2,COI,95fe46ce81d16272c9e890b681b8146bd8db4ffe,14
COI.0321.2Brn.Up.2,COI,e0e83afce1e576b8afaaf8acdf48869c96ab401b,31
COI.0321.2Brn.Up.2,COI,edaf84de4d54c6b0483481676ea6734d8f7ddee0,44
COI.0321.2Brn.Up.2,COI,53a4b64f3484a13a4ff99520823523c8872f0de3,31
COI.0321.2Brn.Up.2,COI,045f02570ed80b52127ca48d3fdf4088ae6adceb,29
COI.0321.2Brn.Up.2,COI,8a149a461703f9704763d81c9a21131046a3c90e,24
COI.0321.2Brn.Up.2,COI,7af2d5bfa93f12c7b5c35e75f11cc8be3f02787f,28
COI.0321.2Brn.Up.2,COI,d8ebf6dc56648ffd1e4a8809c22265067df196d5,31
COI.0321.2Brn.Up.2,COI,18d014f4685a3039cbd232724c30b767fa3e0e90,22
COI.0321.2Brn.Up.2,COI,ed71116490f8a63b721e7c9c8ba0045718077dc7,12
COI.0321.2Brn.Up.2,COI,1c005bd71d41f1a8dbcd5d7e726849c668d222c8,22
COI.0321.2Brn.Up.2,COI,30332c7a5c920b003d2cd0af1be44bdb866b41f7,21
COI.0321.2Brn.Up.2,COI,d294b5bc92a43e26fc4f6b9a909b8355cce21b46,28
COI.0321.2Brn.Up.2,COI,e7128da2c417ac08aea66fc13227dd9ac7150657,16
COI.0321.2Brn.Up.2,COI,dd46b60547fd263594014ada267f1e137c0ea31e,36
COI.0321.2Brn.Up.2,COI,0bf55e6ca5ae4c242bb8f3ead7eb5eaae52164b0,23
COI.0321.2Brn.Up.2,COI,be1376af2cad5f0a861e6544492ceb82f4ec343b,19
COI.0321.2Brn.Up.2,COI,353b0a5e1848730e357529b5c3c23e7820b33c97,11
COI.0321.2Brn.Up.2,COI,860aa9a8d35e731ee95b18c4115df54a6408dae5,19
COI.0321.2Brn.Up.2,COI,2ff1c22ac70453ff789aa19f970cb84b24c4b17c,5
COI.0321.2Brn.Up.2,COI,527cda2c21989b39f9463d6ade923fdebd848674,29
COI.0321.2Brn.Up.2,COI,be82c69232099ee521042b41561d8598641ae36e,29
COI.0321.2Brn.Up.2,COI,e3dcde55d9cf1bbccd3ec894a9d310fc13664643,16
COI.0321.2Brn.Up.2,COI,145c6923bcc5b1c8859476d89fe4c342eca470ae,9
COI.0321.2Brn.Up.2,COI,f9a2c742e43b3fcb0702f6501853fd3f920ba422,7
COI.0321.2Brn.Up.2,COI,0d47e42bc48fa0c36dbe754da06876bdb3b6af80,19
COI.0321.2Brn.Up.2,COI,32fe1c2b1a424734137084e8b4e0c72b3e066ac4,24
COI.0321.2Brn.Up.2,COI,3b9d8980f29fa33e8849096b0d30459f95c0c35f,23
COI.0321.2Brn.Up.2,COI,4458af525941239960729d2a845dd51e06b60147,34
COI.0321.2Brn.Up.2,COI,ac7620cc8d7f1ff3b370e595588c389f4afd930b,20
COI.0321.2Brn.Up.2,COI,5931c512f1cc1d8397d01cfce1c3b574572f6638,26
COI.0321.2Brn.Up.2,COI,0289b82b827f41c2ffa173f9f64ce48602348805,18
COI.0321.2Brn.Up.2,COI,cb29ca7773795efd57bb73788900815d6ae759be,25
COI.0321.2Brn.Up.2,COI,ed107a69696609b3329a36d84326cecd79559a5e,10
COI.0321.2Brn.Up.2,COI,ace979e677c8ca8737eb89c62f1f0906c1f4b8d0,17
COI.0321.2Brn.Up.2,COI,af99598a7401b283f01fb7c87f52a94403df5c4d,8
COI.0321.2Brn.Up.2,COI,b113051a0135e71ede1bf0ee736ce1fa89f93dde,8
COI.0321.2Brn.Up.2,COI,7f46d4486c62a7bbd0caff78ca1c25bef51420b0,5
COI.0321.2Brn.Up.2,COI,368b6a0db6d1c21c975b5bf9b259d578916a6278,26
COI.0321.2Brn.Up.2,COI,b46daf097f5a295f2d7bf4fad38820fb0d93e89b,22
COI.0321.2Brn.Up.2,COI,33f0bd256aefc436ddcb71d8b0b3b7c45f4b200c,4
COI.0321.2Brn.Up.2,COI,a4676765ffe13b15927c1011996e0ca9a38ac120,29
COI.0321.2Brn.Up.2,COI,df865c065e0717d86bb2782e397bddf60e157166,21
COI.0321.2Brn.Up.2,COI,5cfeebe712c753daec0080149f1aff85e01d4ad2,13
COI.0321.2Brn.Up.2,COI,98205e9c514e17cb58ab23cc7fd138f7b05ba639,27
COI.0321.2Brn.Up.2,COI,eb8b6829c2c437f56b0ee1fd9593586be8c09c86,11
COI.0321.2Brn.Up.2,COI,eee4e21a7fdba60f0b881a51acd565c164b6d98f,10
COI.0321.2Brn.Up.2,COI,3fa42dcf548a8f25b1a4c10dc28b542cc0241d83,32
COI.0321.2Brn.Up.2,COI,9c023910fe130913d9d4a02be1ccb3b5ef71c8d5,31
COI.0321.2Brn.Up.2,COI,49a4767faa63f7a03d1368005bac80ced0eb84a9,27
COI.0321.2Brn.Up.2,COI,ca69dd6e70d7b91ff6c87630f7e90ee5f5ff7692,23
COI.0321.2Brn.Up.2,COI,7620a4bd739d4a8c7ee7d0374fca1a32af97d34b,13
COI.0321.2Brn.Up.2,COI,89b7417f36503ecd985afc227cc50f1ae470f5bd,25
COI.0321.2Brn.Up.2,COI,7490d7e8afa627fc13d0f96351bdbb8e2ec9f4b5,34
COI.0321.2Brn.Up.2,COI,bbd4224e851ea8a0e8096253ac644d9fbe639db2,22
COI.0321.2Brn.Up.2,COI,f3ce2aa0af885d252f629afe6191bcd28926babc,12
COI.0321.2Brn.Up.2,COI,1e30f6d2d5742ac59720d255b50862578dfcfb99,20
COI.0321.2Brn.Up.2,COI,5019f2aa9bb2a313a1102378d741550c422e0c5b,26
COI.0321.2Brn.Up.2,COI,bc5483c467c316d3b5657016a569849868343899,20
COI.0321.2Brn.Up.2,COI,14316605874e1f5356baa7e847b4f2abf9de44c9,12
COI.0321.2Brn.Up.2,COI,68b9b2675569cd7768c8dc559779d19abd6f76f1,18
COI.0321.2Brn.Up.2,COI,9139cb759aa56b40e565a14ac77d062d6a6513e9,15
COI.0321.2Brn.Up.2,COI,8e53f4e1efc2bd8c5054583246dff30f0a4ed4d6,16
COI.0321.2Brn.Up.2,COI,34b05c0bda8701d3ca26b5e97259b45a046729c1,10
COI.0321.2Brn.Up.2,COI,abe0bf67a21ad20d5c577c0d52464c88ef8089a9,7
COI.0321.2Brn.Up.2,COI,e8f48f834a4f7d631cd70989ac82a98cd27a8c2f,3
COI.0321.2Brn.Up.2,COI,048dcbee2969f14b43413c82ad3d0c2be64fe891,17
COI.0321.2Brn.Up.2,COI,02bafecafb099b74a3ad11d94f0707c7a551baf2,23
COI.0321.2Brn.Up.2,COI,e8563774b4b8587dd543187a4cca61ecfbd7835c,10
COI.0321.2Brn.Up.2,COI,f56b226e2a2329a1057f4d583e3f0f08eba0d344,26
COI.0321.2Brn.Up.2,COI,0b5efd64e8a6a9e7a77250b9d9131cce883f88c6,7
COI.0321.2Brn.Up.2,COI,d7bf19a48e87255041dbce43786908ab231284e9,20
COI.0321.2Brn.Up.2,COI,f6fe1e1c4747fcc7ae45414b0a2bcd9ee4146c2a,4
