Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
COI.0321.2Brn.Up.2,COI,35076,32756,28577,29161,26587,26587,26451
COI.0321.2Brn.Up.2TR2,COI,42672,39892,35320,36034,33177,33177,32940
COI.0321.2Brn.Up.2TR3,COI,264359,248971,241989,242610,235035,235035,233365
COI.0421.1Prt.Dn.1,COI,35361,33017,28164,27612,23962,23962,23819
COI.0421.2Brn.Dn.1,COI,38469,36420,31079,32129,28618,28618,28535
COI.0421.2Brn.Dn.2,COI,30375,28970,26012,26440,24214,24214,24076
COI.0421.2Brn.Dn.3,COI,33614,31820,26559,27433,24559,24559,24104
COI.0421.3Chk.Dn.2,COI,40689,38662,33830,34588,30990,30990,29822
COI.0421.3Chk.Dn.3,COI,31014,29469,24491,25329,22300,22300,20879
COI.0421.3Chk.Up.1,COI,30297,28716,23302,24306,20881,20881,19762
COI.0421.3Chk.Up.2,COI,32963,30500,25643,26774,23705,23705,21914
COI.0421.3Chk.Up.3,COI,38019,36244,30652,31644,27810,27810,25757
MBT.1m2.072021,COI,16311,15359,14727,14658,13898,13898,13691
COI.0421.4Pad.Up11.2,COI,37845,35789,30975,31559,28346,28346,28296
MBT.1m3.072021,COI,41396,39204,38510,38550,37231,37231,36600
COI.0421.5Sqm.Up.3,COI,37032,33173,28894,30010,26991,26991,26661
COI.0421.4Pad.Up11.2TR2,COI,28876,27373,24533,25357,23464,23464,22256
COI.0421.4Pad.Up11.2TR3,COI,37191,35384,32117,32975,30735,30735,29202
COI.0821.1Prt.Dn.1,COI,39332,36667,32852,33411,30246,30246,30223
COI.0821.1Prt.Dn.2,COI,35085,32832,28957,29242,26241,26241,26201
COI.0821.1Prt.Up.1,COI,18595,17413,13954,14490,12471,12471,12454
COI.0821.2Brn.Dn.1,COI,38937,36805,33042,33517,30959,30959,30842
COI.0821.2Brn.Dn.2,COI,31478,29569,25911,26446,24071,24071,23906
COI.0821.2Brn.Dn.3,COI,37071,33028,29030,29970,27333,27333,27175
COI.0821.2Brn.Up.1,COI,35015,31970,28258,29406,26638,26638,26600
COI.0821.2Brn.Up.3,COI,38157,35976,31442,32223,28956,28956,28921
COI.0821.3Chk.Dn.3,COI,38644,36368,35546,35566,34772,34772,34706
COI.0821.3Chk.Up.3,COI,35115,32177,28281,28703,26223,26223,25766
COI.0821.4Pad.Dn.2,COI,37047,35430,33858,33993,33329,33329,32968
COI.0821.4Pad.Up5.3,COI,48894,46242,41543,42555,39639,39639,39247
COI.0821.5Sqm.Dn.1,COI,37044,34919,34020,34310,32107,32107,27805
COI.0821.5Sqm.Dn.2,COI,35730,33423,32581,32828,30988,30988,27770
COI.0821.5Sqm.Dn.3,COI,27349,25747,25031,25292,23534,23534,20519
COI.0821.5Sqm.Up.1,COI,26662,25029,24490,24606,24244,24244,23994
COI.0821.5Sqm.Up.3,COI,36955,35329,34629,34711,34182,34182,33626
COI.0821.5Sqm.Dn.1TR2,COI,34631,32498,31776,31904,31309,31309,30679
COI.0821.5Sqm.Dn.1TR3,COI,30521,29255,28748,28776,28385,28385,27990
COI.Kangaroo.Run.3,COI,36365,33984,33883,33919,33396,33396,32798
HIP.1m3.072021,COI,37305,35055,34128,34282,32251,32251,31726
HIP.15m.0721,COI,29723,26319,25040,25159,23724,23724,23288
HIP.30m.0721,COI,44234,41805,39956,40062,38134,38134,37451
Delta.BAC1.072021,COI,50433,48017,45748,46063,41643,41643,40612
