"","Sample_name","Locus","nReads","Hash"
"1","COI.0421.1Prt.Dn.1","COI",1405,"e9ae04a410735949efe3ed7149bb088bf3e57e70"
"2","COI.0421.1Prt.Dn.1","COI",848,"83e594b8fd251b7265e2c69e6799abf40f5cfe75"
"3","COI.0421.1Prt.Dn.1","COI",808,"5fb2c5b8a1da76223c3c28c406e65c8483d5fc85"
"4","COI.0421.1Prt.Dn.1","COI",516,"dca61831638b2e4ce05eff11ed66fcd70c0374f8"
"5","COI.0421.1Prt.Dn.1","COI",494,"8278f17acfb259439877603a23a8314c3af064f6"
"6","COI.0421.1Prt.Dn.1","COI",482,"73434005f091706edb085556d7ddb1624139b6f1"
"7","COI.0421.1Prt.Dn.1","COI",413,"632fc231ae48a82b422d56899551151b21c9dfb1"
"8","COI.0421.1Prt.Dn.1","COI",319,"dc22680f8df9832a781f67c5301098f35796ccf6"
"9","COI.0421.1Prt.Dn.1","COI",232,"f29b7aa6f87d16401df576261ed7cd7e44559017"
"10","COI.0421.1Prt.Dn.1","COI",160,"a86872bfabb6c35c3017a276ad571db61a45f1db"
"11","COI.0421.1Prt.Dn.1","COI",153,"3e49cb958f511ddc3d829e276126bc1c00bc410e"
"12","COI.0421.1Prt.Dn.1","COI",153,"3d0f104db642c761d2bac30878566e1d4aa17566"
"13","COI.0421.1Prt.Dn.1","COI",140,"e16a93ca9bf1f81bb8a7b80876cdebdc261c8d65"
"14","COI.0421.1Prt.Dn.1","COI",138,"4ebfd91fd17fa1de4458fea46a903a8eff16f26f"
"15","COI.0421.1Prt.Dn.1","COI",125,"456cadbed10cc4bc42083e67e688958ec1f13702"
"16","COI.0421.1Prt.Dn.1","COI",119,"44e243b439736bfac18b1bf6d92f98eb5c01247c"
"17","COI.0421.1Prt.Dn.1","COI",117,"d4e2cfa65b557f1f23b2446804fb3a96889f0d10"
"18","COI.0421.1Prt.Dn.1","COI",115,"0adf7b9444acb6f8eb10175a487eef85ba324bcc"
"19","COI.0421.1Prt.Dn.1","COI",106,"22ba7a9708b83a08cd32cccbf67b98f47561c11a"
"20","COI.0421.1Prt.Dn.1","COI",105,"e8da07052900d1394cee992be34f83aa07639f8f"
"21","COI.0421.1Prt.Dn.1","COI",26,"26eaa4e3d446dbd11e1a9e55f2561e916cd3cc6f"
"22","COI.0421.1Prt.Dn.1","COI",99,"f682f5180390cd651de8da8c58496479420cd4ef"
"23","COI.0421.1Prt.Dn.1","COI",98,"3c41ac759f0e980a008efe5d96ff13e51aad1909"
"24","COI.0421.1Prt.Dn.1","COI",95,"f517c2b4702d4d496c5c3123aa452e7582c9cb20"
"25","COI.0421.1Prt.Dn.1","COI",95,"7ed544deb92fadbb35588c52adbc51ed437099f3"
"26","COI.0421.1Prt.Dn.1","COI",90,"fbb08dc89acd9fdf5b7cc60e6dd2236788f8c4ee"
"27","COI.0421.1Prt.Dn.1","COI",85,"9ff10fe227cf4c9534cb9fcd7344f7d7b8d6baa7"
"28","COI.0421.1Prt.Dn.1","COI",83,"4e0d96ac4da8c70ad7e94270c02fd4993ad950e5"
"29","COI.0421.1Prt.Dn.1","COI",81,"4ebf63f8ed24ac38f5972c0843195731ed42c58f"
"30","COI.0421.1Prt.Dn.1","COI",80,"5f163531b35e785031e3bef381b6a2c8e42ff7af"
"31","COI.0421.1Prt.Dn.1","COI",78,"607a7652f70838e006d54823f55b86fd952e0e8e"
"32","COI.0421.1Prt.Dn.1","COI",71,"ce58180855d37c58484e232cc5bf1a12d79393a8"
"33","COI.0421.1Prt.Dn.1","COI",71,"0cec90bb6478106d0734cf557bcfd6445d58ae40"
"34","COI.0421.1Prt.Dn.1","COI",70,"4501c35f9927acd63f7a71e5a44b59ca81d85e23"
"35","COI.0421.1Prt.Dn.1","COI",70,"b450a1868a85869b3a6055c374a27b99896e4816"
"36","COI.0421.1Prt.Dn.1","COI",69,"294aba62a7def1da522663cd64b519e9ace960c0"
"37","COI.0421.1Prt.Dn.1","COI",68,"39e24c2842757a98a522f176d03c2fb86fea00f2"
"38","COI.0421.1Prt.Dn.1","COI",66,"5dd05c86a8b817456db8edf5e5ed758ca4fffaf6"
"39","COI.0421.1Prt.Dn.1","COI",65,"f3578167dd9ba53639ea5aee4c64625e5e6230c9"
"40","COI.0421.1Prt.Dn.1","COI",64,"93556e3403099cacb1979e78e80c1740f65b6618"
"41","COI.0421.1Prt.Dn.1","COI",63,"ebd919693d7678dad67ab031f77466861756f29c"
"42","COI.0421.1Prt.Dn.1","COI",63,"221ee0611c509488606b54e0e73c0fa1062c244e"
"43","COI.0421.1Prt.Dn.1","COI",63,"7c68085e03dcb88de3a85118b316fbd3ab216ceb"
"44","COI.0421.1Prt.Dn.1","COI",40,"d9a01f7f7f88028ba5049dc081faf9faa81aa28f"
"45","COI.0421.1Prt.Dn.1","COI",62,"3c747143d196a2728dd4df1f99e452c4a8b5159d"
"46","COI.0421.1Prt.Dn.1","COI",61,"1772db1a3579e7edb9ac3cf57e3d305728262eb5"
"47","COI.0421.1Prt.Dn.1","COI",60,"f58ba51dcb0fcca1ec1b97f71e5b318706070448"
"48","COI.0421.1Prt.Dn.1","COI",58,"3d49f0d5a6eea73689a019c53cc7d626074e4bc5"
"49","COI.0421.1Prt.Dn.1","COI",58,"a3b8871d013f1d860ab9e378bcf099945743159b"
"50","COI.0421.1Prt.Dn.1","COI",58,"7a675a965eda56bb67d4bfe0f062216e19a0cef5"
"51","COI.0421.1Prt.Dn.1","COI",57,"b9c727f46124311383017cd37f148e6b63a2806b"
"52","COI.0421.1Prt.Dn.1","COI",56,"51cb4ce65e293d1608106ee2a3a8b0d192c2352e"
"53","COI.0421.1Prt.Dn.1","COI",56,"c33b1180d07b56a01ffc0147115fb938b80c1a7f"
"54","COI.0421.1Prt.Dn.1","COI",54,"8744a39be45266b8452293700726235c5f0fa26f"
"55","COI.0421.1Prt.Dn.1","COI",54,"b352995ef88611f7ef211dbae4cb85df2f13bfa2"
"56","COI.0421.1Prt.Dn.1","COI",54,"b536a59256b8c8f1c4929c0472de7e9ed677d336"
"57","COI.0421.1Prt.Dn.1","COI",53,"7b302a35366278dbc6f5ea014d5b4b7e657d70cf"
"58","COI.0421.1Prt.Dn.1","COI",53,"48f5cb2ee8058a2e54408e3161e897f9ac048195"
"59","COI.0421.1Prt.Dn.1","COI",53,"eb148d9bb28f0a498e930411e59ea7e95b8719d5"
"60","COI.0421.1Prt.Dn.1","COI",52,"7f77a1e269b16ffd1131b86ebd9532b5c9e41301"
"61","COI.0421.1Prt.Dn.1","COI",52,"b32f700b23ceb2fdc0523e1ebf1cc25863fc8ad2"
"62","COI.0421.1Prt.Dn.1","COI",51,"cfeb4dd8d24cab6f90bc0900bc270c1205e25430"
"63","COI.0421.1Prt.Dn.1","COI",51,"95fe46ce81d16272c9e890b681b8146bd8db4ffe"
"64","COI.0421.1Prt.Dn.1","COI",51,"88b930cf1e2139f7fafa441d9133b00cbd33db84"
"65","COI.0421.1Prt.Dn.1","COI",51,"d592366f3912ab98cacdda09e424326e931c41f0"
"66","COI.0421.1Prt.Dn.1","COI",50,"c806d0f26f49f9e6739195adb0bee30be06bef4c"
"67","COI.0421.1Prt.Dn.1","COI",49,"526183cf14f0077fb64bb7ce6e6b6ea593a3c442"
"68","COI.0421.1Prt.Dn.1","COI",49,"d5e05a4ebb57e6e0dec41aaad82823d67e83004e"
"69","COI.0421.1Prt.Dn.1","COI",49,"7aaf95c8522ab980575b3689a8e897fb97815603"
"70","COI.0421.1Prt.Dn.1","COI",48,"840b5337c8684fc643d0b3562660a153ee7ef708"
"71","COI.0421.1Prt.Dn.1","COI",48,"40df4d906e87ff5c73704fee632a502d4305486c"
"72","COI.0421.1Prt.Dn.1","COI",48,"44980b5f9b4c0a49c37440405f1aa64f1c79a84d"
"73","COI.0421.1Prt.Dn.1","COI",47,"e9280109abf13df600001b17d7696be481430d9c"
"74","COI.0421.1Prt.Dn.1","COI",47,"9205f449f4095e0a6ad50e674a4f50039e786318"
"75","COI.0421.1Prt.Dn.1","COI",47,"b13e6667fcd70afb5bf15018f66bad03123933c9"
"76","COI.0421.1Prt.Dn.1","COI",46,"f2874d3a74c7b348ec38b3187dcaf7972884d912"
"77","COI.0421.1Prt.Dn.1","COI",46,"b6e3355cbc0e75eba6cdf464d77534e7d2a40d01"
"78","COI.0421.1Prt.Dn.1","COI",44,"91930498440033c844c257a272bd18bd1e92fb36"
"79","COI.0421.1Prt.Dn.1","COI",44,"92883601cf2a17464075095dbd4736c4c6abc669"
"80","COI.0421.1Prt.Dn.1","COI",44,"89fc96847d4dcc6e8f3eac98429a3129c18a489f"
"81","COI.0421.1Prt.Dn.1","COI",44,"f059e4c571e2ecd64d0f1a9206ea1cda2e943efc"
"82","COI.0421.1Prt.Dn.1","COI",44,"49d935a0e77687b8cd47c8752bac803ea8a3098b"
"83","COI.0421.1Prt.Dn.1","COI",44,"821bb9da403c41be2b4f1461a0b7c057f7927316"
"84","COI.0421.1Prt.Dn.1","COI",43,"c2e0321cfc846b3674b8640e09670f0fe7df2378"
"85","COI.0421.1Prt.Dn.1","COI",43,"ef2c115f267edeb130c748e2ab77e5ee565c0722"
"86","COI.0421.1Prt.Dn.1","COI",42,"4601a9c56469347218b2337b6a941453632d5d5c"
"87","COI.0421.1Prt.Dn.1","COI",41,"349e6e2b0e1961c73d3d74873ee49133c21142a4"
"88","COI.0421.1Prt.Dn.1","COI",41,"a0e2bf76c04a82c15750ea9fdd6522acb73f7c1c"
"89","COI.0421.1Prt.Dn.1","COI",40,"7658debb94f0d7d5f0bf8e31e1c1ba6ef681ec0c"
"90","COI.0421.1Prt.Dn.1","COI",40,"ef7342bea578dd8a7447b1f4d6e47534a1984f0c"
"91","COI.0421.1Prt.Dn.1","COI",39,"24726fd295a8a7a803cdcdcaf969bd9ecd114875"
"92","COI.0421.1Prt.Dn.1","COI",38,"f8021852ae9cdca976b8d04c9f7e2e4e656631cb"
"93","COI.0421.1Prt.Dn.1","COI",38,"ac99be8b9c0da3679389e2b05058ac2643968146"
"94","COI.0421.1Prt.Dn.1","COI",38,"22e7b6dc710239c5c4fe4b375009c2978f5cf28a"
"95","COI.0421.1Prt.Dn.1","COI",37,"513201860d92634b8dd4caf00bf9fdd3e59d7061"
"96","COI.0421.1Prt.Dn.1","COI",37,"f56b226e2a2329a1057f4d583e3f0f08eba0d344"
"97","COI.0421.1Prt.Dn.1","COI",37,"5cd48790d89c200fd38197377fd8b053c8be8217"
"98","COI.0421.1Prt.Dn.1","COI",36,"9db9a93aa67cb59789d2a116d6e109185f1e1cd8"
"99","COI.0421.1Prt.Dn.1","COI",36,"6c0d2262d4730244e6b41b3645881bc16f36526c"
"100","COI.0421.1Prt.Dn.1","COI",35,"cb5791740e6332d97649bc162036c0bec389823b"
"101","COI.0421.1Prt.Dn.1","COI",35,"2f3524719a24e4d0cf7acd89fcc15abc155ff41b"
"102","COI.0421.1Prt.Dn.1","COI",35,"b9bac3b24a965f1e5ac7598035e62f356d273378"
"103","COI.0421.1Prt.Dn.1","COI",35,"6a4166891a6e3d0281f720128982ed1aa1c2f806"
"104","COI.0421.1Prt.Dn.1","COI",35,"76e4f1f25564dcadc0ee8eba7c59767da22c178c"
"105","COI.0421.1Prt.Dn.1","COI",35,"ff583ca0e8f673ea629277330fbcd49ce026833a"
"106","COI.0421.1Prt.Dn.1","COI",35,"5a6296c5fa86e3b4fce47230b5fd8e379a298995"
"107","COI.0421.1Prt.Dn.1","COI",34,"526684e6c408d60162d569cabd8ed045273db964"
"108","COI.0421.1Prt.Dn.1","COI",34,"aa9a6409cc119e129f7dc34866990c949b1935c2"
"109","COI.0421.1Prt.Dn.1","COI",34,"76a7e94b8730d99ec5238445961ed2ba69d1f87f"
"110","COI.0421.1Prt.Dn.1","COI",34,"36aac4acfdfd15dcca71a45ef9729fa8f1e720f8"
"111","COI.0421.1Prt.Dn.1","COI",34,"faf2b7fb7a847ddff4331cb78eac07096b809346"
"112","COI.0421.1Prt.Dn.1","COI",34,"5f07622ee6f4a295fe516fd2a23d1042b3bb8b73"
"113","COI.0421.1Prt.Dn.1","COI",34,"7cead4d0a3a368df94b0ec77416c5781d0e50f74"
