Sample_name,Locus,Hash,nReads
COI.0421.1Prt.Dn.1,COI,e9ae04a410735949efe3ed7149bb088bf3e57e70,1405
COI.0421.1Prt.Dn.1,COI,83e594b8fd251b7265e2c69e6799abf40f5cfe75,848
COI.0421.1Prt.Dn.1,COI,5fb2c5b8a1da76223c3c28c406e65c8483d5fc85,808
COI.0421.1Prt.Dn.1,COI,dca61831638b2e4ce05eff11ed66fcd70c0374f8,516
COI.0421.1Prt.Dn.1,COI,8278f17acfb259439877603a23a8314c3af064f6,494
COI.0421.1Prt.Dn.1,COI,73434005f091706edb085556d7ddb1624139b6f1,482
COI.0421.1Prt.Dn.1,COI,632fc231ae48a82b422d56899551151b21c9dfb1,413
COI.0421.1Prt.Dn.1,COI,dc22680f8df9832a781f67c5301098f35796ccf6,319
COI.0421.1Prt.Dn.1,COI,f29b7aa6f87d16401df576261ed7cd7e44559017,232
COI.0421.1Prt.Dn.1,COI,a86872bfabb6c35c3017a276ad571db61a45f1db,160
COI.0421.1Prt.Dn.1,COI,3e49cb958f511ddc3d829e276126bc1c00bc410e,153
COI.0421.1Prt.Dn.1,COI,3d0f104db642c761d2bac30878566e1d4aa17566,153
COI.0421.1Prt.Dn.1,COI,e16a93ca9bf1f81bb8a7b80876cdebdc261c8d65,140
COI.0421.1Prt.Dn.1,COI,4ebfd91fd17fa1de4458fea46a903a8eff16f26f,138
COI.0421.1Prt.Dn.1,COI,456cadbed10cc4bc42083e67e688958ec1f13702,125
COI.0421.1Prt.Dn.1,COI,44e243b439736bfac18b1bf6d92f98eb5c01247c,119
COI.0421.1Prt.Dn.1,COI,d4e2cfa65b557f1f23b2446804fb3a96889f0d10,117
COI.0421.1Prt.Dn.1,COI,0adf7b9444acb6f8eb10175a487eef85ba324bcc,115
COI.0421.1Prt.Dn.1,COI,22ba7a9708b83a08cd32cccbf67b98f47561c11a,106
COI.0421.1Prt.Dn.1,COI,e8da07052900d1394cee992be34f83aa07639f8f,105
