Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0277,MiMammal,186525,9068,9048,9061,8690,8690,8690
NGN0278,MiMammal,151944,7360,7346,7355,6997,6997,6997
NGN0279,MiMammal,169145,8132,8121,8129,7759,7759,7759
NGN0280,MiMammal,152544,7643,7623,7633,7463,7463,7463
NGN0281,MiMammal,164607,8093,8056,8075,8000,8000,7993
NGN0282,MiMammal,173347,8617,8529,8598,8485,8485,8485
NGN0283,MiMammal,128756,6282,6277,6262,6045,6045,6045
NGN0284,MiMammal,142869,7094,7059,7082,6958,6958,6777
NGN0285,MiMammal,198465,9539,9525,9531,9412,9412,9412
NGN0286,MiMammal,142872,7222,7220,7222,7211,7211,7201
NGN0287,MiMammal,175291,8571,8546,8553,8482,8482,8482
NGN0288,MiMammal,132637,6555,6500,6491,6426,6426,6420
NGN0289,MiMammal,185785,8918,8890,8903,8591,8591,8581
NGN0290,MiMammal,121607,6188,6136,6163,6096,6096,6096
NGN0291,MiMammal,13994,705,699,698,695,695,695
NGN0292,MiMammal,150002,7676,7630,7656,7601,7601,7601
NGN0293,MiMammal,179752,9034,8979,8991,8661,8661,8650
NGN0294,MiMammal,153085,7415,7398,7365,7330,7330,7330
NGN0295,MiMammal,129307,6363,6316,6349,6302,6302,6302
NGN0296,MiMammal,141334,6863,6818,6832,6556,6556,6556
NGN0297,MiMammal,143957,7135,7079,7090,6432,6432,6432
NGN0298,MiMammal,164640,7844,7832,7843,7751,7751,7745
NGN0300,MiMammal,154194,7294,7281,7276,6935,6935,6530
NGN0301,MiMammal,177579,8832,8825,8822,8799,8799,8785
NGN0302,MiFish,103783,4588,4485,4522,4236,4236,4233
NGN0303,MiFish,113595,5121,5000,5003,4619,4619,4607
NGN0304,MiFish,108312,5197,5115,5151,4779,4779,4733
NGN0305,MiFish,108418,5169,5073,5096,4901,4901,4895
NGN0306,MiFish,92543,4073,4002,4021,3845,3845,3820
NGN0307,MiFish,85633,3733,3671,3686,3362,3362,3266
NGN0308,MiFish,122711,5616,5550,5559,5244,5244,5239
NGN0309,MiFish,143961,6585,6576,6575,5357,5357,5357
NGN0310,MiFish,133126,6141,6132,6136,4923,4923,4923
NGN0311,MiFish,151025,7274,7268,7273,6461,6461,6461
NGN0312,MiFish,134545,6320,6285,6290,6115,6115,6114
NGN0313,MiFish,364090,16766,16735,16663,15824,15824,15518
NGN0314,MiFish,200500,9427,9355,9367,9067,9067,8974
NGN0315,MiFish,193869,9169,9102,9130,8955,8955,8942
NGN0316,MiFish,184824,8259,8205,8167,7925,7925,7887
NGN0317,MiFish,206301,9483,9419,9447,9041,9041,9009
NGN0318,MiFish,208235,9817,9772,9785,9531,9531,9525
NGN0319,MiFish,153145,6898,6836,6871,6759,6759,6753
NGN0320,MiFish,250801,11769,11741,11749,11705,11705,11703
NGN0321,MiFish,236493,10804,10688,10756,10486,10486,10482
NGN0322,MiFish,247525,11600,11535,11567,11478,11478,11441
NGN0323,MiFish,193591,8821,8818,8821,6726,6726,6726
NGN0324,MiFish,244595,11609,11375,11483,11073,11073,10937
NGN0325,MiFish,192453,8936,8792,8791,8433,8433,8277
NGN0326,MiFish,75425,3456,3324,3374,3222,3222,3222
NGN0327,MiFish,147415,6884,6849,6850,6801,6801,6801
NGN0328,MiFish,172355,8128,8042,8062,7992,7992,7992
NGN0329,MiFish,194098,9127,9049,9064,9005,9005,9005
NGN0330,MiFish,191265,8796,8744,8750,8680,8680,8566
NGN0331,MiFish,171244,8013,7828,7895,7600,7600,7583
NGN0332,MiFish,141495,6652,6503,6541,6269,6269,6146
NGN0333,MiFish,166578,7884,7696,7767,7164,7164,7090
NGN0334,MiFish,164630,7537,7361,7403,7007,7007,6919
NGN0335,MiFish,199116,9488,9484,9483,9424,9424,9054
NGN0336,MiFish,218956,10150,10127,10135,9576,9576,8358
NGN0337,MiFish,227625,10592,10566,10574,9837,9837,8643
NGN0338,MiFish,187833,8912,8896,8903,8408,8408,7181
NGN0339,MiFish,198345,9263,9238,9255,9217,9217,9204
NGN0360,MiMammal,248061,12156,12139,12142,11492,11492,11492
NGN0361,MiMammal,245846,12032,12019,11882,11205,11205,11205
NGN0362,MiMammal,64555,3063,3054,3062,2607,2607,2607
NGN0363,MiMammal,277576,13338,13299,13319,13149,13149,13137
NGN0364,MiMammal,198643,9781,9772,9778,9690,9690,9666
NGN0365,MiMammal,289503,14005,13971,13997,13786,13786,13778
