Sample_name,Locus,Hash,nReads
NGN0340,COI,0b26118029613a06cb2a66a67c047e1047fbcbed,48
NGN0340,COI,ee2e1757c5900efecb3ba24781d975e27c137c1e,59
NGN0340,COI,d54fea03a2f2baf4d165a7cba28e8b7f3c74df2b,27
NGN0340,COI,0f80dad56150eb892805553e4d9fe3dd0b4c57ad,39
NGN0340,COI,84aefd6e46e257fc6afa6801b15c64882b1e2428,22
NGN0340,COI,3863b5803d14a5cc8f90b4d2d1d70ae099b35705,18
NGN0340,COI,27393096028308be02f5504be9bf94074d953769,14
NGN0340,COI,c6730f5571d10fc858f2ce5f93207caf41d6cfdc,12
NGN0340,COI,a1a78cbb2c166270d76fe7554570be53405177a9,6
NGN0340,COI,0df49bc2a59c9b7a300b71094240ec6f71e1cd94,3
NGN0340,COI,24b53fc31de2820b049798d3a0a181267639334a,2
NGN0341,COI,0b26118029613a06cb2a66a67c047e1047fbcbed,51
NGN0341,COI,ee2e1757c5900efecb3ba24781d975e27c137c1e,38
NGN0341,COI,d54fea03a2f2baf4d165a7cba28e8b7f3c74df2b,46
NGN0341,COI,0f80dad56150eb892805553e4d9fe3dd0b4c57ad,26
NGN0341,COI,84aefd6e46e257fc6afa6801b15c64882b1e2428,26
NGN0341,COI,5c02d6f92cfe0fff96bae83fdd2b004671467054,46
NGN0341,COI,2c98fc44ecadcf1514145685dba4ce515ea8290d,9
NGN0341,COI,f0a00e3ab22a97abf72dea2406002adfc15fc081,7
NGN0341,COI,fa75b22c1dbca70b8a61d938058052eb88964ffd,7
NGN0341,COI,54f8affec7f05ce86422ce3aaf02b4dae5cd2ca1,4
NGN0342,COI,59027eeb931640571c6a359c4d452b397c765558,52
NGN0342,COI,6fa273f106b04e4a88d5274de4c13550db5d2400,592
NGN0342,COI,4170618f3d3e46fd4dd6baa290c00b2303ffcbf3,722
NGN0342,COI,dc08087139074725c40095de25b0fec3f51bbb4d,56
NGN0342,COI,5a9d54df79efa4c662af471692f10e11a0a32471,33
NGN0342,COI,48d367013d1eb201ec05cd5c0ba20f2b107ac200,4
NGN0342,COI,f8ad9bba0376a44b97768f8b13bfdea157d945c0,74
NGN0342,COI,26e7ad58967a023aff3c9b8dca678cb39248a35e,22
NGN0342,COI,8e9a0700ae62c9686cbc124f71abb20e1650f544,192
NGN0342,COI,6772854e7416b0fed5049b0448ffacf1b25bc139,72
NGN0342,COI,e724d4de9522f67b607e2d3bee67e137a017fe48,7
NGN0342,COI,5bc36abcef8a98c5ee664f9eb921c63ee53a4031,55
NGN0342,COI,f4760e6ca94f4f51e1611fcf1c9f00a3568654e4,37
NGN0342,COI,f13ee2974b76725172bc7f57f31fd646e1c0fe74,265
NGN0342,COI,66e2d01df6d16b6d64bdf5b155bf44ebef8fffc9,248
NGN0342,COI,e2dee1da67d8a675c740aecb86a4e267507526dd,12
NGN0342,COI,e47ebcbc410dc9c0d9cb2e3c217e7d309a88b9dd,25
NGN0342,COI,02dd8c767eb987a77ad5b5419a7ee0866b3c231e,12
NGN0342,COI,dcf7846f08b11230689b68f52ccbdc7b2c84399b,10
NGN0342,COI,542c13a0cdf4d9b0626be026511f46b41a04b5e0,43
NGN0342,COI,1da8fadfe4084bc49fdec723888e3d561ffdd5af,6
NGN0342,COI,3d0c7dc472b3f74a50fb664ecfb05ae1fb983e2f,24
NGN0342,COI,75b97a1aaebdda4e143a2746990b599bfd6d0a39,14
NGN0342,COI,a13a7f6c0754f324845db447971c577593cba072,44
NGN0342,COI,7960252019a38a75b154acb04d13154be83ef6f7,130
NGN0342,COI,e3f2b7d4c3ab94874d86b98ee868bb10c96afd98,50
NGN0342,COI,9e539adedb347032ffcc78107034a80eaa5111c5,38
NGN0342,COI,1aa29f253830d1a7f103854ab0aa0d44cd8ea860,139
NGN0342,COI,8e14224be94ed83b073e9e74f4f0a0484b8673f8,36
NGN0342,COI,a313d6cf972702382dab3969b9861906ad0d1fb7,130
NGN0342,COI,ff34f66eccd1de38c84c2e82ca02f684d4a43266,21
NGN0342,COI,209731051db6046388cda6e1e398470293eda692,58
NGN0342,COI,1bf76f7eefc42f03204c952a45ad0c295ce695e6,8
NGN0342,COI,2c0e47275921b6f05a6c37c0885f4860f09a136b,14
NGN0342,COI,1ffdde14080a0f4e8e76985791107e99318d9a04,60
NGN0342,COI,a67e75091cfbc6f5ff3924d5689d8adc4642f514,39
NGN0342,COI,e6e7e7bf280af3f09675e248148d8a257c5deffe,14
NGN0342,COI,e2792222d37efd9aeeb84bd15ec1d09b8ccca37a,74
NGN0342,COI,92b60603bae2c410974e4774b595530cb44d06e3,13
NGN0342,COI,45818cdd2ab8ac0028ed95fdfc9e3265905ff35c,38
NGN0342,COI,8db10bb6240b8511b6b6c31bedb2d34f9a5affe4,45
NGN0342,COI,8dade0dafe4d06cb14447fa363d7318f46272295,7
NGN0342,COI,1a80733566b99094095ab70d5d4007e3b62db546,132
NGN0342,COI,b64605d1fdb0a823b70d763e4a2f22a543c0c287,56
NGN0342,COI,d6cdc66cf211c3e1c32d0a6c05111d95416779af,29
NGN0342,COI,8405ddbe2fca380b3ecff196b4ec655b5541af83,20
NGN0342,COI,8d6f87e67ef51844abab2b676eaebd4de36a401e,12
NGN0342,COI,65329b269cdf2836b0767910eee25177533814df,38
NGN0342,COI,4678c84b28ed9b572aa9d2cca86b66a4a3f54e0e,6
NGN0342,COI,6187b46a5fbc38bc57d39362e6b3370ed3bdd4b4,22
NGN0342,COI,9d3bd58a6d7b9baf2e0099392e1b25278e7f765d,6
NGN0342,COI,3c1c9f388b9caa113bf2a3dfe01b85e802fd4dc4,79
NGN0342,COI,84e449011f3708f7ceef1f4cd41201b2d1777331,11
NGN0342,COI,4dbcf4ddfd3e711c5d1deee3224322c611a4da0d,63
