Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0340,COI,6842,786,267,438,250,250,250
NGN0341,COI,6300,696,281,401,260,260,260
NGN0342,COI,332603,13555,10481,11419,9214,9214,9159
MGY11,COI,9830,1218,799,1026,711,711,711
NGN0343,COI,389946,15781,13684,14541,12762,12762,12459
MGY12,COI,4131,525,461,502,455,455,455
NGN0344,COI,457388,18751,15393,16588,13304,13304,13278
NGN0345,COI,362837,14628,11816,12725,10139,10139,10139
NGN0346,COI,391028,16319,13643,14407,11692,11692,11556
NGN0347,COI,415460,17225,13871,14946,12388,12388,12376
NGN0348,COI,428129,17580,14237,15132,12561,12561,12542
NGN0349,COI,371994,15567,12604,13324,11188,11188,11171
NGN0350,COI,324944,12575,9470,10678,8542,8542,8496
NGN0351,COI,403755,16222,13034,14257,12146,12146,12096
NGN0352,COI,386259,16113,13150,14236,12005,12005,11937
NGN0353,COI,332103,13358,10893,11600,9959,9959,9839
NGN0354,COI,326036,13557,11991,12461,10870,10870,10852
NGN0355,COI,364214,15907,12937,14035,11881,11881,11839
NGN0356,COI,402671,16891,13831,14820,12559,12559,12537
NGN0357,COI,419715,17005,13778,14828,12598,12598,12598
NGN0358,COI,405484,16921,16412,16582,16150,16150,15892
NGN0359,COI,393551,17153,17080,17139,16826,16826,16750
MGY13,COI,7767,847,369,629,296,296,296
MGY14,COI,1773,75,24,31,24,24,24
MGY15,COI,10788,874,720,776,583,583,583
MGY16,COI,11810,1579,1003,1331,853,853,853
MGY17,COI,1598,1,1,1,1,1,1
