Sample_name,Locus,Hash,nReads
NGN0277,MiMammal,9cef33633184a750730a9faaf4192bcea9f1e597,359
NGN0277,MiMammal,c1ff194068f01f6f93159ceaf5d383ed5213d44c,2781
NGN0277,MiMammal,c88fbd921aee1b6d76ad6ff15825be8d2f748de7,123
NGN0277,MiMammal,3b42c7a47b9074948b9dea421e7e2a5084528a52,718
NGN0277,MiMammal,96e0d2e05fdd8d9b931fe5e60411d629add7c1f1,194
NGN0277,MiMammal,bc3d86cba14ca126fc1fc3c71a8104c3f73f2799,619
NGN0277,MiMammal,35ddadd8ea563f763968309c12dba94da979583c,37
NGN0277,MiMammal,6ad35ad579131125c5d2a07e26823c476235cf06,599
NGN0277,MiMammal,f9b14e07e2dfbff96d73cd414b006c43cd5d3d2a,1991
NGN0277,MiMammal,e8e64179bf465c433281a29d54bdec82a3aac19e,240
NGN0277,MiMammal,218bcd44eeb21aa6a3a3f19109ad92c828df0b5b,153
NGN0277,MiMammal,605e81122c5334eec5d3e0d47a6eb5cb7d7f8845,400
NGN0277,MiMammal,8afbb46f08ab51ac91d806c7ffe8b97f833e340b,12
NGN0277,MiMammal,2aea285cd290a815775098f9481a31e9c1952718,11
NGN0277,MiMammal,5f0a812d0f350abc67a702348bfccbe2f767af6d,31
NGN0277,MiMammal,ecb2900de20def96eaaa38098ba012445b96036c,86
NGN0277,MiMammal,3c2f7223861ca22a07def93042cf5aebd7404dd3,7
NGN0277,MiMammal,080d8996da9aa660c43cb6ded8d63c0a54d9619c,16
NGN0277,MiMammal,99d16c0b051b45e91b45a91e5dc1d7207b407735,67
NGN0277,MiMammal,3ccb84fdff37d19b86f782d7231995a8fce43afd,41
NGN0277,MiMammal,f264e8f8316d86ddb9ae41e5438381461ae54534,36
NGN0277,MiMammal,daf44aeea543f67e5b0f08ebdebe8b972481eed2,10
NGN0277,MiMammal,3ecfd0084cb46b7dccea8bb765b447f9e1a3929b,15
NGN0277,MiMammal,4a020cfb46791b87e051b9f6e228271d3a49e021,24
NGN0277,MiMammal,58bfc479cfeb85635ba5ce32785f7317ff018762,23
NGN0277,MiMammal,b7e8f42a235c16591bd21bc39ecb3a070993b216,21
NGN0277,MiMammal,f54e86bd6903a742e5291c403a59420ee346268f,15
NGN0277,MiMammal,39ce2858771642328e7171197d80ee7494761776,14
NGN0277,MiMammal,7f71b555414770ae76790fa436ce385412498e76,10
NGN0277,MiMammal,7a34a40a9c0d3fb9269e9dc2ef21176c5e490bc6,9
NGN0277,MiMammal,a4ff0acca6b4d48fc91670e538c962b608bd3cb1,6
NGN0277,MiMammal,55217363b27699fa6daa069040ae0b927443aa2c,5
NGN0277,MiMammal,788873006a50218fd778efc5e87116ce9c09f22a,5
NGN0277,MiMammal,d210be636e08f16553f98a05485dc72c5ff7efe8,5
NGN0277,MiMammal,faa643342dea832bdf86c4bf1c57fc85ca04ee33,4
NGN0277,MiMammal,65657deaf08abe15d4c5e768411b8dbd03e211c9,3
NGN0278,MiMammal,9cef33633184a750730a9faaf4192bcea9f1e597,88
NGN0278,MiMammal,c1ff194068f01f6f93159ceaf5d383ed5213d44c,4861
NGN0278,MiMammal,3b42c7a47b9074948b9dea421e7e2a5084528a52,738
NGN0278,MiMammal,96e0d2e05fdd8d9b931fe5e60411d629add7c1f1,305
NGN0278,MiMammal,4f5a8ba9384e9319037801db31c908ac15aa47a3,73
NGN0278,MiMammal,f56ee2fd34e1d6961a81cfeab9009ccf1cfa4f2b,66
NGN0278,MiMammal,1c801cf8f157213e595654e166770735671d1312,62
NGN0278,MiMammal,35ddadd8ea563f763968309c12dba94da979583c,28
NGN0278,MiMammal,0e5fdd726bc43bc4d26ed434f8f0868916adc4d7,145
NGN0278,MiMammal,218bcd44eeb21aa6a3a3f19109ad92c828df0b5b,463
NGN0278,MiMammal,8afbb46f08ab51ac91d806c7ffe8b97f833e340b,24
