Sample_name,Locus,Hash,nReads
NGN0277,MiMammal,ae6e10d469b7b715916a5c82d935f4b772e96fa1,2803
NGN0277,MiMammal,e6d45756266d409dbce80b84f87244068a074c3b,23641
NGN0277,MiMammal,227462aec41b47bb5e719a6b42611c2831f359d3,906
NGN0277,MiMammal,6bb5ed7cbaad0b6607ebd5215cb00b7a30eee372,5717
NGN0277,MiMammal,14203e1a8ac4642aab96c24cd84c2f9d7e7bd7b1,1394
NGN0277,MiMammal,be1b8d4c49c0698ed51d2c0d5f97712dffc4d5ee,5239
NGN0277,MiMammal,07c4c9cd47fe40ef8f7b901de1e1dcc2fc22c7b1,4484
NGN0277,MiMammal,0c1db8702ec949cd6c20d35f3d873a70a0426dec,1879
NGN0277,MiMammal,b991ad3ca84b5ae317ee2d9b88854aa25f731e32,15282
NGN0277,MiMammal,46cff70714a24a1c21bbed2d326e6c92c7a8570c,278
NGN0277,MiMammal,b2e00714831fdd2a6501e6e70cc7e01abe60935a,2095
NGN0277,MiMammal,b729879b894dae9875c346496dcbcaada19a24d8,4273
NGN0277,MiMammal,11fb8eb7d6899e0cd8036cc351f7123c0cf7f2ea,112
NGN0277,MiMammal,a29a02fcf9a2a22ef5a4bc28428e6a99cf5d6858,24
NGN0277,MiMammal,419c2b2d00b40b295a826b0315f63bb3e46573cc,11
NGN0277,MiMammal,4718e6f0c3d6a9019b51c95c47290f882ad20447,10
NGN0277,MiMammal,21185e8110c78d3518a51856d9bcfeb62d2367c5,73
NGN0277,MiMammal,97c80d8f537744fd1144c2dd6eefaddd6ef47364,3
NGN0277,MiMammal,003a024f179dfed66ace1c8ec936114c3813ac1f,101
NGN0277,MiMammal,5001a43773a34b691befedfd2dcadb5ae76be076,676
NGN0277,MiMammal,6d0ebade6043e3c05fe7fbc563222347395b54d5,481
NGN0277,MiMammal,46d4fe26d07ca3725106f39d83bae3940f816cbb,224
NGN0277,MiMammal,2a435613e1ca420e32306c2d1c141bf15ab833f7,24
NGN0277,MiMammal,57215f2512b33ad20e89154d0bfb70bb28ecd621,119
NGN0277,MiMammal,1b7c7f6ab17793e3d0f55d10a21df4cea9055753,314
NGN0277,MiMammal,32f5bd735340f3fed4abf881da6ee6425eb3e174,157
NGN0277,MiMammal,ed1dc64b923bf0ba6633b7ba43d13e0010396c43,278
NGN0277,MiMammal,e04306cf424d08429cb142d2bac4b3866653447e,2
NGN0277,MiMammal,1ba008bccb4685a233b52859684ff978a641ff83,5
NGN0277,MiMammal,fd3a86e3a6ade97bc3ec35d52a0ff09366dea6bb,226
NGN0277,MiMammal,2192ddf4feda4aa2095361d53e5691a2cc6afef0,42
NGN0277,MiMammal,61a26d6404ac7b6522f9c36154757a74b1d6e7a5,219
NGN0277,MiMammal,30f00fbd4164fa05087d919688d6393651121976,204
NGN0277,MiMammal,db9077bca969b84073da3a777d3b2c8699a7a68d,183
NGN0277,MiMammal,4e100357cfc32a0c3a16e36822b54b4de5645455,109
NGN0277,MiMammal,cc498adebee601873dd0789a61ebaa1d832ec796,71
NGN0277,MiMammal,3a36fa94bfa38de547715155fd60fcee2aba05d8,60
NGN0277,MiMammal,5ae2b9247d3accf06c87f49254a251f5a561f4a9,170
NGN0277,MiMammal,34652ea912fa0f5525071e4b032f252e73ef906a,147
