Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0277,MiMammal,91925,70635,70318,70081,66237,66237,66234
NGN0278,MiMammal,69997,54311,54252,54068,53090,53090,53025
NGN0279,MiMammal,80686,62852,62752,62721,60359,60359,60336
NGN0280,MiMammal,67234,50721,50650,50504,46519,46519,46411
NGN0281,MiMammal,77203,60634,60527,60378,57838,57838,57838
NGN0282,MiMammal,77033,60540,60369,60288,56250,56250,56209
NGN0283,MiMammal,61826,47254,47196,47136,45869,45869,45828
NGN0284,MiMammal,67632,54543,54449,54064,50903,50903,49547
NGN0285,MiMammal,93314,73087,72958,72710,67408,67408,67394
NGN0286,MiMammal,68274,53222,53196,53086,51965,51965,51915
NGN0287,MiMammal,80689,63304,63117,63061,59703,59703,59657
NGN0288,MiMammal,60159,45000,44740,44366,43733,43733,43555
NGN0289,MiMammal,76412,58467,58349,57837,57103,57103,56930
NGN0290,MiMammal,57191,43416,43304,42823,40303,40303,39515
NGN0291,MiMammal,6455,5044,5022,5022,5002,5002,5002
NGN0292,MiMammal,62493,46963,46848,46476,43898,43898,43662
NGN0293,MiMammal,77871,59394,59333,58948,55783,55783,55621
NGN0294,MiMammal,73297,55422,55341,55129,52918,52918,52866
NGN0295,MiMammal,60228,44649,44565,44419,41613,41613,41464
NGN0296,MiMammal,52588,39846,39733,39313,38661,38661,38661
NGN0297,MiMammal,66775,51290,51148,50721,49731,49731,49730
NGN0298,MiMammal,79750,59902,59832,59362,54088,54088,53975
NGN0300,MiMammal,73207,53447,53355,52695,50934,50934,48038
NGN0301,MiMammal,82820,68228,68194,68195,64829,64829,64442
NGN0302,MiFish,31987,18915,18756,18679,17764,17764,17599
NGN0303,MiFish,41509,26555,26163,26183,24713,24713,24576
NGN0304,MiFish,41761,27089,26912,26837,26470,26470,26374
NGN0305,MiFish,38919,25482,25166,25141,24207,24207,24165
NGN0306,MiFish,33737,20696,20555,20513,19958,19958,19899
NGN0307,MiFish,29948,18604,18447,18371,17979,17979,17934
NGN0308,MiFish,43730,28341,27993,28055,27158,27158,27158
NGN0309,MiFish,53460,35933,35769,35664,35394,35394,35256
NGN0310,MiFish,47531,30831,30659,30602,30181,30181,30173
NGN0311,MiFish,52130,37767,37590,37454,37015,37015,36888
NGN0312,MiFish,47310,34663,34323,34154,32844,32844,32399
NGN0313,MiFish,132546,94833,94307,93961,89278,89278,87304
NGN0314,MiFish,70997,49572,49221,49002,47056,47056,46467
NGN0315,MiFish,72593,49205,48810,48778,47094,47094,47077
NGN0316,MiFish,70403,44681,44462,44427,43834,43834,43688
NGN0317,MiFish,79140,54109,53674,53593,52578,52578,52505
NGN0318,MiFish,71580,49509,49262,49151,48446,48446,48248
NGN0319,MiFish,54975,36592,36288,36175,35560,35560,35440
NGN0320,MiFish,80656,53993,53667,53683,52335,52335,51967
NGN0321,MiFish,84718,56738,56243,56225,54741,54741,54570
NGN0322,MiFish,90273,61359,60904,61012,60130,60130,59779
NGN0323,MiFish,67118,44557,44361,44274,43579,43579,43212
NGN0324,MiFish,90452,64429,63783,63564,61249,61249,60085
NGN0325,MiFish,71072,51503,50955,50718,48570,48570,47220
NGN0326,MiFish,27254,19430,19033,19005,18415,18415,18402
NGN0327,MiFish,54436,39454,39141,39083,38640,38640,38639
NGN0328,MiFish,64582,48339,47943,47781,47240,47240,47240
NGN0329,MiFish,65018,49809,49369,49237,48443,48443,48443
NGN0330,MiFish,72661,45966,45672,45752,44472,44472,43482
NGN0331,MiFish,65195,45983,45412,45356,43255,43255,43001
NGN0332,MiFish,51028,35851,35350,35255,33621,33621,33413
NGN0333,MiFish,63715,40412,39949,39864,37715,37715,37155
NGN0334,MiFish,62087,39171,38629,38709,37105,37105,36916
NGN0335,MiFish,70970,53706,53432,53403,51568,51568,49509
NGN0336,MiFish,77280,56919,56583,56329,54479,54479,47906
NGN0337,MiFish,79840,58236,57786,57654,55813,55813,49924
NGN0338,MiFish,70956,52179,51863,51737,49555,49555,43106
NGN0339,MiFish,74809,51219,51147,51109,50037,50037,49933
NGN0360,MiMammal,118810,94713,94539,94445,87382,87382,87382
NGN0361,MiMammal,98284,79775,79556,79656,73423,73423,73408
NGN0362,MiMammal,30604,23657,23624,23514,21898,21898,21898
NGN0363,MiMammal,134193,104317,104162,103462,98484,98484,98380
NGN0364,MiMammal,97983,76373,76164,76166,74578,74578,74263
NGN0365,MiMammal,128847,99075,98945,98774,94461,94461,94083
