Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0277,MiMammal,91925,79496,79228,78523,73002,73002,72951
NGN0278,MiMammal,69997,60704,60570,60240,59075,59075,58998
NGN0279,MiMammal,80686,69986,69800,69574,66510,66510,66359
NGN0280,MiMammal,67234,56787,56628,56264,51185,51185,50879
NGN0281,MiMammal,77203,67778,67568,67277,63754,63754,63579
NGN0282,MiMammal,77033,67398,67088,66786,61606,61606,61117
NGN0283,MiMammal,61826,53066,52739,52678,49877,49877,49829
NGN0284,MiMammal,67632,60807,60383,60173,56159,56159,54512
NGN0285,MiMammal,93314,82045,81831,81118,73511,73511,73339
NGN0286,MiMammal,68274,59253,59208,59070,56546,56546,56488
NGN0287,MiMammal,80689,70502,70245,69874,66971,66971,66921
NGN0288,MiMammal,60159,50505,50205,49814,46071,46071,46044
NGN0289,MiMammal,76412,65150,64836,64299,62629,62629,62587
NGN0290,MiMammal,57191,48687,48493,47977,44245,44245,43552
NGN0291,MiMammal,6455,5631,5613,5596,5578,5578,5578
NGN0292,MiMammal,62493,52754,52560,52053,46875,46875,46642
NGN0293,MiMammal,77871,66542,66416,65678,61521,61521,61346
NGN0294,MiMammal,73297,61909,61727,61167,58820,58820,58762
NGN0295,MiMammal,60228,49934,49806,49524,47417,47417,47227
NGN0296,MiMammal,52588,44434,44262,43821,40569,40569,40565
NGN0297,MiMammal,66775,57285,56983,56175,53914,53914,53869
NGN0298,MiMammal,79750,67355,67245,66179,58629,58629,58562
NGN0300,MiMammal,73207,60422,60195,59605,54072,54072,50950
NGN0301,MiMammal,82820,75528,75494,75473,70138,70138,69796
NGN0302,MiFish,31987,21626,21395,21393,20135,20135,20135
NGN0303,MiFish,41509,29954,29483,29545,27778,27778,27739
NGN0304,MiFish,41761,30653,30284,30345,29708,29708,29637
NGN0305,MiFish,38919,28851,28323,28388,27470,27470,27441
NGN0306,MiFish,33737,23465,23248,23182,22516,22516,22513
NGN0307,MiFish,29948,20947,20710,20686,20198,20198,20150
NGN0308,MiFish,43730,32130,31598,31715,30445,30445,30445
NGN0309,MiFish,53460,40756,40307,40431,39926,39926,39797
NGN0310,MiFish,47531,35153,34790,34830,34193,34193,34184
NGN0311,MiFish,52130,42696,42091,42372,41083,41083,40973
NGN0312,MiFish,47310,39248,38610,38891,36223,36223,35751
NGN0313,MiFish,132546,107670,106443,106781,99368,99368,97507
NGN0314,MiFish,70997,55926,55240,55372,52663,52663,51796
NGN0315,MiFish,72593,55813,55229,55243,53484,53484,52483
NGN0316,MiFish,70403,50480,50086,50213,49389,49389,49274
NGN0317,MiFish,79140,61591,60839,60993,56599,56599,56272
NGN0318,MiFish,71580,56000,55444,55468,54510,54510,54263
NGN0319,MiFish,54975,41796,41139,41309,39911,39911,39772
NGN0320,MiFish,80656,61397,60367,60875,56540,56540,56202
NGN0321,MiFish,84718,64723,63810,63974,61519,61519,61335
NGN0322,MiFish,90273,70025,69071,69352,67149,67149,66661
NGN0323,MiFish,67118,50406,49940,49969,48910,48910,47643
NGN0324,MiFish,90452,73052,71953,72101,68642,68642,67172
NGN0325,MiFish,71072,58342,57379,57675,54606,54606,52864
NGN0326,MiFish,27254,21965,21397,21569,20740,20740,20725
NGN0327,MiFish,54436,44573,44038,44144,43277,43277,43277
NGN0328,MiFish,64582,54623,53970,54073,52249,52249,52249
NGN0329,MiFish,65018,56327,55620,55829,53969,53969,53969
NGN0330,MiFish,72661,52018,51472,51771,48274,48274,47301
NGN0331,MiFish,65195,52191,51344,51564,49125,49125,49058
NGN0332,MiFish,51028,40688,39918,40091,38130,38130,37887
NGN0333,MiFish,63715,45867,45146,45271,43060,43060,42847
NGN0334,MiFish,62087,44465,43700,43844,42005,42005,41973
NGN0335,MiFish,70970,60927,60343,60519,57137,57137,54910
NGN0336,MiFish,77280,64572,63840,64051,60382,60382,53118
NGN0337,MiFish,79840,66373,65336,65841,61932,61932,55439
NGN0338,MiFish,70956,59432,58720,58892,55087,55087,47939
NGN0339,MiFish,74809,56527,56388,56477,53872,53872,53746
NGN0360,MiMammal,118810,105353,105002,104765,97975,97975,97497
NGN0361,MiMammal,98284,87983,87679,87592,80785,80785,80778
NGN0362,MiMammal,30604,26413,26273,26154,24010,24010,24010
NGN0363,MiMammal,134193,116915,116642,115768,107817,107817,107765
NGN0364,MiMammal,97983,85070,84809,84527,81414,81414,81305
NGN0365,MiMammal,128847,110460,109965,109544,103047,103047,102742
