"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","3c41ac759f0e980a008efe5d96ff13e51aad1909",2836,"Bacillariophyta","phylum",0.9972,"","Bacillariophyta","","","","",""
"2","2e46f9be10f6c3fe32646ff7213f9a80843c7e41",9321,"Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"3","d31458861abd71166b0c84b6fcdd4dff8ea29a40",7148,"Nematocera","suborder",1,"Metazoa","Arthropoda","Insecta","Diptera","","",""
"4","e9ae04a410735949efe3ed7149bb088bf3e57e70",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"5","5f8fce7de810616f7858368b0ff0502a2997b8da",1,"root","no rank",1,"","","","","","",""
"6","8278f17acfb259439877603a23a8314c3af064f6",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"7","f0d09d00944b2ba48b61b4bbecb2e738c3cb8b16",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"8","290d16fbe14c5c0b729585bcec94ae20e2a66f29",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"9","2ec78f4e561eff6f145269b3281cf497f7627dca",2836,"Bacillariophyta","phylum",0.9995,"","Bacillariophyta","","","","",""
"10","f010a3a4207f74263d7a795942748d4ff7a45473",33154,"Opisthokonta","no rank",1,"","","","","","",""
"11","3eefc5e18d830ebe40ddf1bf64cc1413263fd166",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"12","1a4d033040facccab99968e4873776cf5a27decf",33154,"Opisthokonta","no rank",1,"","","","","","",""
"13","59f11a7c5b1f4d776af7f087b691274ec5b698c2",1,"root","no rank",NA,"","","","","","",""
"14","a0e7e9f3046bb8a289699c6c238e768de47bd026",1,"root","no rank",1,"","","","","","",""
"15","0dc472fe714195fd493e2ba67148bd7aecfc7bfb",1,"root","no rank",1,"","","","","","",""
"16","8ced4e264bbb8d3ddb99269a95fa959f870dd15a",1,"root","no rank",NA,"","","","","","",""
"17","5fb2c5b8a1da76223c3c28c406e65c8483d5fc85",33154,"Opisthokonta","no rank",1,"","","","","","",""
"18","632fc231ae48a82b422d56899551151b21c9dfb1",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"19","44e243b439736bfac18b1bf6d92f98eb5c01247c",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"20","8ba7caf9cd4a6f71829b39eaf8efb20da9c1d279",33154,"Opisthokonta","no rank",0.986,"","","","","","",""
"21","665fbb34b0bd88c1cca78151d693208de0393c85",1,"root","no rank",NA,"","","","","","",""
"22","c1c90bc35806b5cd6ad3b6cffaff16b5fc465faa",1,"root","no rank",1,"","","","","","",""
"23","dae90776f80bda22e272442b309639d6629b87bf",1,"root","no rank",1,"","","","","","",""
"24","0b7018f74389933bbafb8bed6d263b8724a5dafb",33154,"Opisthokonta","no rank",0.8164,"","","","","","",""
