"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"cb0cf229832374ff8f4ce89c20348a90da9c04e1","  90988","Pimephales promelas","species",NA,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas"
"7aa929fd12fc38856e105d3092ae8752af4b44da","   9321","Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","2012981","Lampetra sp. CBM:ZF:17561","species",NA,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Lampetra","Lampetra sp. CBM:ZF:17561"
"091608e9343c9f2c79ff64e3fcfbcdfbce8653bc","  69292","Gasterosteus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"814bd62cd7f0891ddea80fac0be25f86af95d790","  90988","Pimephales promelas","species",NA,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas"
"76918abfaa90d218d683fdbc4f8024dd430d7d91","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"d15e926efd8720231adb32a8b4e6e40608827676","  27778","Ameiurus nebulosus","species",NA,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"23bf5f5d24f589cba120a8635ee13e9817d90a52"," 504568","Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"7ed525639c40b9418b4743e59f833fa5b3bdf355","2743731","Pogonichthyinae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8","      1","root","no rank","1.0000","","","","","","",""
"488df7f72926df2ab50a004973f70c52bdd68e6c","      1","root","no rank","1.0000","","","","","","",""
"c85bde7ee5fbef22260dd6fd67f84887524f0801","      1","root","no rank","1.0000","","","","","","",""
"1b32665206884b748852de897ade6982e7c848fa","      1","root","no rank","1.0000","","","","","","",""
"dc78ea7000749cdaa33f9199c52df6f0f90be099","   9126","Passeriformes","order","0.9012","Metazoa","Chordata","Aves","Passeriformes","","",""
"be1bd85cbedd796b3b70618ed8248f5c66768c49"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"ec50a1bf79d9f0bbca881b5aea51a3d134cb9f52","      1","root","no rank","1.0000","","","","","","",""
"7cbe946625f416ad59615f0ddca7884268f33de2","   9126","Passeriformes","order","1.0000","Metazoa","Chordata","Aves","Passeriformes","","",""
"de1b0fa5bf4731ad0304175bb17eaf4e747ba2fa","      1","root","no rank","1.0000","","","","","","",""
"c4f793f214b4797a41cbee59b06acb41f4c38601","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"9567666709d0ec9a27b7873b809d62c3a8546db5","      1","root","no rank","1.0000","","","","","","",""
"01f81e5831873320fc14ad36b7b54d981a04b7bf","      1","root","no rank","1.0000","","","","","","",""
"862f4d5cc76515117186b40b87313c9cd0df7a2c","      1","root","no rank","1.0000","","","","","","",""
"479f0ade8bd49211e3759ae5fa5effdb1428fe8a","      1","root","no rank","1.0000","","","","","","",""
"1a7210bb944614e2740db83d5a31b18a5bd8b7dc","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"b266267b62cc3f01f3b371293a736afccc122131","      1","root","no rank","1.0000","","","","","","",""
"4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b","2743731","Pogonichthyinae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"1f4da29e5e54b6e2fb8a85ba6f6098219524cc9a","      1","root","no rank","1.0000","","","","","","",""
"fe72cd5c92fc95d33982bc5916c5d015404e2977","1489872","Percomorphaceae","clade","1.0000","Metazoa","Chordata","Actinopteri","","","",""
"eeebdbbc470456b373f5ee509a8116887aa210a8","      1","root","no rank","1.0000","","","","","","",""
"7a252736c0fd14c374f5e52b0817eccdfcf5738e","      1","root","no rank","1.0000","","","","","","",""
"267aa7fd1982ad1231f15695eab5d5d802650fd1","      1","root","no rank","1.0000","","","","","","",""
"d7c8c5285726c11c0afce962142d6d774de8a029","      1","root","no rank","1.0000","","","","","","",""
