"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"0edb6d007040bbbb2c8f14cbe20322dec3375bf5","   2759","Eukaryota","superkingdom","0.9653","","","","","","",""
"a62923d16b575d7d9548b4bee2e0128a8ab7454c","      1","root","no rank","1.0000","","","","","","",""
"a08461e3c636c8a6c80564fa785e36938ce0d37b","   2836","Bacillariophyta","phylum","0.9997","","Bacillariophyta","","","","",""
"aea12897917586982782925dc7f1eab8fa6a1755","      1","root","no rank","1.0000","","","","","","",""
"45289da8725aeef37dacb8298820970512191e57","   2759","Eukaryota","superkingdom","0.9122","","","","","","",""
"864ce2e80c32516de7e2c63bc515d53ace5a2163","      1","root","no rank","1.0000","","","","","","",""
"5fb2c5b8a1da76223c3c28c406e65c8483d5fc85","  33154","Opisthokonta","no rank","0.9999","","","","","","",""
"0ffce82d0339bc465c7611986f2bed5b5151ded1","   2759","Eukaryota","superkingdom","0.9653","","","","","","",""
"83e594b8fd251b7265e2c69e6799abf40f5cfe75","   2759","Eukaryota","superkingdom","0.9886","","","","","","",""
"e9ae04a410735949efe3ed7149bb088bf3e57e70","   2759","Eukaryota","superkingdom","0.9972","","","","","","",""
"dca61831638b2e4ce05eff11ed66fcd70c0374f8","      1","root","no rank","1.0000","","","","","","",""
"b3b7552ad4cb087f2533f45f05c840503002203e","   2759","Eukaryota","superkingdom","0.9943","","","","","","",""
"a04ae1f0764bd67b574b5c1f9ab2dc7adb71f75f","      1","root","no rank","1.0000","","","","","","",""
"761e738682d46f2e07f7f60864216d8494cf44e8","      1","root","no rank","1.0000","","","","","","",""
"b70d573788bac5c497e7da782393931e1f14e4f9","      1","root","no rank","1.0000","","","","","","",""
"fb92d3a9f0440a521a6940407635e880a9fbd1e2","      1","root","no rank","1.0000","","","","","","",""
"077f22783e0965d1e1cb0e248abe4ccd7c0d3358","      1","root","no rank","1.0000","","","","","","",""
"73434005f091706edb085556d7ddb1624139b6f1","      1","root","no rank","1.0000","","","","","","",""
"a533a7e7c1f14044f8102b19162426bfa4612021","   2759","Eukaryota","superkingdom","0.9122","","","","","","",""
"8278f17acfb259439877603a23a8314c3af064f6","   2759","Eukaryota","superkingdom","0.9972","","","","","","",""
"d1cc75d69d332496e3ded92101aec39388779aa3","      1","root","no rank","1.0000","","","","","","",""
"bae9e1309ff5640bed51a55a76e43ac59e7fe515","      1","root","no rank","1.0000","","","","","","",""
