"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","2ed8fcca7933e00c05ce112abf7629f3fca0ae03",504568,"Salmoninae","subfamily",0.9959,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"2","9bb9b0ca0ff04246c282a4ecaa318c8af7a948bb",9606,"Homo sapiens","species",0.9939,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"3","a9ff5903beb36730262ddb63bb3b19ef024d6e9e",1,"root","no rank",1,"","","","","","",""
"4","dac66c6958eb6715abd0243ec2f5592da97cb1f5",504568,"Salmoninae","subfamily",0.9958,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"5","298dae79d14c3c665b4a97bad3ba5129f4d3edf1",183663,"Soricinae","subfamily",0.9561,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"6","7dae49817fac3bd37bd1ab61e10a98b36513016b",9685,"Felis catus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"7","da7ec71822611a2ab3848b31b62a6da70e741c77",38609,"Diprotodontia","order",0.9999,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"8","7f229c17476e8d9142a9f3db5859a4fcc6b3b5d6",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"9","f47dad9cb9d3cf52c86783898d849142bca1476c",126287,"Didelphinae","subfamily",0.9999,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"10","52832db53013282ac9d722352b64d882bb4ddf36",38609,"Diprotodontia","order",0.9999,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"11","e99109137944e72bb8ed1425e94a105e3408b60f",1,"root","no rank",1,"","","","","","",""
"12","ccf95f5a566df77f2e5d27cd08f08612fd22dd23",1,"root","no rank",1,"","","","","","",""
"13","6162577dad77b615bca5543992542e30cecfbe59",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"14","f4d87bc7671a722aa2e1de09f363b4e3dd562891",1,"root","no rank",1,"","","","","","",""
"15","cb5bf2e33f515b570a7b5ac5d393428d959c12d9",1,"root","no rank",1,"","","","","","",""
"16","45c890edf81e9de77589080e0b5ff4b306291390",9526,"Catarrhini","parvorder",0.962,"Metazoa","Chordata","Mammalia","Primates","","",""
