"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","9cef33633184a750730a9faaf4192bcea9f1e597",8015,"Salmonidae","family",0.9898,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"2","c1ff194068f01f6f93159ceaf5d383ed5213d44c",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"3","c88fbd921aee1b6d76ad6ff15825be8d2f748de7",8015,"Salmonidae","family",0.9987,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"4","6f1367acc33394f5d31843edbc84ea1b7332f121",126287,"Didelphinae","subfamily",0.9996,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"5","3b42c7a47b9074948b9dea421e7e2a5084528a52",8092,"Cottidae","family",0.9996,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"6","e40fb96052f16f440bd91a6725c01e58e4e41ec8",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"7","cf1a1e1fb0fbc1df920fd9a831b1e9635b9fc645",9263,"Metatheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"8","b0c04903c1971f5667a14137a1eccdc45021702c",69291,"Gasterosteidae","family",0.9939,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","",""
"9","96e0d2e05fdd8d9b931fe5e60411d629add7c1f1",504568,"Salmoninae","subfamily",0.9925,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"10","4f5a8ba9384e9319037801db31c908ac15aa47a3",123368,"Acanthomorphata","clade",0.9006,"Metazoa","Chordata","Actinopteri","","","",""
"11","bc3d86cba14ca126fc1fc3c71a8104c3f73f2799",9881,"Odocoileinae","subfamily",1,"Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"12","f67abaafe4e1a4ac4a776ce5e3ca724c00f53998",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"13","83424f2c63681ca93ee14c9ff6a10d4ab9b739fd",9989,"Rodentia","order",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"14","f36eeff5609824c9b2ac580108d2da811de42116",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"15","cc96026a8e35e019fa5175033873e873f1692c4c",2743731,"Pogonichthyinae","subfamily",0.9997,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"16","f56ee2fd34e1d6961a81cfeab9009ccf1cfa4f2b",9653,"Procyon","genus",1,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"17","0f5e5476e57373920e469bb97b617e664c3fea46",7742,"Vertebrata","clade",1,"Metazoa","Chordata","","","","",""
"18","1c801cf8f157213e595654e166770735671d1312",8015,"Salmonidae","family",0.9957,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"19","e6125480d198ed820612aa933a2bebb3f2c8f740",9681,"Felidae","family",1,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"20","583a0c6bdca7296450abbc44772c66033d98db8e",9989,"Rodentia","order",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"21","35ddadd8ea563f763968309c12dba94da979583c",1,"root","no rank",1,"","","","","","",""
"22","6ad35ad579131125c5d2a07e26823c476235cf06",9608,"Canidae","family",0.9986,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","",""
"23","2b60c33be247c0a0f3ceee309981ca2fa72ebae8",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"24","f9b14e07e2dfbff96d73cd414b006c43cd5d3d2a",9608,"Canidae","family",0.9943,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","",""
"25","0e5fdd726bc43bc4d26ed434f8f0868916adc4d7",1437010,"Boreoeutheria","clade",0.9999,"Metazoa","Chordata","Mammalia","","","",""
"26","e8e64179bf465c433281a29d54bdec82a3aac19e",1437010,"Boreoeutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"27","218bcd44eeb21aa6a3a3f19109ad92c828df0b5b",8782,"Aves","class",1,"Metazoa","Chordata","Aves","","","",""
"28","5ddcde6f664a77404a2c6dd84e13b4b8dedd1675",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"29","571b5f2cabd4501564a8642bdc2af6b0ce79946c",9979,"Leporidae","family",0.9998,"Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","",""
"30","11119c69b99f06cf1478b462552c9f6f11cadd29",1,"root","no rank",1,"","","","","","",""
"31","08f2c8022902684986af33f214c9e74300e4bffc",9126,"Passeriformes","order",0.9997,"Metazoa","Chordata","Aves","Passeriformes","","",""
"32","187ce04570a0909e11f745ff1577f46cf4ac13cd",1,"root","no rank",1,"","","","","","",""
"33","39ee0a8b1bcc3776b77c0f1b24467bb4d8da5a18",9608,"Canidae","family",0.9918,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","",""
"34","56c013c17647977e2bf845b135abc2baa8100565",1,"root","no rank",1,"","","","","","",""
"35","071549e94b0585b0f45e9b28c6be0d53f7abb732",1437010,"Boreoeutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"36","0d7bc805a1b42b0d7f4ff8c4a91bddf3ff3e8361",9126,"Passeriformes","order",0.9179,"Metazoa","Chordata","Aves","Passeriformes","","",""
"37","28134a9bd352af6e8b3e381512e2332ca8520fb1",1,"root","no rank",1,"","","","","","",""
"38","605e81122c5334eec5d3e0d47a6eb5cb7d7f8845",10114,"Rattus","genus",1,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
