"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","0dc472fe714195fd493e2ba67148bd7aecfc7bfb",1,"root","no rank",1,"","","","","","",""
"2","0b23ba497bc0f0c04cdabfb5afb067676fc3f306",1,"root","no rank",1,"","","","","","",""
"3","9e36a766a5615f89cc23fe37eb0de9132c6b2487",1,"root","no rank",NA,"","","","","","",""
"4","ca7190dfb54d655d30225f28a09685fda003c9c1",1,"root","no rank",NA,"","","","","","",""
"5","d61652e72c87de22578ce90236e0989e091d141f",1,"root","no rank",1,"","","","","","",""
"6","5a67680af5acdc80d500136b1930f6e0cf99106d",2836,"Bacillariophyta","phylum",0.9984,"","Bacillariophyta","","","","",""
"7","4e6b3fe8088d0c46a0d72ad9218a47ddf6042131",1,"root","no rank",NA,"","","","","","",""
"8","ad74339d53077b411eb5752ef738f490b4c35d9d",1,"root","no rank",1,"","","","","","",""
"9","4c32e7e5f9e4aaffbc654cea8cf63153a8028cb7",1,"root","no rank",NA,"","","","","","",""
"10","ddcdc0001b3624661c99a166145b645bdf26cc1b",1,"root","no rank",1,"","","","","","",""
"11","8019c749a41279108fa0c3c46b299ba0c41ceb1a",1,"root","no rank",NA,"","","","","","",""
"12","a0e7e9f3046bb8a289699c6c238e768de47bd026",1,"root","no rank",1,"","","","","","",""
"13","665fbb34b0bd88c1cca78151d693208de0393c85",1,"root","no rank",NA,"","","","","","",""
"14","6f04010fa0efbe172c21a952e378b33268a9f625",1,"root","no rank",NA,"","","","","","",""
"15","e37e9085227e867fdbdfad0467ce42fa4fcf9abf",1,"root","no rank",NA,"","","","","","",""
"16","75f6876e88c80a62ab49fd21aa4f540412f8e2e2",1,"root","no rank",NA,"","","","","","",""
"17","61763cd76fb2fdb81a46f99e8b2076b4c181ef4c",1,"root","no rank",1,"","","","","","",""
"18","dae90776f80bda22e272442b309639d6629b87bf",1,"root","no rank",1,"","","","","","",""
"19","32d55018771448042823865912dd525263ed7326",1,"root","no rank",NA,"","","","","","",""
"20","5fa4362ef40a79b2e045bde88c005df66d36bba9",1,"root","no rank",NA,"","","","","","",""
"21","7fb0245b1119062be33fc38cd1223bda7a9143e4",33213,"Bilateria","no rank",0.999,"Metazoa","","","","","",""
"22","8ced4e264bbb8d3ddb99269a95fa959f870dd15a",1,"root","no rank",NA,"","","","","","",""
"23","8fa33294d89c00f54f8487bb69d657a5eabca151",1,"root","no rank",1,"","","","","","",""
"24","7f83f20c110155e4c462693b496666696bf82c8c",1,"root","no rank",NA,"","","","","","",""
"25","7208d352b5195f6209fc73f38809d4b9d196b896",1,"root","no rank",NA,"","","","","","",""
"26","610f4c97d9c5ceacb87070226d825a975b46e7b3",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"27","b43a25679515fd107c4c479512232e61d4dcb651",1,"root","no rank",NA,"","","","","","",""
"28","058c66dbdacac6322cfc94b3a4034acb76510e4c",1,"root","no rank",1,"","","","","","",""
"29","215b9ded02e4e1fd45614b9e0ce9efaade192fa1",1,"root","no rank",NA,"","","","","","",""
"30","9918c5018b9ae38381840e28df7e87bb60119e81",2836,"Bacillariophyta","phylum",0.9975,"","Bacillariophyta","","","","",""
"31","40b0e76e5aecf2ca736795da2db67378c1969e39",1,"root","no rank",NA,"","","","","","",""
"32","6133d8480e4393690b990de88302e1f891953419",1,"root","no rank",1,"","","","","","",""
"33","2b958674788d03e63fe4a615bba82151ee15b2b7",1,"root","no rank",NA,"","","","","","",""
"34","26a3e0d8f7285297caae824fca8a5854b9ae6806",1,"root","no rank",1,"","","","","","",""
"35","5c026bc4d86869a5f740acd9ddf38934be1b4b80",1,"root","no rank",NA,"","","","","","",""
"36","b6eb85735e04339d4143c6ef2558f72dbdcc2a5a",33154,"Opisthokonta","no rank",0.9993,"","","","","","",""
"37","c3389c063f1a1af1dd6278b8114f70bedaf1b20b",1,"root","no rank",1,"","","","","","",""
"38","98f221f4a9bc5fb33d736bccbacb113a81697671",1,"root","no rank",NA,"","","","","","",""
"39","214528905803aacbcef8fcd4d25a0b769a3c55c1",1,"root","no rank",NA,"","","","","","",""
"40","ded9771c7e35cb3e8fe7f2a22af13b125c04f3dd",1,"root","no rank",1,"","","","","","",""
"41","5891697f7260ffcf1e3412e4ac1d359e2c407078",1,"root","no rank",NA,"","","","","","",""
"42","230082a170f5ef20031c4ed9a59bc4335ae252fb",1,"root","no rank",NA,"","","","","","",""
"43","f790279027c624d61d059a9af27c839506384cd9",1,"root","no rank",NA,"","","","","","",""
"44","32bf1f52a7a5ec0a1b69feacb051b206f366d3bc",2836,"Bacillariophyta","phylum",0.9958,"","Bacillariophyta","","","","",""
"45","26be1b2fd772d5c48160f9d64fd7a28315afb9a8",1,"root","no rank",1,"","","","","","",""
"46","ec55e6964b56df1ff177e212411b4a2645001797",1,"root","no rank",NA,"","","","","","",""
"47","4c37ff26669af9bfef49f6c2396c7a54c831af0d",1,"root","no rank",1,"","","","","","",""
"48","cb779133e4a74487bde1a97722d4be454a7fcc48",1,"root","no rank",NA,"","","","","","",""
"49","2c27f77e3e4d1442ab861f7090eadf1234aa4c35",4783,"Phytophthora","genus",0.9987,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"50","91c60f49fe7032a50772d28b7e9510dfc0e4f7f4",1,"root","no rank",1,"","","","","","",""
"51","034dcb5cc7b837b3de504a4428bb4d516a36728b",1,"root","no rank",1,"","","","","","",""
"52","0a27ae08f48cefd98dc7f1b6101b0247531dc390",1,"root","no rank",NA,"","","","","","",""
"53","957ef09d67d03c376fff8b00c09490f675c2b318",1,"root","no rank",NA,"","","","","","",""
"54","4bb5644ceae6c0d7810b62debf9311e77dfd4432",1,"root","no rank",1,"","","","","","",""
"55","560a737faee92f7007806315538da23482b5423a",1,"root","no rank",1,"","","","","","",""
"56","d1a472589badb8c03cca36b77895232cc11eb132",1,"root","no rank",NA,"","","","","","",""
"57","dcbc81a110f9f7e878f803380464ed26c6c24031",33154,"Opisthokonta","no rank",1,"","","","","","",""
"58","0cdaa9c6279531678eddaf77633b9f560bbe541f",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"59","8b19e53714ac2d04f329cea2df18b33984cd7990",1,"root","no rank",1,"","","","","","",""
"60","332a997a74f4876d935bb35a478c0cc1fd8d09b5",1,"root","no rank",1,"","","","","","",""
"61","d296dbfbbc92cf54c9798309dc4c7acfeebf9cdf",1,"root","no rank",1,"","","","","","",""
"62","88ce31efe2205fdc3341219f1e110953bba4733e",1,"root","no rank",1,"","","","","","",""
"63","d2fb3f39a53cbc90e78c592f7c6138ab1650e55b",1,"root","no rank",1,"","","","","","",""
"64","aebc6333bf79c5bae216fd9a30bcd32bbb5fba4a",1,"root","no rank",NA,"","","","","","",""
"65","2a9a0e7a5e50c54dcfd82cea094eb86ceda84864",1,"root","no rank",NA,"","","","","","",""
"66","9df40ada4149501de0eb1dd7b66820dcc9b5fb7c",1,"root","no rank",NA,"","","","","","",""
"67","ddfadcfcf8a47d911f6cc597fc50aa295055ce24",1,"root","no rank",NA,"","","","","","",""
"68","54a541bdb7b0f6a013dbca8a559f498090ede223",1,"root","no rank",NA,"","","","","","",""
"69","c29c18b9eef411f4d554fee6a4847e4877b8ac90",1,"root","no rank",NA,"","","","","","",""
"70","9df661f3f04e83b8a92503600e72059534e94292",1,"root","no rank",1,"","","","","","",""
"71","3d9329d5d38c0e29d4ef94a41740456f109309cb",1,"root","no rank",NA,"","","","","","",""
"72","aea567ea219ec27ac876faff370c493403217b21",1,"root","no rank",1,"","","","","","",""
"73","fb07b65d1c22936188707841687e34c12d4cae12",1,"root","no rank",NA,"","","","","","",""
"74","9f162ccc3d824bd309dff69565ae902a18c18f2b",1,"root","no rank",NA,"","","","","","",""
"75","d5cfac1a46cc167bb642edd6612bb866bf443ce3",1,"root","no rank",NA,"","","","","","",""
"76","02d055da5eacc265214436ba526ee83a14354e67",1,"root","no rank",NA,"","","","","","",""
"77","8af7fe4e679158a971ec22c6052d4e3c99a59bcb",1,"root","no rank",NA,"","","","","","",""
"78","5f93fecbbef73ab55151476221fe34d6993c857b",33213,"Bilateria","no rank",1,"Metazoa","","","","","",""
"79","c8407dcc16dfa05242e18d60d181e705c1f46fa2",1,"root","no rank",NA,"","","","","","",""
"80","b7ee270681ed4c0f89ca72a5e645e53bde8823d8",33392,"Holometabola","cohort",0.9043,"Metazoa","Arthropoda","Insecta","","","",""
"81","7d38b66a1798027951223dba2dfa0742d09fec4d",2836,"Bacillariophyta","phylum",0.9997,"","Bacillariophyta","","","","",""
"82","a24a487117b9f704094e4a848ecaa2eb1a8ac089",1,"root","no rank",NA,"","","","","","",""
"83","4c958347756d57adcb1b5110e15f589033758d5d",1,"root","no rank",1,"","","","","","",""
"84","b54cdffeb57cb1e9e80e2b9d978282a72ab581e9",1,"root","no rank",1,"","","","","","",""
"85","553245578922e4bcf9b594a36c2c3d3190fbe186",2759,"Eukaryota","superkingdom",0.9992,"","","","","","",""
"86","a142ea79b091e03067ec33117d5161326a412b64",1,"root","no rank",1,"","","","","","",""
"87","565337eabf705260159eb78c42c4fbe77158b00b",1,"root","no rank",NA,"","","","","","",""
"88","5f8fce7de810616f7858368b0ff0502a2997b8da",1,"root","no rank",1,"","","","","","",""
"89","07fab9be5f45d0973a9839f8ec706823f21dc3df",1,"root","no rank",NA,"","","","","","",""
"90","87b7756d872ff13fd0cfc3bc597d2ed5883bdcb2",1,"root","no rank",NA,"","","","","","",""
"91","d542b497f4be7f89d0073f09d7a1d9fbfabb0afc",1,"root","no rank",1,"","","","","","",""
"92","ad98121bbe028e593d55e4c313d8395a4e65286f",131567,"cellular organisms","no rank",1,"","","","","","",""
"93","dfd1c7f91b4b0f17c22e70f75db59e10b9b8f2d3",1,"root","no rank",1,"","","","","","",""
"94","9dde0b2b7ae71efc0889ba6211d1bf427695eb67",1,"root","no rank",NA,"","","","","","",""
"95","096a755d1b094f3b965200a4be76a83191910bae",1,"root","no rank",NA,"","","","","","",""
"96","d40129312057fb12b7fa231cea005f014a098e3d",1,"root","no rank",NA,"","","","","","",""
"97","da5955b39039a7a8ae06c5637546c8bdd25d4fb0",1,"root","no rank",1,"","","","","","",""
"98","1f0b0c96315eb98323674af9f4f6ef1d7f05e3c8",1,"root","no rank",1,"","","","","","",""
"99","f031edb12c875c3e92822504fe863f617d15e42d",1,"root","no rank",1,"","","","","","",""
"100","19c3f57557915a240967f13397eda38353aeb2e6",2759,"Eukaryota","superkingdom",0.959,"","","","","","",""
"101","b789b11e0c70c7815d1166559407fbe3d2f74da8",1,"root","no rank",NA,"","","","","","",""
"102","bfc466ce6d6e59d2ae1d57be2969732082e7f86a",1,"root","no rank",NA,"","","","","","",""
"103","5ac38dd2b21c6ba09615f65883e436236443f1d8",1,"root","no rank",NA,"","","","","","",""
"104","067ffb215572c225fefdcf3e299cbaff5d6318b5",1,"root","no rank",1,"","","","","","",""
"105","8721af2383fb03ff40b141e4deabecdab761661e",1,"root","no rank",1,"","","","","","",""
"106","1818df699f3bec9a15f33b8039c9d9c5afefa366",1,"root","no rank",NA,"","","","","","",""
"107","ac65ae5c70a0a62cbb5df31223db2a4bc3946ae7",84315,"Cyclopidae","family",1,"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","",""
"108","a77ee1424ffb3ac4d0f20a2f7eb6bc5c5a5f4848",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"109","9563d1077d2cd0243a811c427195f33daa5df18d",1,"root","no rank",NA,"","","","","","",""
"110","1aeeb4a3da2ae2d8e0bfbe38b0405c0994fe4bcc",1,"root","no rank",NA,"","","","","","",""
"111","fb1732b09f7fd14835b3d71128b3178be09e6e81",1,"root","no rank",1,"","","","","","",""
"112","37dfff74b85b1f8762409642625b98e093353a12",1,"root","no rank",NA,"","","","","","",""
"113","4d84b0361486e9332e6de6220814fb0916984067",1,"root","no rank",NA,"","","","","","",""
"114","6e7a97c2ae5cf5f136c9e68691be579f0249be25",1,"root","no rank",1,"","","","","","",""
"115","6564b7439094bdf545bb527721c6b59a41b9a68e",1,"root","no rank",NA,"","","","","","",""
"116","b3e4fa04e082bc173d0760ca6217619802604d30",1,"root","no rank",NA,"","","","","","",""
"117","f91d7e5a0d576a11ed5848b77986403a97c349c9",1,"root","no rank",NA,"","","","","","",""
"118","f64ad9f21e4747c82fddcd76d162b8e48816673e",1,"root","no rank",NA,"","","","","","",""
"119","54b78acca2dcb6e80e9aba58169319b237510ccb",1,"root","no rank",1,"","","","","","",""
"120","cce26336cf04f18f1405f0de649154b4a891933e",1,"root","no rank",NA,"","","","","","",""
"121","7fee77bba05ba3ceaf325747c76359dcf1fa3ae3",1,"root","no rank",1,"","","","","","",""
"122","607a3f1c38e017acfb135ef8bbb7f6f9257329db",1,"root","no rank",NA,"","","","","","",""
"123","8b3e3a0ec89e34142cbb30202034de872ddd3fce",1,"root","no rank",1,"","","","","","",""
"124","87b90c9324129cfdfac5faaf9a8cf27c1ed0e907",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"125","0da009cfc332f58511a406237984494d14513854",2836,"Bacillariophyta","phylum",0.9984,"","Bacillariophyta","","","","",""
"126","96521df3a17e91ccefcc7ae9f3e01a05f6e9a770",1,"root","no rank",NA,"","","","","","",""
"127","382c27ad5d6bc452ca332b3ed0b7c135216670fa",1,"root","no rank",NA,"","","","","","",""
"128","5ff3e6d2a9b832df20459bfb44976ae614173b19",1,"root","no rank",NA,"","","","","","",""
"129","9d2a0a5b40f2e44f652e01c7342eb78fda2fa03d",1,"root","no rank",1,"","","","","","",""
"130","90f066b0348f3642314bf2356802744e285c949c",54970,"Chironominae","subfamily",0.9952,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"131","63c787d526bef97a5dd1c2c9ddebd7ebf0933957",1,"root","no rank",1,"","","","","","",""
"132","a38d25018dcef2c1af5e79e8cc4741fda72d8b06",1,"root","no rank",NA,"","","","","","",""
"133","36d2ed1357a161bee72b939a23a426606ad436eb",1,"root","no rank",NA,"","","","","","",""
"134","c0d9d25096c2f30e8730505e54e73057b7c3e56b",1,"root","no rank",NA,"","","","","","",""
"135","28a4267ba5b3e7c3905367ef0d62a7fbc9a4a8dd",1,"root","no rank",NA,"","","","","","",""
"136","e1f43fcc2a36e1f2b3bbcd9890d4753bf65feb96",1,"root","no rank",NA,"","","","","","",""
"137","d03b8cfa0dfec175a7269ced0f7112f3e89a5fa6",1,"root","no rank",1,"","","","","","",""
"138","4c555054eebb00c628c49e4986de20129e96a3b8",2836,"Bacillariophyta","phylum",0.9975,"","Bacillariophyta","","","","",""
"139","7dcd6820cb34936096c6e5648256e1f8c9306db6",1,"root","no rank",NA,"","","","","","",""
"140","771f1b328d7598a87488dd23445f9c473a3b970a",1,"root","no rank",1,"","","","","","",""
"141","8e6cb52349d4e24c887374cb1f97ce6b738b7387",1,"root","no rank",1,"","","","","","",""
"142","aadd76f54f7c52c207a78eb444c361502a1385f3",1,"root","no rank",1,"","","","","","",""
"143","d631931157d720bfa7e1d8ebda9f506b0763d207",44578,"Bdelloidea","class",0.9957,"Metazoa","Rotifera","Bdelloidea","","","",""
"144","c4ae074192556f8c999994c4fb815ae0b3998d7d",1,"root","no rank",NA,"","","","","","",""
"145","a9fcd41d5e4b23c28d360d8b42c465b2d09070ec",1,"root","no rank",NA,"","","","","","",""
"146","5794a062c6e80a7ab5ab033df597992184d9a09b",1,"root","no rank",NA,"","","","","","",""
"147","a614d690b64b56991e5f99264a1c5c3ee84639f6",1,"root","no rank",NA,"","","","","","",""
"148","0de3144235be9c6e73fb256b12dd6405643b1f55",1206794,"Ecdysozoa","no rank",0.9999,"Metazoa","","","","","",""
"149","22d070a0bb5bab3370031457457484c7f39ed724",1,"root","no rank",NA,"","","","","","",""
"150","814e59dad006b8f6168e1e62cab86b5df3a31a77",1,"root","no rank",1,"","","","","","",""
"151","b2efd4f7ed1dfebf3cff49e5ab9816a5a24a05ff",1,"root","no rank",NA,"","","","","","",""
"152","6e0880f0020fb6a84b7fe6fbbaf82d99f48094dd",1,"root","no rank",1,"","","","","","",""
"153","97d8ebd373692f3786f62835d180a89a9542f472",1,"root","no rank",1,"","","","","","",""
"154","683dbfc1d4b635e02a9e2bf89b45af2c706cd99d",1,"root","no rank",NA,"","","","","","",""
"155","ec5da0f481619aa6f202389561b38d8ad412d4c4",1,"root","no rank",NA,"","","","","","",""
"156","bf6ceabe52317cd214571de154936cd872046d51",1,"root","no rank",NA,"","","","","","",""
"157","8217377c5e46ded93afb2486ea468eab46790e53",1,"root","no rank",NA,"","","","","","",""
"158","8073c5e893a8130d6b380667a9be9e28b9122d7a",1,"root","no rank",NA,"","","","","","",""
"159","77657ee5d9356afe7aa81a960de1c7df7eb288c9",1,"root","no rank",NA,"","","","","","",""
"160","bfa8cab0d92529101736823eab8f47893b5c3019",149990,"Parachela","order",0.9768,"Metazoa","Tardigrada","Eutardigrada","Parachela","","",""
"161","d49bed289f319b85707f82b6be12622d2afd8245",1,"root","no rank",NA,"","","","","","",""
"162","adfcdeda211d362fe10ef72df466f2d70effb0cc",1,"root","no rank",NA,"","","","","","",""
"163","d6fba1760c3c40d2ca73222fcb0f10d8ea707123",1,"root","no rank",NA,"","","","","","",""
"164","070af294c682378f5035849d9d0704ef27345d8e",1,"root","no rank",NA,"","","","","","",""
"165","857b48c959a9977a3b14c452404b82d039a9f249",1,"root","no rank",NA,"","","","","","",""
"166","8d40e37f7a2bdb3ba1b576a380c79ef65dc1983a",1,"root","no rank",NA,"","","","","","",""
"167","d557cf176108989ef8fce2c2412863b5d7afba4c",1,"root","no rank",1,"","","","","","",""
"168","024b8cfe2b3ca2d115c78048822ed3776a118a25",33213,"Bilateria","no rank",0.9997,"Metazoa","","","","","",""
"169","b61f0c10ca602d96512f46b3ad28be14c2f02456",117571,"Euteleostomi","no rank",0.9107,"Metazoa","Chordata","","","","",""
"170","8df2af385d72d04e50850fdbf0c164ad4a19ef94",1,"root","no rank",NA,"","","","","","",""
"171","3e589e9167cb100bf6cd635850a39f219c2b90fa",33213,"Bilateria","no rank",0.9312,"Metazoa","","","","","",""
"172","27e22f56d753d9b6a28d519e022380dd46a4c21c",1,"root","no rank",NA,"","","","","","",""
"173","3bac6809088d4d0841e1eb545f6f6a9f2a08ae1d",131567,"cellular organisms","no rank",1,"","","","","","",""
"174","aa8ebff6225c1a41226feb5c9be4f16b9f5de6cd",1,"root","no rank",1,"","","","","","",""
"175","7320c5afb02c62549ff875b4fab289c12bb3c859",1,"root","no rank",1,"","","","","","",""
"176","8f7caa95c5ff388130a6adc1e43789964582b298",1,"root","no rank",1,"","","","","","",""
"177","594715bccf5200da99c4d14884216866dbf42370",1,"root","no rank",NA,"","","","","","",""
"178","454c635263bb2579e2477b15ddbb4bc38377a9eb",2759,"Eukaryota","superkingdom",0.9997,"","","","","","",""
"179","1eb6cb4b12bda068f24fe495b0d467e7ec396908",1,"root","no rank",1,"","","","","","",""
"180","6e05db6d2b08190b0f5847df87371b0a625af0e2",1,"root","no rank",NA,"","","","","","",""
"181","459f417ba3e287a347817f2aa87c8bc0a3cf5387",131567,"cellular organisms","no rank",1,"","","","","","",""
"182","947138cf1b087fa20550b6873287b8eb52936d00",1,"root","no rank",1,"","","","","","",""
"183","1d50929ace816e64d3420c6677dc06b536141e2d",84394,"Ploima","order",0.9517,"Metazoa","Rotifera","Monogononta","Ploima","","",""
"184","a22bb7960a4964139d096146abcabf703bbb58b2",131567,"cellular organisms","no rank",1,"","","","","","",""
"185","bf91e41bcb797f4de23a4983aa2d28b059c8ac16",131567,"cellular organisms","no rank",1,"","","","","","",""
"186","2e2327681caa72c4c7355485074d2c728808b1bc",1,"root","no rank",NA,"","","","","","",""
"187","9bc5a3c910da724610df67da10daa49b8e189d9f",1,"root","no rank",1,"","","","","","",""
"188","fda6f055927b65e9dc4c1b76a4f5a35896fb5b57",1,"root","no rank",1,"","","","","","",""
"189","92112ceb1e8036f529a9b3c6e03bdbd218c8fc50",1,"root","no rank",1,"","","","","","",""
"190","2b850a6ca077bc391fcdebaf55cb4272a9c286be",2759,"Eukaryota","superkingdom",0.9041,"","","","","","",""
"191","ff2646fe1dde3fc6611c197698fd76b385c56010",1,"root","no rank",NA,"","","","","","",""
"192","23f8807ddca519b8989afef14d3aa95a5a7b3a8a",1,"root","no rank",NA,"","","","","","",""
"193","8844fe3fb83fa51a876c6bd7d29afad5065b6cf0",2759,"Eukaryota","superkingdom",0.9718,"","","","","","",""
"194","7da4dee357e78da8611930a719b85699e3d8b6e6",1,"root","no rank",NA,"","","","","","",""
"195","a9dd659316b6661e3ccad8a11f8d60977aa18676",1,"root","no rank",NA,"","","","","","",""
"196","5308292d37aadd35f18bf34883b593db161d13fc",1,"root","no rank",1,"","","","","","",""
"197","9540f4a540d6495e5fa274cbbeef955407aade04",1,"root","no rank",NA,"","","","","","",""
"198","43de3abfa3f1ee770fd524d6c137ed3befd5747c",1,"root","no rank",1,"","","","","","",""
"199","41bc3a9f3fed465a937a9ecba5f6ff2b48dfde64",131567,"cellular organisms","no rank",1,"","","","","","",""
"200","94cf664e99896515211baf9e7f931e4d4214e303",131567,"cellular organisms","no rank",1,"","","","","","",""
"201","081fb78dc831652f4a529a2acabafc80a7b88482",33213,"Bilateria","no rank",0.9871,"Metazoa","","","","","",""
"202","95a110a750db422b18f9c2fd6a1c77f84be6716b",1,"root","no rank",1,"","","","","","",""
"203","a15494c7e6f82de647626c6a4a06bbb3805d1703",1,"root","no rank",NA,"","","","","","",""
"204","28d9c1677083f0e882386c46d3fe3572208b33ed",2759,"Eukaryota","superkingdom",0.9985,"","","","","","",""
"205","70441b709854756f65cdb34b970b209fd207a37e",1,"root","no rank",NA,"","","","","","",""
"206","0daa230e11e1176b18fabef87d840450705092bf",119089,"Chromadorea","class",0.9929,"Metazoa","Nematoda","Chromadorea","","","",""
"207","8e24b44d5eaa768d7bbc082df114aa149aa08616",1,"root","no rank",NA,"","","","","","",""
"208","2b135e6bd65f3a4fa5707871114c742bea59fd7e",1,"root","no rank",NA,"","","","","","",""
"209","c4e30150fb92bf1bc487294386c8b150bd6ebcf3",2759,"Eukaryota","superkingdom",0.9041,"","","","","","",""
"210","b46ab8a5ac41c3a1d7215580f358bbd4cd1e14e0",1,"root","no rank",1,"","","","","","",""
"211","41a39edfd1a265114d2eb94745fc3abaced7a0f1",33213,"Bilateria","no rank",0.9546,"Metazoa","","","","","",""
"212","ee04a4ddff4f96048e0bb177ada094599abe1803",1,"root","no rank",1,"","","","","","",""
"213","fdbcc8c75b447f38a167835ea950373476213468",2759,"Eukaryota","superkingdom",0.9987,"","","","","","",""
"214","fddd2fdb38c11fadeba8fc9d08e0ad9a358d977d",1,"root","no rank",NA,"","","","","","",""
"215","b95ecf28e485d97dd0ae66e244c58bf3392ad67a",1,"root","no rank",NA,"","","","","","",""
"216","916e0a2225a531fd8d4948d2c543603518c314b8",2759,"Eukaryota","superkingdom",0.9975,"","","","","","",""
"217","a2b65f19a1d4394a71abc3fbd6652f412830d119",1,"root","no rank",1,"","","","","","",""
"218","79876350e666e92b98d11905ff385e7eb2837a6e",1,"root","no rank",1,"","","","","","",""
"219","45d03c57708dde0395e28cb2df684bdf332cbeb9",2759,"Eukaryota","superkingdom",0.9479,"","","","","","",""
"220","cea2ef065e958fe817597b68a5a9c5e4c06c73a5",1,"root","no rank",NA,"","","","","","",""
