"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","5e6db5c69202c328e44d0a3ad756b853307676a5",1437010,"Boreoeutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"2","c8e84d52621741278b1d2b2646ad23686a2773a9",10060,"Ondatra zibethicus","species",NA,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Ondatra","Ondatra zibethicus"
"3","f0536f4e4bb4d7f10d36b30b5181c21e468e9c7d",9126,"Passeriformes","order",1,"Metazoa","Chordata","Aves","Passeriformes","","",""
"4","682cc7eca9d85fc7a214a16c2a71e0b8c8663e59",1,"root","no rank",1,"","","","","","",""
"5","9a69c3a268c7129726a4be25bfaacf024a80a18a",8018,"Oncorhynchus keta","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta"
"6","5e09a54224038d545ffdff782605cf12eeddc349",8321,"Taricha granulosa","species",NA,"Metazoa","Chordata","Amphibia","Caudata","Salamandridae","Taricha","Taricha granulosa"
"7","3f98313bc81e324d687bdd6c0d2ffdfdd613be14",9606,"Homo sapiens","species",0.9983,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"8","a7ff5c1558e9bef5fc6d99e97c28e519c3a043cd",8015,"Salmonidae","family",0.9992,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"9","762874ae34a100fa6212e778b2265633b7113596",9126,"Passeriformes","order",0.9955,"Metazoa","Chordata","Aves","Passeriformes","","",""
"10","b794f4b32f1fc49550d4e16a75a6f93e3a6fac9d",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"11","d2c304e98f35a08208c6de8e649b5221340cc073",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"12","cde523ca614b07b373124e990e78eb9c72c51b3c",9606,"Homo sapiens","species",0.9983,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"13","f0c9d5796c8d930d940a9d0eaac17574504533d5",126287,"Didelphinae","subfamily",0.9999,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"14","27fee94e1e3c2ea7843bbc2828ff3f1d6c7c1fdd",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"15","f3a4193297e08babaf9d51ce01e251233096f19d",9606,"Homo sapiens","species",0.9981,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"16","1776a6b0b2c5f52827e2d1ba7f2dc18e3b43dbc0",9611,"Canis","genus",0.9998,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"17","b77414768c25433998316cb19ce1fe5eece7892a",504568,"Salmoninae","subfamily",0.9999,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"18","28068c9a3e25c465943aa1175baf37de4f92eff5",1,"root","no rank",1,"","","","","","",""
"19","f7a34a0cea0d2dbb90fd99c36bb5bdfcdbccedd7",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"20","71c46b09a8f3f98ca8994fc9fc78f0f5c0d91b69",337752,"Sciurini","tribe",0.9581,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"21","b60365be4c85aa03464f9e62c16796bb1a17a866",1,"root","no rank",1,"","","","","","",""
"22","bea2dbcc1ec2f6308ac84997e7e2e35874d5a24e",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"23","3ae1991ffdf36b0474c5c826509d80f84af07ac3",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"24","e4d56f788a79a602b5dcc83bdad4a8229c52f9d1",1,"root","no rank",1,"","","","","","",""
"25","25ece14da89ae54d71bdf824e604002d40b02a20",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"26","fb6fd17539487742aa3ba7f559a483bc30189e08",1,"root","no rank",1,"","","","","","",""
"27","6279f1a18ac03d3ea138d8a22821212a4045093e",9608,"Canidae","family",0.956,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","",""
"28","14642c5a02ce5589b6be0bc27e5163c3fef40760",7746,"Petromyzontidae","family",1,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"29","db508ce25faf81d1eab0b27c7af14ff52f3fa831",9606,"Homo sapiens","species",0.9983,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"30","3da8323fb9777f8ba671d52a7534b4c8cd1de878",183663,"Soricinae","subfamily",0.954,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"31","dafa5b01399623dcb32603db6d2ca3e1dc84cb65",1,"root","no rank",1,"","","","","","",""
"32","ab533f53c0863bdc1884b33c3d413a41773c3110",9606,"Homo sapiens","species",0.9983,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"33","36ff96b706bd295122b47e7c982a3b75f731f866",337963,"Neotominae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"34","93d16cee6e021a24dfc79a83e22e82984e7620d5",1,"root","no rank",1,"","","","","","",""
"35","7d5ec5ac36dba18066a7ce7b560c07b4231239d4",1,"root","no rank",1,"","","","","","",""
"36","49d9fddedc9abdf6aa920ee6842c859ef03812ad",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"37","85d8324dcb1e34945bdd6cd26e10caff8d77b824",1,"root","no rank",1,"","","","","","",""
"38","7f34c15db53e9bc62879fc449f47b8a943697836",1,"root","no rank",1,"","","","","","",""
"39","a030c863a77b1256e92660407699546af98e83e3",504568,"Salmoninae","subfamily",0.9956,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"40","8fd27988bc9099107fd08b06c8225d233ccd86a4",1,"root","no rank",1,"","","","","","",""
"41","5ccbdbdf8a9666cb180206cc4f7186fd34f68dd2",1,"root","no rank",1,"","","","","","",""
"42","b1bd02b25601d45210690a686406bec3f6abe9b1",1,"root","no rank",1,"","","","","","",""
"43","7376c01095c17e594e0bbd34da0c1cd87d3f0b34",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"44","6769791203143261b2f2d88d4b69c9faec3fd651",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"45","9d5e5a8449e8d7d6f82ef93835b9fa6752dbc7a7",1,"root","no rank",1,"","","","","","",""
"46","a21aa13cb071bc93f8aa4bb7729b01773b7a7d0f",1,"root","no rank",1,"","","","","","",""
"47","c389b2ab9c50482b4405d47c4dacc8b04dacfb9d",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"48","0777b364f73920e6bc2bc054e37c531e704bd3b2",1,"root","no rank",1,"","","","","","",""
"49","a49a87033bdab54792fbf136b0ecb0155400a409",1,"root","no rank",1,"","","","","","",""
"50","c47fc6ea998071a4673a2b91a309c21445c88317",1,"root","no rank",1,"","","","","","",""
"51","1174c1d61c1a7260d4528e2d4e5b587da7bd7460",9611,"Canis","genus",0.9981,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"52","e3f94823c5b562c70b6976a56b257d07f347300a",73321,"Regulus calendula","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Sylviidae","Regulus","Regulus calendula"
"53","dea6affcc0e9e148fce03db6b063609eb8502e11",117571,"Euteleostomi","clade",0.9748,"Metazoa","Chordata","","","","",""
"54","d91069c5465f3a4d038f7275660edd057c922b34",1,"root","no rank",1,"","","","","","",""
"55","9dfabbefbf93cd0979d9f4ea70d3f549b7019c43",9606,"Homo sapiens","species",0.9983,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"56","76f73c68713a6e564552b836f1120c3eb33bc80d",9126,"Passeriformes","order",0.952,"Metazoa","Chordata","Aves","Passeriformes","","",""
"57","0740be14a500f1926900e799890dabe13d4d8b06",9606,"Homo sapiens","species",0.9973,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"58","ab2e31b187c6a9925abc4118619cb1431436064f",8092,"Cottidae","family",0.9195,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"59","660b777a1ee8cbb8bc7ed178567b1aad1dbf7904",8092,"Cottidae","family",0.9209,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"60","3e589e7413930d15a78697d6927493a5357106fb",1,"root","no rank",1,"","","","","","",""
"61","142fc081ec09169bdcc12647178457dae97d98e6",9347,"Eutheria","clade",0.9982,"Metazoa","Chordata","Mammalia","","","",""
"62","fa69c1d5abaec6820cf00ce6f89e8cb957118576",1,"root","no rank",1,"","","","","","",""
"63","c079dc9631f80d61302584576eb03ce937a562f7",488309,"Megaceryle alcyon","species",NA,"Metazoa","Chordata","Aves","Coraciiformes","Cerylidae","Megaceryle","Megaceryle alcyon"
"64","d1a1d82fdb6fa423db7762c2344195fee7a86392",1,"root","no rank",1,"","","","","","",""
"65","44c0be0ab5d1a96c34425599161d2c3fa78cf6c8",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"66","6a65006dfe13b697ba3ee3bd240fa79b133cd663",337752,"Sciurini","tribe",0.9996,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"67","378aacd3a781f11e18f145fa9346f8ba3b7cc92e",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"68","e4c01a1e10a39e4fac0690b30faf8143cb962e3d",8092,"Cottidae","family",0.9226,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"69","b80939d06d731b63ce13f01189fcd215d3755d89",1,"root","no rank",1,"","","","","","",""
"70","1c600b84572fac086a8dbba188f195414279c735",1,"root","no rank",1,"","","","","","",""
"71","e2f336aefb67a215fa8763976c96b2579625de11",1,"root","no rank",1,"","","","","","",""
"72","38d71c584fffb66dc0fc7c764e9602a6b7510c4f",504568,"Salmoninae","subfamily",0.9959,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"73","c2bf3f7b5b2dfc1037651ace9d7c3f43366f5522",504568,"Salmoninae","subfamily",0.996,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"74","85568a052f39f7ecdad4381941ca068541372ad8",1,"root","no rank",1,"","","","","","",""
"75","7e453ee60af183263139c8d9dd4915c583361019",504568,"Salmoninae","subfamily",0.9958,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"76","b59107331dd8279f41a3e6a1b74ee3ed011b6cb7",1,"root","no rank",1,"","","","","","",""
"77","fece8f4a8e1d4861b56a29179631c679ce75a055",1,"root","no rank",1,"","","","","","",""
"78","2f821ab19182c69368a804490e2770c9de9ed39c",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"79","fec22e9f67bbaf4b7de70dbab800056289b9b77e",1,"root","no rank",1,"","","","","","",""
"80","314b9fb7b5bedae4041ea10ef0a341cbde57dbf1",1,"root","no rank",1,"","","","","","",""
"81","a88cab0dfbb3f2a1a959061063d6032db48739ff",1,"root","no rank",1,"","","","","","",""
"82","86defafd90ebda4457d19711995a3bd316d71b78",9347,"Eutheria","clade",0.9578,"Metazoa","Chordata","Mammalia","","","",""
"83","03fc824c82a462e43b549ff7781076da5132cf94",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"84","8039717e60f6d7710f6eb2e3b9587bf33d9b4f2b",9606,"Homo sapiens","species",0.9983,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"85","48a3731eb2843c890bb4b13f6a33baf50f3260df",1,"root","no rank",1,"","","","","","",""
"86","e649798958aaa3aa6b5ffaab0736fbde47c5348c",1,"root","no rank",1,"","","","","","",""
"87","d7bc38751dba136b7a8c3566b70e174b01507aab",1,"root","no rank",1,"","","","","","",""
"88","ca9c8d8ecfe8f3696007308805288797fd5befd6",1,"root","no rank",1,"","","","","","",""
"89","270d019e2f61b3155e1a0bd6a5f4ec62840fd318",1,"root","no rank",1,"","","","","","",""
"90","de4ae58a9a5c163d005e660d8b4186be5a1a8f8b",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"91","e6e251481bc362f8079b00377243062794e08264",28725,"Corvidae","family",0.9785,"Metazoa","Chordata","Aves","Passeriformes","Corvidae","",""
"92","435a838b2b2c319f8a742430f1bc4b092e22cadc",8092,"Cottidae","family",0.9215,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"93","3e4d9e1883fdfbd96f1fc2bd7734dcf039fac074",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"94","12890bb6967e43edfc2992f7f347ad42e915163e",504568,"Salmoninae","subfamily",0.9351,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"95","354fdf42fc306fd953935816a40ec8765f5a7fcf",1,"root","no rank",1,"","","","","","",""
"96","f5f2c166199491284592ea267a036d2ff14a5bd4",1,"root","no rank",1,"","","","","","",""
"97","2fd57d3b7de66b12b8c7d6d1cf61a9360361aa5d",1,"root","no rank",1,"","","","","","",""
"98","bb5979eb46980592e985a0041ffb766a516ecd93",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"99","5676b2fbf454a39d75c0343d66e5df6ea430e04d",1,"root","no rank",1,"","","","","","",""
"100","7a559b062626a9d8e4426898d55901e1a4cbf414",1,"root","no rank",1,"","","","","","",""
"101","0610adfd9e58e936befc49685ea5aaf8b46c99e2",1,"root","no rank",1,"","","","","","",""
"102","ee68d48bafeac61f9155efd97ec4e39b34c36497",1,"root","no rank",1,"","","","","","",""
"103","5183838b57461b9c9bb59d34ddfc45dbbaef6c6d",504568,"Salmoninae","subfamily",0.9957,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"104","95c52d7b4a5f30249153cd1a37ad6de573d501ae",1,"root","no rank",1,"","","","","","",""
"105","6e03dc66b12665f1c5f82e04412f0639320b5305",9126,"Passeriformes","order",0.9904,"Metazoa","Chordata","Aves","Passeriformes","","",""
"106","6a1c7b196ccce40c13f5ac744497db41229abdec",1,"root","no rank",1,"","","","","","",""
"107","2eb18eaf3053e4bb306b47b42bd9c34863aef20b",8416,"Neobatrachia","suborder",1,"Metazoa","Chordata","Amphibia","Anura","","",""
"108","c40d38c8bcc2e06d14e4e2706ab698cfbca09fec",10114,"Rattus","genus",1,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"109","75192c4935ea2df3202c17bbcfa3149ef321ad86",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"110","819937467214c7d0065add37502ee10429a88a16",9126,"Passeriformes","order",0.9542,"Metazoa","Chordata","Aves","Passeriformes","","",""
"111","0845227d019f0457c9ff4faf72e6983190d56a08",1,"root","no rank",1,"","","","","","",""
"112","f28036dc5ab2373c17baba1afdcc2e6f7ab93577",1,"root","no rank",1,"","","","","","",""
"113","e962eb5561c9509ffdff983fd491395ae8a73637",1,"root","no rank",1,"","","","","","",""
"114","a367fb1ea35d1585dc0819c9e2f04fa4ce1706ca",1,"root","no rank",1,"","","","","","",""
"115","ddc2a2827b9ae58792c1824b00e59e550a991865",1,"root","no rank",1,"","","","","","",""
"116","9936ece0e45b845c5d74665892638d39a4049a80",1,"root","no rank",1,"","","","","","",""
"117","f53a19cb64ef8e4bf4b50c54d0000e6abc5893a2",1,"root","no rank",1,"","","","","","",""
"118","d6c66951db41611585e23c266d7195f8f05f3d2d",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"119","4e38d6cc4e2456d9343c62db16820e2a977dfcc2",1,"root","no rank",1,"","","","","","",""
"120","ec8fa2ea3015302146c4cfb215cafb6d555eb344",1,"root","no rank",1,"","","","","","",""
"121","b8211c1735ea8425bad864b12af5d4a96e4356a2",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"122","e593e9c11146e04535d90eec058b25c75daec7ec",1,"root","no rank",1,"","","","","","",""
"123","5a15948cbc2b29eed1831914988dc3b3235c4917",1,"root","no rank",1,"","","","","","",""
"124","a97eb2a700eed704ece29179d728e02b909c6485",1,"root","no rank",1,"","","","","","",""
"125","c15355fbf6ae9731f0b218687a3fbcc20527e9ad",10114,"Rattus","genus",0.9893,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"126","4d09b9077f4f4f890ad5b742360b1b6bd8475b79",1,"root","no rank",1,"","","","","","",""
"127","20f5b25fcd524be7d3d4a66cbb3a8a9a2e6f0613",1,"root","no rank",1,"","","","","","",""
"128","def2aef42b3c5f6e27c331ef3236a7c4ae3c4e5b",1,"root","no rank",1,"","","","","","",""
"129","4a44fff3f00a0adcd644a92cea26b371d028aa13",10114,"Rattus","genus",0.9893,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"130","dd15268ff7973674fcae8340cb69a866559c876d",33213,"Bilateria","clade",0.9499,"Metazoa","","","","","",""
