"","COI.0421.1Prt.Dn.2","COI.0421.1Prt.Up.1","COI.0421.1Prt.Up.3","Delta.1m1.072021","Delta.1m2.072021","Delta.1m3.072021","MBT.1m1.072021"
"NA__NA__NA__NA__NA__NA__NA__Seq_0001",2881,2372,4196,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0002",2546,2444,2867,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0003",3395,1847,2371,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0004",2354,2148,3072,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0005",1466,1532,1934,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0006",2064,1178,1515,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0007",1054,826,1221,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0008",612,564,1197,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0009",876,544,578,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0010",661,370,744,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0011",772,295,619,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0012",461,388,655,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__NA__NA__Seq_0013",1340,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0014",400,348,527,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0015",479,252,484,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0016",363,332,414,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0017",399,283,359,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0018",479,251,294,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0019",358,253,392,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0020",440,220,318,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0021",336,157,418,0,0,0,0
"NA__NA__Oomycetes__Peronosporales__Peronosporaceae__Phytophthora__Phytophthora cambivora__Seq_0022",447,184,213,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0023",185,334,318,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0024",163,211,437,0,0,0,0
"NA__NA__Oomycetes__Peronosporales__Peronosporaceae__Phytophthora__Phytophthora gonapodyides__Seq_0025",376,111,310,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0026",157,92,338,138,0,67,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0027",296,171,305,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0028",305,260,192,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0029",225,236,293,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0030",229,107,403,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_0031",729,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0032",484,95,66,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0033",187,213,214,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0034",173,105,285,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0035",199,76,279,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0036",110,167,247,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0037",189,153,180,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0038",85,89,341,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0039",206,140,165,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0040",198,86,216,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0041",342,51,92,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0042",272,77,133,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0043",205,99,174,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0044",178,129,166,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0045",318,73,73,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0046",76,142,238,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0047",114,102,234,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0048",216,84,145,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Seq_0049",440,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0050",135,305,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0051",106,43,280,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0052",127,99,202,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0053",216,43,158,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0054",126,92,198,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0055",121,141,147,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0056",102,138,168,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0057",261,35,108,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0058",119,159,123,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0059",132,73,194,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0060",173,79,136,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0061",120,125,143,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0062",146,69,166,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0063",167,120,81,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0064",129,69,170,0,0,0,0
