"","hash.id","tmp"
"NA__NA__NA__NA__NA__NA__NA__Seq_0001","5fb2c5b8a1da76223c3c28c406e65c8483d5fc85","Seq_0001"
"NA__NA__NA__NA__NA__NA__NA__Seq_0002","83e594b8fd251b7265e2c69e6799abf40f5cfe75","Seq_0002"
"NA__NA__NA__NA__NA__NA__NA__Seq_0003","e9ae04a410735949efe3ed7149bb088bf3e57e70","Seq_0003"
"NA__NA__NA__NA__NA__NA__NA__Seq_0004","dca61831638b2e4ce05eff11ed66fcd70c0374f8","Seq_0004"
"NA__NA__NA__NA__NA__NA__NA__Seq_0005","73434005f091706edb085556d7ddb1624139b6f1","Seq_0005"
"NA__NA__NA__NA__NA__NA__NA__Seq_0006","8278f17acfb259439877603a23a8314c3af064f6","Seq_0006"
"NA__NA__NA__NA__NA__NA__NA__Seq_0007","632fc231ae48a82b422d56899551151b21c9dfb1","Seq_0007"
"NA__NA__NA__NA__NA__NA__NA__Seq_0008","e16a93ca9bf1f81bb8a7b80876cdebdc261c8d65","Seq_0008"
"NA__NA__NA__NA__NA__NA__NA__Seq_0009","dc22680f8df9832a781f67c5301098f35796ccf6","Seq_0009"
"NA__NA__NA__NA__NA__NA__NA__Seq_0010","456cadbed10cc4bc42083e67e688958ec1f13702","Seq_0010"
"NA__NA__NA__NA__NA__NA__NA__Seq_0011","ce58180855d37c58484e232cc5bf1a12d79393a8","Seq_0011"
"NA__NA__NA__NA__NA__NA__NA__Seq_0012","a86872bfabb6c35c3017a276ad571db61a45f1db","Seq_0012"
"Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__NA__NA__Seq_0013","af67ce097b97dbe421dde5133a08c1179aba5f8a","Seq_0013"
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0014","22ba7a9708b83a08cd32cccbf67b98f47561c11a","Seq_0014"
"NA__NA__NA__NA__NA__NA__NA__Seq_0015","5dd05c86a8b817456db8edf5e5ed758ca4fffaf6","Seq_0015"
"NA__NA__NA__NA__NA__NA__NA__Seq_0016","7b302a35366278dbc6f5ea014d5b4b7e657d70cf","Seq_0016"
"NA__NA__NA__NA__NA__NA__NA__Seq_0017","c33b1180d07b56a01ffc0147115fb938b80c1a7f","Seq_0017"
"NA__NA__NA__NA__NA__NA__NA__Seq_0018","4ebf63f8ed24ac38f5972c0843195731ed42c58f","Seq_0018"
"NA__NA__NA__NA__NA__NA__NA__Seq_0019","9205f449f4095e0a6ad50e674a4f50039e786318","Seq_0019"
"NA__NA__NA__NA__NA__NA__NA__Seq_0020","44e243b439736bfac18b1bf6d92f98eb5c01247c","Seq_0020"
"NA__NA__NA__NA__NA__NA__NA__Seq_0021","7c68085e03dcb88de3a85118b316fbd3ab216ceb","Seq_0021"
"NA__NA__Oomycetes__Peronosporales__Peronosporaceae__Phytophthora__Phytophthora cambivora__Seq_0022","f29b7aa6f87d16401df576261ed7cd7e44559017","Seq_0022"
"NA__NA__NA__NA__NA__NA__NA__Seq_0023","d9a01f7f7f88028ba5049dc081faf9faa81aa28f","Seq_0023"
"NA__NA__NA__NA__NA__NA__NA__Seq_0024","f56b226e2a2329a1057f4d583e3f0f08eba0d344","Seq_0024"
"NA__NA__Oomycetes__Peronosporales__Peronosporaceae__Phytophthora__Phytophthora gonapodyides__Seq_0025","607a7652f70838e006d54823f55b86fd952e0e8e","Seq_0025"
"NA__NA__NA__NA__NA__NA__NA__Seq_0026","cb5791740e6332d97649bc162036c0bec389823b","Seq_0026"
"NA__NA__NA__NA__NA__NA__NA__Seq_0027","b841931a08adb01b5849be93c8a58b28a915599b","Seq_0027"
"NA__NA__NA__NA__NA__NA__NA__Seq_0028","4e0d96ac4da8c70ad7e94270c02fd4993ad950e5","Seq_0028"
"NA__NA__NA__NA__NA__NA__NA__Seq_0029","b536a59256b8c8f1c4929c0472de7e9ed677d336","Seq_0029"
"NA__NA__NA__NA__NA__NA__NA__Seq_0030","7f77a1e269b16ffd1131b86ebd9532b5c9e41301","Seq_0030"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_0031","c51c72e607b21ab35cc4503c3990d400ec1f5d27","Seq_0031"
"NA__NA__NA__NA__NA__NA__NA__Seq_0032","48f5cb2ee8058a2e54408e3161e897f9ac048195","Seq_0032"
"NA__NA__NA__NA__NA__NA__NA__Seq_0033","fbb08dc89acd9fdf5b7cc60e6dd2236788f8c4ee","Seq_0033"
"NA__NA__NA__NA__NA__NA__NA__Seq_0034","3e49cb958f511ddc3d829e276126bc1c00bc410e","Seq_0034"
"NA__NA__NA__NA__NA__NA__NA__Seq_0035","1772db1a3579e7edb9ac3cf57e3d305728262eb5","Seq_0035"
"NA__NA__NA__NA__NA__NA__NA__Seq_0036","4601a9c56469347218b2337b6a941453632d5d5c","Seq_0036"
"NA__NA__NA__NA__NA__NA__NA__Seq_0037","3d49f0d5a6eea73689a019c53cc7d626074e4bc5","Seq_0037"
"NA__NA__NA__NA__NA__NA__NA__Seq_0038","44980b5f9b4c0a49c37440405f1aa64f1c79a84d","Seq_0038"
