"","tmp.hash","tmp.tx","wholetax.tg"
"1","af67ce097b97dbe421dde5133a08c1179aba5f8a","Taxon_001","Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__NA__NA"
"2","c51c72e607b21ab35cc4503c3990d400ec1f5d27","Taxon_002","Metazoa__NA__NA__NA__NA__NA__NA"
"3","170bda0c952fe3e9498589049a0068dd8d08d88f","Taxon_003","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"4","6ed53fbf8e63702e9d7c9127612591f096959695","Taxon_004","Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__Hydra vulgaris"
"5","eb82a539f7063677cb938dc114ebeb399634b214","Taxon_005","Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA"
"6","8a02b742e9b756ec1a406e2a0f34e360157d59bf","Taxon_006","Metazoa__Rotifera__Monogononta__NA__NA__NA__NA"
"7","98bfcc845fe7dba552ec5416fb8845b62d246e35","Taxon_007","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"8","d097690cf87505c57bccb78f672cfa68ac136e51","Taxon_008","Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Dendrodrilus__Dendrodrilus rubidus"
"9","2b7d2d7e3d0542e363e15cd7eec17d85294f0080","Taxon_009","Metazoa__NA__NA__NA__NA__NA__NA"
"10","ed2dc66a5baf28c224e79532a5cf449e18a6cee7","Taxon_010","Metazoa__Arthropoda__NA__NA__NA__NA__NA"
"11","c5be3c7b147c648fcfecffe8106e84ddebd8bca4","Taxon_011","Metazoa__NA__NA__NA__NA__NA__NA"
"12","d9a826a6b8cb2570ff1d89cfc11899277bd2a526","Taxon_012","Metazoa__Arthropoda__Hexanauplia__NA__NA__NA__NA"
"13","204b04fb7c23de0da18a6385348e0f3d2918ee0d","Taxon_013","Metazoa__Rotifera__Monogononta__Ploima__Brachionidae__Keratella__NA"
"14","1338e833c5cc106a1a22f39c43f4ac3db7cb6270","Taxon_014","Metazoa__Chordata__NA__NA__NA__NA__NA"
"15","e69f43d0c8af44c4fe8436c5c6b4d2fd5ae95d82","Taxon_015","Metazoa__NA__NA__NA__NA__NA__NA"
"16","d01551b06313fa47a94ee563a879a44a8e5925ca","Taxon_016","Metazoa__NA__NA__NA__NA__NA__NA"
"17","a8c20adea2654b2a23394df2bc2728ab6389dd73","Taxon_017","Metazoa__NA__NA__NA__NA__NA__NA"
"18","1d83734ad1508a2bc3da6c3e93043f11d6241edd","Taxon_018","Metazoa__NA__NA__NA__NA__NA__NA"
"19","5057bc64f05d4db28b13ba94b2fd694667a7fa3a","Taxon_019","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"20","abe0bf67a21ad20d5c577c0d52464c88ef8089a9","Taxon_020","Metazoa__NA__NA__NA__NA__NA__NA"
"21","d843634f7d60fc3907bd6749e302c415da6ffbaa","Taxon_021","Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA"
"22","048dcbee2969f14b43413c82ad3d0c2be64fe891","Taxon_022","Metazoa__NA__NA__NA__NA__NA__NA"
"23","e3dfeff666c54d20d40b1e59a3b383f8afa9f338","Taxon_023","Metazoa__NA__NA__NA__NA__NA__NA"
"24","00b577bffb2c043177c0ce3288fc0205b0672e9f","Taxon_024","Metazoa__NA__NA__NA__NA__NA__NA"
"25","c0b0306499d01420bf38e098b3d3a73b6836b4ed","Taxon_025","Metazoa__Rotifera__Bdelloidea__NA__NA__Rotaria__NA"
"26","cfd097cd188d367b8768730e7a4c5ced75ef9d25","Taxon_026","Metazoa__NA__NA__NA__NA__NA__NA"
"27","5d559046ffcbc381cfb3acc11cf8ac0049ed9812","Taxon_027","Metazoa__NA__NA__NA__NA__NA__NA"
"28","1025a7fcde84adc5c5458ef367d38f69dadf9a60","Taxon_028","Metazoa__Arthropoda__Insecta__Plecoptera__NA__NA__NA"
"29","c31513391e3077c78deab4223fca1958b8dfba1a","Taxon_029","Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Aporrectodea__NA"
"30","368b6a0db6d1c21c975b5bf9b259d578916a6278","Taxon_030","Metazoa__NA__NA__NA__NA__NA__NA"
"31","00ba0f07342e382edf45039c8607e2df6ac3b504","Taxon_031","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch"
"32","3c7643b4dfe601fe9de82f12c62b976aaae48400","Taxon_032","Metazoa__Arthropoda__Insecta__NA__NA__NA__NA"
"33","a948aaf1ccdec82dbd6228bd74d43acafc5a3ef5","Taxon_033","Metazoa__NA__NA__NA__NA__NA__NA"
"34","3bbcaff1b242f3e1c39c07cd053acff38e171a49","Taxon_034","Metazoa__NA__NA__NA__NA__NA__NA"
"35","5fce4850cde7ebbf98086537b2117e43f1fb8670","Taxon_035","Metazoa__NA__NA__NA__NA__NA__NA"
"36","39251c88e4b87748ab79c018a4fd970fb6b9d5d3","Taxon_036","Metazoa__Arthropoda__Insecta__NA__NA__NA__NA"
"37","d6ae5490fcf4e5211eaef670fa02e40bcc681a9c","Taxon_037","Metazoa__NA__NA__NA__NA__NA__NA"
"38","76a7e94b8730d99ec5238445961ed2ba69d1f87f","Taxon_038","Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA"
"39","bb657a410998bdfe3e32bcc1aacd349751479fa8","Taxon_039","Metazoa__NA__NA__NA__NA__NA__NA"
"40","5a5a106616b162b70e84b01da65628286dccff6e","Taxon_040","Metazoa__Arthropoda__Insecta__Trichoptera__Philopotamidae__Wormaldia__Wormaldia anilla"
"41","9eb04779687a238b2d12c5832c04856f43d62a79","Taxon_041","Metazoa__NA__NA__NA__NA__NA__NA"
"42","b36363be0f9b0c9c7117baf57f93b910dd50b04a","Taxon_042","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"43","ae6788f3b12d2e59ef6134dd68593119e463a047","Taxon_043","Metazoa__Arthropoda__Insecta__Ephemeroptera__Ephemerellidae__NA__NA"
"44","1c2795d6c5efda06dea77a535cbffbc1d8bfdb0f","Taxon_044","Metazoa__NA__NA__NA__NA__NA__NA"
"45","cb29ca7773795efd57bb73788900815d6ae759be","Taxon_045","Metazoa__NA__NA__NA__NA__NA__NA"
"46","76f083f5e09e0e6f166f041a74e9346227b15031","Taxon_046","Fungi__NA__NA__NA__NA__NA__NA"
"47","7aaf25ad45ce78248ebe15eca1994325a06e8374","Taxon_047","Metazoa__NA__NA__NA__NA__NA__NA"
"48","e1fcde98ea06ec7968224e76b7d79b53ed8fa5fb","Taxon_048","Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__NA__NA"
"49","7138786cb856e8ea8cb83ca4104be5730698fac2","Taxon_049","Metazoa__Arthropoda__Insecta__Diptera__Chironomidae__NA__NA"
"50","f705c1f291fb6dc42589eaced0c930df2ac5aae0","Taxon_050","Metazoa__Arthropoda__Insecta__Diptera__Chironomidae__NA__NA"
"51","f1c62ad4d43963c64659d96e8b9360bdb447f062","Taxon_051","Metazoa__NA__NA__NA__NA__NA__NA"
"52","e3ae1d0c4c9485d6553e61d67915fac140515e83","Taxon_052","Metazoa__NA__NA__NA__NA__NA__NA"
"53","ae915e3b20caa5b6d85407d739e9a7df320ac243","Taxon_053","Metazoa__NA__NA__NA__NA__NA__NA"
"54","6cecf2afeb93f99f9996414020c4bb946e579681","Taxon_054","Metazoa__Annelida__Clitellata__Lumbriculida__Lumbriculidae__Stylodrilus__Stylodrilus heringianus"
"55","fcf7be1655ee28732b64199b354d42104de5263d","Taxon_055","Metazoa__NA__NA__NA__NA__NA__NA"
"56","acd4794b2640e1994d64bd300dc7ff89d14ebf2b","Taxon_056","Metazoa__Arthropoda__Collembola__Entomobryomorpha__Isotomidae__Isotomurus__Isotomurus graminis"
"57","ce9ec37735a470530c4485be7592ab376cf7382a","Taxon_057","Fungi__Basidiomycota__Pucciniomycetes__Pucciniales__Melampsoraceae__Melampsora__NA"
"58","fca9595354fc58b230ec7b402a99ae87b84f2712","Taxon_058","Metazoa__Arthropoda__Insecta__Diptera__Chironomidae__NA__NA"
"59","a2aaa9e7fa91eb46360144556b3418ccc4555dab","Taxon_059","Metazoa__NA__NA__NA__NA__NA__NA"
"60","6f385ed12f5f359be970269296b1362d204425f3","Taxon_060","Metazoa__NA__NA__NA__NA__NA__NA"
"61","6554dfd20e6cad39681b11f7c9bbde595995cbf5","Taxon_061","Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA"
"62","f78df2aff4b80e762e2310db8553ed02d04dcb13","Taxon_062","Metazoa__NA__NA__NA__NA__NA__NA"
"63","f737dde10659aea19608eb470ca2029b2758b95a","Taxon_063","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"64","4cb7e557af48c3cf2905690317ed2f1ac37a2338","Taxon_064","Metazoa__NA__NA__NA__NA__NA__NA"
"65","42234ea1273259cce9b4140bd14d9c5f7913aa92","Taxon_065","Metazoa__NA__NA__NA__NA__NA__NA"
"66","2cd2dfbc4227cb818bd438099bd60195296182af","Taxon_066","Metazoa__NA__NA__NA__NA__NA__NA"
"67","bc0efa148daa73106c97cef20ab186738abc8495","Taxon_067","Metazoa__NA__NA__NA__NA__NA__NA"
"68","10ac9f52265673b89d913f31f62caa50dd454d06","Taxon_068","Fungi__NA__NA__NA__NA__NA__NA"
"69","366ab9f0eec4e69cb05cc21cb9d64bff4dbda115","Taxon_069","Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA"
"70","1bdd3452c5692cd0f0327c054c9e9d8e0fed4b8f","Taxon_070","Metazoa__NA__NA__NA__NA__NA__NA"
"71","b5d215b31cccd55fb9cc242166f0975b0c5d8211","Taxon_071","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"72","cbbbf76af617db41444042984f535afefdc36e3a","Taxon_072","Metazoa__Arthropoda__Insecta__Ephemeroptera__NA__NA__NA"
"73","8b9e9ad47fd0c808c8222bdf03431face1d554c6","Taxon_073","Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA"
"74","d42b80078f4dc3b0d0c3fa45ae1007a79df56f3f","Taxon_074","Metazoa__Arthropoda__Insecta__NA__NA__NA__NA"
"75","b5007cba46193c7deb259f9fe26094ab4882a904","Taxon_075","Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA"
"76","b3a95ce1fd0d9929d915832869d4eb7464dd7a99","Taxon_076","Metazoa__NA__NA__NA__NA__NA__NA"
"77","357411eb3be668065010109a57b4a5694bb65d1d","Taxon_077","Metazoa__NA__NA__NA__NA__NA__NA"
"78","eaaf4c6aecd04630d5be779e63a494adfd7930ca","Taxon_078","Metazoa__Arthropoda__Insecta__Ephemeroptera__Baetidae__NA__NA"
"79","d87d8c6cd4d1797df83a64fd035763ef2010e133","Taxon_079","Metazoa__NA__NA__NA__NA__NA__NA"
