"","COI.0421.2Brn.Up.1","COI.0421.2Brn.Up.3","COI.0421.3Chk.Dn.1","COI.0421.4Pad.Up11.3","COI.0421.5Sqm.Dn.2","COI.0421.5Sqm.Up.2","COI.0821.3Chk.Up.2","COI.0821.4Pad.Dn.1","COI.0821.4Pad.Up11.1","COI.0821.4Pad.Up5.2","COI.Kangaroo.Run.2"
"Metazoa__Arthropoda__Insecta__Diptera__NA__NA__NA__Seq_00001",41155,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00002",334,786,6910,156,4027,9036,18,0,237,556,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00003",298,2660,0,306,0,0,1144,17235,53,200,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00004",145,1730,15469,35,729,1375,0,0,0,19,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00005",5132,4508,0,9,7,0,0,164,2275,847,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00006",446,1020,6,233,303,20,0,0,168,299,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00007",665,1221,138,0,106,197,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00008",1104,1133,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00009",1036,1130,0,0,0,0,0,18,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00010",1051,1006,0,0,0,0,0,0,0,0,0
"NA__NA__Oomycetes__Peronosporales__Peronosporaceae__Phytophthora__Phytophthora cambivora__Seq_00011",74,370,567,65,459,491,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00012",577,1261,0,0,6,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00013",223,584,0,0,0,0,244,780,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00014",125,210,0,14,20,15,0,0,482,635,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00015",440,850,111,10,21,11,0,0,0,5,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Seq_00016",1241,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00017",578,625,27,0,0,0,0,0,0,11,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00018",147,330,338,17,201,134,35,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__NA__NA__NA__Seq_00019",1172,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00020",16,0,0,852,34,21,0,0,131,35,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00021",131,274,402,0,127,140,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00022",81,146,167,0,174,439,0,0,0,41,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00023",514,532,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00024",49,140,173,0,20,15,646,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00025",219,459,0,21,3,0,0,0,61,271,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_00026",8,21,0,5,0,0,385,184,164,93,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00027",29,37,183,0,288,266,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00028",110,176,90,0,31,8,44,0,0,312,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Seq_00029",768,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00030",107,519,0,19,35,14,0,0,22,45,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00031",165,392,85,0,0,25,47,0,0,43,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00032",10,25,175,0,211,80,244,0,0,7,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00033",214,378,21,0,51,28,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00034",36,57,0,0,0,3,0,396,0,191,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00035",190,482,0,0,0,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00036",16,28,122,429,0,0,0,62,7,7,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00037",206,456,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00038",74,67,0,152,0,0,0,92,123,152,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00039",59,176,156,15,123,60,6,0,0,54,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00040",104,241,58,69,70,87,4,0,0,13,0
"Metazoa__Arthropoda__Insecta__Diptera__NA__NA__NA__Seq_00041",623,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00042",23,17,565,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00043",206,394,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00044",194,389,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00045",142,438,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00046",177,390,0,0,0,0,0,0,0,0,0
"NA__NA__Florideophyceae__NA__NA__NA__NA__Seq_00047",140,356,36,0,14,4,0,0,4,12,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Seq_00048",3,552,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00049",3,10,60,18,7,7,288,0,25,128,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00050",198,345,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00051",136,369,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00052",13,18,0,0,5,0,0,0,34,424,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00053",161,316,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00054",143,314,0,0,0,0,0,0,0,14,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00055",47,115,12,0,62,21,31,0,122,46,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00056",36,74,0,9,0,6,0,0,148,176,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00057",95,286,0,0,0,20,0,0,0,40,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00058",37,127,0,13,27,19,39,10,35,130,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00059",27,72,0,0,0,0,0,0,48,290,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00060",134,224,44,0,0,0,31,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00061",55,146,88,0,0,0,142,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00062",99,329,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00063",118,283,0,0,0,0,0,0,0,14,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00064",149,226,0,0,0,0,0,0,9,15,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00065",22,26,0,0,0,0,0,0,0,341,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00066",116,259,0,0,0,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00067",149,223,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00068",117,251,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00069",6,0,191,25,9,2,92,0,15,14,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00070",84,243,0,0,0,0,0,0,0,24,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00071",98,244,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00072",125,215,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00073",103,237,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00074",127,211,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00075",69,213,38,0,0,17,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00076",87,245,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00077",48,52,0,23,5,0,0,7,63,134,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00078",44,78,0,0,0,0,0,4,0,204,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00079",85,97,144,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00080",118,201,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00081",102,217,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00082",121,192,0,2,3,0,0,0,0,0,0
