"","COI.0421.2Brn.Up.1","COI.0421.2Brn.Up.3","COI.0421.3Chk.Dn.1","COI.0421.4Pad.Up11.3","COI.0421.5Sqm.Dn.2","COI.0421.5Sqm.Up.2","COI.0821.3Chk.Up.2","COI.0821.4Pad.Dn.1","COI.0821.4Pad.Up11.1","COI.0821.4Pad.Up5.2","COI.Kangaroo.Run.2"
"Metazoa__Arthropoda__Insecta__Diptera__NA__NA__NA__Taxon_001",42950,0,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_002",1241,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_003",8,21,0,5,0,0,385,184,164,93,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_004",768,0,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_005",3,994,0,0,0,0,0,54,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_006",53,204,28,12,46,18,7,0,5,55,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_007",290,187,0,0,0,0,0,0,0,7,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_008",124,0,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_009",119,6,0,82,0,8,0,13,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_010",5,45,4,4,13,9,0,0,15,16,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_011",32,16,0,0,0,0,0,0,33,21,0
"Metazoa__Arthropoda__Insecta__Plecoptera__Pteronarcyidae__Pteronarcys__Pteronarcys princeps__Taxon_012",21,41,0,0,0,0,14,2,0,21,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_013",21,59,0,0,21,9,16,0,0,17,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_014",13,34,0,0,0,4,12,5,0,43,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_015",34,60,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_016",67,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_017",17,44,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_018",51,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_019",12,27,3,0,0,2,3,0,0,7,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_020",44,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_021",18,20,0,0,0,0,0,0,5,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_022",4,37,0,0,0,0,0,0,0,0,0
"Metazoa__Nematoda__Chromadorea__Rhabditida__Aphelenchoididae__NA__NA__Taxon_023",38,8,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_024",4,13,0,5,8,7,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_025",11,25,2,0,0,0,0,0,0,12,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_026",5,14,0,0,0,0,0,0,0,11,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_027",5,21,0,0,0,0,0,0,0,11,0
"Viridiplantae__NA__NA__NA__NA__NA__NA__Taxon_028",3,8,10,0,0,0,0,0,0,21,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Lumbricus__Lumbricus terrestris__Taxon_029",8,0,12,0,13,12,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__NA__NA__NA__Taxon_030",19,0,0,0,0,0,0,0,0,0,0
