"","tmp.hash","tmp.tx"
"1","d31458861abd71166b0c84b6fcdd4dff8ea29a40","Metazoa__Arthropoda__Insecta__Diptera__NA__NA__NA__Taxon_001"
"2","f67338a06ccce62cf8fa2654ad74c8577342fef8","Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_002"
"3","1d83734ad1508a2bc3da6c3e93043f11d6241edd","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_003"
"4","e43c348edaa5694c4c48b84ca411b0f7a05df25d","Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_004"
"5","6932c543f466b6999e5d873a804d35026d165907","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_005"
"6","ace979e677c8ca8737eb89c62f1f0906c1f4b8d0","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_006"
"7","cb17fddbe25957206327439d53f48c5a9e1c544c","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_007"
"8","7df1cf267d929d8edcf7550c1d285fde6401058c","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_008"
"9","2f34ed08f85a5db6f5ee40c830263f6fb2cd2795","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_009"
"10","048dcbee2969f14b43413c82ad3d0c2be64fe891","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_010"
"11","c2254030f30e53e9bffe01e4a4731958635221f7","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_011"
"12","5402672c4768a47baecb5975ab6c20c36403b705","Metazoa__Arthropoda__Insecta__Plecoptera__Pteronarcyidae__Pteronarcys__Pteronarcys princeps__Taxon_012"
"13","bd0dd81bbb7c69728d9f65819d1e7dd09c5cb081","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_013"
"14","c79930e111b52a7dda5d22532dd60076f287c148","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_014"
"15","5086fae1658a584a1a36244af7354026b9a3cf55","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_015"
"16","af293dba5ecb19eeb33a9be3e2a121c0394055d4","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_016"
"17","1827db174fa6eb392e23cdaa8e7f9d52dec8d282","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_017"
"18","fcb32c27a31e440d2d0d558b484c966b90bdf420","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_018"
"19","cb29ca7773795efd57bb73788900815d6ae759be","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_019"
"20","6377bb987dab1be9f8e909e80f3ca90c9a382d30","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_020"
"21","0289b82b827f41c2ffa173f9f64ce48602348805","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_021"
"22","368b6a0db6d1c21c975b5bf9b259d578916a6278","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_022"
"23","5a85a7d7cd09b6207dc26bfec69babbbd8e86e0e","Metazoa__Nematoda__Chromadorea__Rhabditida__Aphelenchoididae__NA__NA__Taxon_023"
"24","ae915e3b20caa5b6d85407d739e9a7df320ac243","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_024"
"25","993acc6be81aed3e7d29b9e0745e6eaad41e12b3","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_025"
"26","355a11b58494ba2f8f434b555037f0d622ec7964","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_026"
"27","6bcfb5f5916fbb63629015131eb5093a34488799","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_027"
"28","aaae5d66b30adf4f285e5d241640cacfd90619f9","Viridiplantae__NA__NA__NA__NA__NA__NA__Taxon_028"
"29","241b2297787524a4fb9fd25e46f62508587252ac","Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Lumbricus__Lumbricus terrestris__Taxon_029"
"30","8a8e1e60c84a2fee13816bb5e0001bf3d97a7933","Metazoa__Arthropoda__Insecta__Diptera__NA__NA__NA__Taxon_030"
"31","fc8c95a72d6a0b06a11ee5db7ed46980d0a7e35e","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_031"
"32","b67b891e3789b80f7c3f38fe5eb1cccb5cd76473","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_032"
"33","ffa0724f175119ba65329c927f0d75d6cb2bf5ae","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_033"
"34","eb82a539f7063677cb938dc114ebeb399634b214","Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_034"
"35","0486c18e18695c2cb841b6e41b2caa52d897fab1","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_035"
"36","8bbac9433923d9547ec084f1038610c5d18e56ae","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_036"
"37","2f6336ab957cc84b486e2411ce77c7f56ec9f4b8","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_037"
"38","694a660fa9576c93d62b144585b7bc4cd63e5875","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_038"
"39","dfff4662dacab8910d28856876fdc4488f0cd2b1","Fungi__NA__NA__NA__NA__NA__NA__Taxon_039"
"40","934eacb351faaee91b578fe0f914449bc8b935d6","Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_040"
"41","20895cac3a6977c3c0cade3a562cbd4ade6c73b4","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_041"
"42","01c8c418b8db0b9873f50f87bf4de6d89607817c","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_042"
"43","90fdef093779164a15470017f984d91a58f005b2","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_043"
