,MiFish.0321.1Prt.Up.1,MiFish.0321.2Brn.Dn.3,MiFish.0321.3Chk.Dn.1,MiFish.0321.3Chk.Dn.3,MiFish.0321.3Chk.Up.2,MiFish.0321.4Pad.Dn.2,MiFish.0321.4Pad.Dn.3,MiFish.0321.4Pad.Up11.1,MiFish.0321.4Pad.Up11.3,MiFish.0321.4Pad.Up5.1,MiFish.0321.4Pad.Up5.2,MiFish.0321.4Pad.Up5.3,MiFish.0321.5Sqm.Dn.3,MiFish.0321.5Sqm.Up.1,MiFish.0421.1Prt.Dn.1,MiFish.0421.1Prt.Dn.3,MiFish.0421.2Brn.Dn.2,MiFish.0421.2Brn.Dn.3,MiFish.0421.2Brn.Up.2,MiFish.0421.3Chk.Dn.1,MiFish.0421.3Chk.Dn.2,MiFish.0421.3Chk.Up.1,MiFish.0421.4Pad.Up11.2,MiFish.0421.4Pad.Up5.1,MiFish.0421.4Pad.Up5.2,MiFish.0421.5Sqm.Dn.2,MiFish.0421.5Sqm.Dn.3,MiFish.0421.5Sqm.Up.2,MiFish.0421.5Sqm.Up.3,MiFish.0821.1Prt.Dn.2,MiFish.0821.1Prt.Dn.3,MiFish.0821.1Prt.Up.2,MiFish.0821.1Prt.Up.3,MiFish.0821.2Brn.Dn.2,MiFish.0821.2Brn.Up.1,MiFish.0821.2Brn.Up.3,MiFish.0821.3Chk.Up.1,MiFish.0821.4Pad.Dn.1,MiFish.0821.5Sqm.Dn.1,MiFish.0821.2Brn.Dn.2TR2,MiFish.0821.2Brn.Dn.2TR3,MiFish.Kangaroo.Run.2
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Seq_0001,10823,32298,1881,38826,8701,5946,10794,3503,5051,0,516,0,40818,17520,13061,24623,13412,19621,0,47268,36368,49761,4068,3001,5620,27409,22258,29730,30159,6642,34507,10437,29498,39138,0,0,6522,831,69996,28396,32878,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Seq_0002,1629,0,0,0,0,5528,1560,0,0,0,528,0,0,0,8904,27711,0,14463,0,0,0,0,667,0,0,3025,1527,1364,3559,2590,20306,4693,13229,14131,0,0,0,0,2435,9612,11174,0
Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Seq_0003,7,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,144,11,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Seq_0004,1126,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,12980,0,0,0,0,0,0,0,0,0,112,24,739,441,2843,7219,3624,3898,0,0,0,0,0,636,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0005,103,0,1777,0,0,6677,1190,599,459,267,3978,3462,1314,2200,0,0,0,0,0,866,2394,58,78,597,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_0006,402,1182,0,1316,298,194,327,111,169,0,0,0,1332,529,474,712,495,637,0,1401,1207,2199,0,0,182,831,639,814,883,194,952,339,954,1395,0,0,245,0,2148,965,1148,0
Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_0007,45,0,0,0,0,88,76,236,712,538,0,0,0,71,0,5,0,0,0,482,607,0,417,40,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0008,1295,422,1325,2136,827,138,331,141,240,395,316,696,7,0,302,0,0,751,79,0,31,0,382,264,219,0,0,0,0,0,0,1132,173,442,973,514,0,190,0,106,70,0
NA__NA__NA__NA__NA__NA__NA__Seq_0009,306,87,1279,1652,1418,171,89,162,87,523,731,191,0,0,532,0,147,0,404,0,521,49,385,348,328,0,0,0,0,0,0,380,0,0,732,399,0,254,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0010,622,0,0,0,126,156,318,126,1820,476,342,20,0,38,56,228,0,16,414,0,15,12,367,380,280,0,0,0,0,0,0,1736,275,106,92,243,0,299,0,25,67,0
