"","MiFish.0321.1Prt.Up.1","MiFish.0321.2Brn.Dn.3","MiFish.0321.3Chk.Dn.1","MiFish.0321.3Chk.Dn.3","MiFish.0321.3Chk.Up.2","MiFish.0321.4Pad.Dn.2","MiFish.0321.4Pad.Dn.3","MiFish.0321.4Pad.Up11.1","MiFish.0321.4Pad.Up11.3","MiFish.0321.4Pad.Up5.1","MiFish.0321.4Pad.Up5.2","MiFish.0321.4Pad.Up5.3","MiFish.0321.5Sqm.Dn.3","MiFish.0321.5Sqm.Up.1","MiFish.0421.1Prt.Dn.1","MiFish.0421.1Prt.Dn.3","MiFish.0421.2Brn.Dn.2","MiFish.0421.2Brn.Dn.3","MiFish.0421.2Brn.Up.2","MiFish.0421.3Chk.Dn.1","MiFish.0421.3Chk.Dn.2","MiFish.0421.3Chk.Up.1","MiFish.0421.4Pad.Up11.2","MiFish.0421.4Pad.Up5.1","MiFish.0421.4Pad.Up5.2","MiFish.0421.5Sqm.Dn.2","MiFish.0421.5Sqm.Dn.3","MiFish.0421.5Sqm.Up.2","MiFish.0421.5Sqm.Up.3","MiFish.0821.1Prt.Dn.2","MiFish.0821.1Prt.Dn.3","MiFish.0821.1Prt.Up.2","MiFish.0821.1Prt.Up.3","MiFish.0821.2Brn.Dn.2","MiFish.0821.2Brn.Up.1","MiFish.0821.2Brn.Up.3","MiFish.0821.3Chk.Up.1","MiFish.0821.4Pad.Dn.1","MiFish.0821.5Sqm.Dn.1","MiFish.0821.2Brn.Dn.2TR2","MiFish.0821.2Brn.Dn.2TR3","MiFish.Kangaroo.Run.2"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Taxon_001",10823,32298,1881,38826,8701,5946,10794,3503,5051,0,516,0,40818,17520,13061,24623,13412,19621,0,47268,36368,49761,4068,3001,5620,27409,22258,29730,30159,6642,34507,10437,29498,39138,0,0,6522,831,69996,28396,32878,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Taxon_002",1629,0,0,0,0,5528,1560,0,0,0,528,0,0,0,8904,27711,0,14463,0,0,0,0,667,0,0,3025,1527,1364,3559,2590,20306,4693,13229,14131,0,0,0,0,2435,9612,11174,0
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Taxon_003",7,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,144,11,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Taxon_004",1126,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,12980,0,0,0,0,0,0,0,0,0,112,24,739,441,2843,7219,3624,3898,0,0,0,0,0,636,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_005",402,1182,0,1734,298,194,327,111,169,0,0,0,1332,529,474,712,495,637,0,1401,1207,2199,0,0,182,831,639,814,883,194,952,339,954,1395,0,0,245,0,2148,965,1148,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_006",45,0,0,0,0,88,76,236,712,538,0,0,0,71,0,5,0,0,0,482,607,0,417,40,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_007",271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_008",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_009",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__NA__NA__NA__NA__Taxon_010",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_011",0,191,443,0,28,3,0,51,18,263,63,5,0,221,0,11,727,4,0,0,1315,95,0,0,0,0,0,5,2,0,0,310,0,31,0,0,0,154,0,25,14,381
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_012",19,15201,1011,0,1421,12,0,0,0,0,0,2,211,0,347,129,15912,40943,59900,494,1131,144,0,0,0,0,451,335,0,0,12,1449,0,2948,40096,58312,84,3,4,3108,2881,2
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_013",0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__NA__NA__Taxon_014",301,85,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,99,176,231,115,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_015",0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_016",0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_017",0,0,5232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2418,4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_018",0,0,1273,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_019",0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_020",0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_021",0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA__Taxon_022",0,0,0,0,0,30724,21636,8763,29983,13991,11186,11457,0,0,0,0,0,0,0,0,0,0,27936,14426,25857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss__Taxon_023",0,0,0,0,0,11189,14127,16642,8300,460,0,0,2857,3836,0,0,0,0,0,0,0,0,2251,4702,1161,0,782,2445,1292,0,0,0,0,0,867,0,0,367,0,96,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__NA__Taxon_024",0,0,0,0,0,3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31182,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Taxon_025",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Taxon_026",0,0,0,0,0,194,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__Turdidae__Turdus__Turdus migratorius__Taxon_027",0,0,0,0,0,112,304,0,244,0,0,0,0,0,2088,486,0,0,0,0,0,0,1287,0,0,0,10,0,26,0,75,2269,0,0,0,2520,5,0,92,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_028",0,0,0,0,0,949,602,257,913,484,342,354,0,0,0,0,0,0,0,0,0,0,880,440,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
