,MiMammal.0321.1Prt.Dn.1,MiMammal.0321.1Prt.Dn.2,MiMammal.0321.4Pad.Up11.1,MiMammal.0321.2Brn.Up.3,MiMammal.0321.5Sqm.Dn.1,MiMammal.0321.5Sqm.Up.1,MiMammal.0321.5Sqm.Up.2,MiMammal.0321.2Brn.Up.1TR2,MiMammal.0321.2Brn.Up.1TR3,MiMammal.0421.1Prt.Dn.3,MiMammal.0421.1Prt.Up.1,MiMammal.0421.1Prt.Up.2,MiMammal.0421.2Brn.Dn.2,MiMammal.0421.2Brn.Dn.3,MiMammal.0421.2Brn.Up.2,MiMammal.0421.2Brn.Up.3,MiMammal.0421.3Chk.Up.2,MiMammal.0421.3Chk.Up.3,MiMammal.0421.4Pad.Dn.2,MiMammal.0421.5Sqm.Dn.2,MiMammal.0421.5Sqm.Dn.3,MiMammal.0421.5Sqm.Up.1,MiMammal.0421.5Sqm.Up.2,MiMammal.0821.1Prt.Dn.2,MiMammal.0821.1Prt.Dn.3,MiMammal.0821.1Prt.Up.2,MiMammal.0821.2Brn.Up.1,MiMammal.0821.3Chk.Dn.1,MiMammal.0821.3Chk.Dn.3,MiMammal.0821.3Chk.Up.3,MiMammal.0821.4Pad.Up11.3,MiMammal.0821.4Pad.Up5.2,MiMammal.0821.5Sqm.Up.3,MiMammal.0821.4Pad.Up5.2TR2,MiMammal.0821.4Pad.Up5.2TR3,MiMammal.0421.Kangaroo
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Taxon_001,1789,1212,1513,0,2585,868,1663,0,0,2575,3803,4980,129,957,56,0,4233,209,924,683,599,40,921,1920,715,998,0,23773,23186,35916,271,0,24308,156,88,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Taxon_002,1839,136,0,0,0,0,1300,0,0,2131,4309,2127,0,1827,42,0,0,0,616,17,10,9,98,761,299,140,0,0,0,0,485,5727,11573,0,0,0
Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Taxon_003,55532,33284,0,0,0,3640,3,0,0,9612,8814,9323,0,0,0,0,8364,204,0,0,0,0,0,16616,22352,5013,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_004,8225,8351,0,0,15251,8340,4594,0,0,9747,11912,7126,0,0,0,0,0,0,0,7152,6088,416,6306,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Taxon_005,42,856,0,0,0,0,636,0,0,309,13,49,0,0,0,0,0,0,0,0,0,0,0,42,169,638,0,0,0,0,0,0,2591,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Taxon_006,4520,0,0,0,0,0,2243,0,0,0,2039,0,0,0,0,0,0,0,0,0,0,0,0,4823,10742,2756,0,0,0,0,1366,0,0,774,1233,0
Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_007,109,2998,7504,0,0,52,18,0,0,679,926,1125,0,0,647,0,366,3,9663,0,13,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Melospiza__Melospiza melodia__Taxon_008,1009,0,719,0,0,7125,4561,0,0,0,0,0,0,0,356,0,0,51,5222,0,0,0,0,0,0,0,0,0,0,92,15,0,1997,0,112,0
Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Taxon_009,2303,4953,0,0,0,0,0,0,0,0,0,835,0,0,204,0,0,309,2921,0,319,277,720,580,0,2774,0,0,0,0,1170,0,61,1126,225,0
Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Taxon_010,3035,3636,0,0,0,0,0,0,0,384,320,277,0,0,0,0,774,0,0,0,0,0,0,480,646,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Taxon_011,1576,1036,0,0,0,0,0,0,0,249,280,232,0,0,0,0,273,0,0,0,0,0,0,442,600,0,0,0,0,0,0,0,0,0,0,0
