"","hash.id","tmp"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Seq_0001","fd7d89190e5c165cf36284ea0fca46c98216328c","Seq_0001"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Seq_0002","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Seq_0002"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Seq_0003","8519a7f742cabfdb887dc2013feba40c4584b8db","Seq_0003"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0004","30742d31b3cc7a387b96133d0998ecee07c83597","Seq_0004"
"Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Seq_0005","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","Seq_0005"
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Seq_0006","e3bb86462242cc75b2d9159e96f588a2ca09a5d3","Seq_0006"
"NA__NA__NA__NA__NA__NA__NA__Seq_0007","b2adee11d0798c70d512e9c4a4ec72cf72fdab7a","Seq_0007"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_0008","ca4009e9f4961a466d717e77ddddcf64a374073d","Seq_0008"
"Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Melospiza__Melospiza melodia__Seq_0009","d375db6821a4402acdeffb3d216d4abdc355cd48","Seq_0009"
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Seq_0010","63a7d0273f9bdd41fc062c411d5c529730a67ff1","Seq_0010"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Seq_0011","1a7f87ab0013574ad60f803c3d8d54cad2d15181","Seq_0011"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Seq_0012","1a50e3486cdc5423f8b831ff444cf54e91042554","Seq_0012"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Seq_0013","73bd07c218ab7e4ae33a1653d793820dc5cbb2c4","Seq_0013"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0014","a05528c413125215bde6d2205cba6d625e7228f9","Seq_0014"
"NA__NA__NA__NA__NA__NA__NA__Seq_0015","5b6caeb888f690d3223af08d03fcc9785def9d0e","Seq_0015"
"NA__NA__NA__NA__NA__NA__NA__Seq_0016","e49a7966657c33a24529e6281ed3bcfc1422c6b4","Seq_0016"
"NA__NA__NA__NA__NA__NA__NA__Seq_0017","10e208d1ce645588da4c457f9ef5a12d73075532","Seq_0017"
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Seq_0018","4034e3f8d59651874847b26c07aed84914791e06","Seq_0018"
"NA__NA__NA__NA__NA__NA__NA__Seq_0019","96cf57acc04a8266cc4efbcd460bd10e19a849a7","Seq_0019"
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Seq_0020","195cc1c7f2dd895425c1f7872e3ed4dfe4256c0f","Seq_0020"
"NA__NA__NA__NA__NA__NA__NA__Seq_0021","de1202e63e91462d297d0fd7f1cbd722be9c539c","Seq_0021"
"NA__NA__NA__NA__NA__NA__NA__Seq_0022","19ddb5ceef0dc2e1b723ce803c179231061e7447","Seq_0022"
"NA__NA__NA__NA__NA__NA__NA__Seq_0023","f5e77b2d8a8ca49cd10b41aad5592334c7e1565a","Seq_0023"
"NA__NA__NA__NA__NA__NA__NA__Seq_0024","d928f0cd46b93629bb0091d78cf8bb4923b84460","Seq_0024"
"NA__NA__NA__NA__NA__NA__NA__Seq_0025","d2783700c79a6fbdbaaa41f38a72cd133971f5ec","Seq_0025"
"NA__NA__NA__NA__NA__NA__NA__Seq_0026","312f4a32092bb2abb5b05bcbaa0daab80e3a8d02","Seq_0026"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0027","dbfc4c5bd03f414677d0dec505587c7ea976c514","Seq_0027"
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_0028","0af50c9e935876232e242db91bb835235691bf3a","Seq_0028"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Seq_0029","1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16","Seq_0029"
"Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Pipilo__Pipilo maculatus__Seq_0030","827f99ae61c4f9a80e1b415ff8de0c02d35659dd","Seq_0030"
"NA__NA__NA__NA__NA__NA__NA__Seq_0031","0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25","Seq_0031"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__Aix__Aix sponsa__Seq_0032","d5f832529f6b73fadb1b9087af48bf9a8dc101c8","Seq_0032"
"NA__NA__NA__NA__NA__NA__NA__Seq_0033","fb434d844c0eecd94ddb6cde96b0f0194c52c80a","Seq_0033"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Seq_0034","e949919da98e5306e2e0256d20339908ccb29c81","Seq_0034"
"NA__NA__NA__NA__NA__NA__NA__Seq_0035","e3d2fad9cee615d4db845a1afc12aac186f8e80e","Seq_0035"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Seq_0036","5ec793e1fa5b1af03b12d12d1f83d8206437e32c","Seq_0036"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_0037","bd0035049d9540b3b4f593e82ad1c77adddd9921","Seq_0037"
"NA__NA__NA__NA__NA__NA__NA__Seq_0038","f07a41cd8cd299a928be8310d7366816f181212a","Seq_0038"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_0039","104cd8b505413febe007af9b157d44c05f6316a0","Seq_0039"
"NA__NA__NA__NA__NA__NA__NA__Seq_0040","46cc5af99b1146646945aea2db43863b7264732e","Seq_0040"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Seq_0041","aa48da6f16ba1ecf8170dc684c45c1b2e3f34202","Seq_0041"
"NA__NA__NA__NA__NA__NA__NA__Seq_0042","512180f8b94b5ff7e63032f94f1b3c1b825cb3da","Seq_0042"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_0043","4efe675016c464c3220dcb566fc715559a5c1f4e","Seq_0043"
"NA__NA__NA__NA__NA__NA__NA__Seq_0044","63283ebd575153d54e2bc0a92a096c3cae26a821","Seq_0044"
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Seq_0045","a1bb23180a60b999c8d34cebb59b701acaaaf72c","Seq_0045"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0046","a5e54797ddba3b68f09a89f5c84ab5b43b90283c","Seq_0046"
"NA__NA__NA__NA__NA__NA__NA__Seq_0047","fefe939a91fbdc04493001a9f05660f7eeaab613","Seq_0047"
"NA__NA__NA__NA__NA__NA__NA__Seq_0048","9abc47c7765bafe86fa0b8c0c4be7ab58dfa8061","Seq_0048"
