"","MiFish.0321.1Prt.Dn.1","MiFish.0321.1Prt.Dn.2","MiFish.0321.1Prt.Up.2","MiFish.0321.2Brn.Dn.1","MiFish.0321.2Brn.Up.1","MiFish.0321.2Brn.Up.2","MiFish.0321.2Brn.Up.3","MiFish.0321.4Pad.Dn.1","MiFish.0321.5Sqm.Up.2","MiFish.0321.1Prt.Dn.1TR2","MiFish.0321.1Prt.Dn.1TR3","MiFish.0421.1Prt.Dn.2","MiFish.0421.3Chk.Dn.3","MiFish.0421.4Pad.Dn.1","MiFish.0421.4Pad.Up11.3","MiFish.0421.5Sqm.Up.1","MiFish.0421.3Chk.Dn.3TR2","MiFish.0421.3Chk.Dn.3TR3","MiFish.0821.1Prt.Dn.1","MiFish.0821.1Prt.Up.1","MiFish.0821.2Brn.Up.2","MiFish.0821.3Chk.Dn.2","MiFish.0821.4Pad.Dn.2","MiFish.0821.4Pad.Up11.3","MiFish.0821.4Pad.Up5.3","MiFish.0821.5Sqm.Dn.2","MiFish.Kangaroo.Run.3"
"02e4a86c119ca4b65e5b616135fa996aa2eb4372",5174,0,1846,0,0,0,0,966,2093,0,0,4196,0,578,0,743,0,0,5289,1162,0,0,176,1951,3938,702,8
"ca4009e9f4961a466d717e77ddddcf64a374073d",189,0,659,0,0,0,0,3,0,0,133,0,0,106,5,0,0,39,0,0,0,0,0,0,0,0,0
"a0c2e7cbad7bbe0b97f572d9a9aa8eb2b59c0f6b",227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a",0,6624,0,1824,0,0,0,0,87,0,0,0,0,0,0,148,0,0,3236,1126,0,0,0,0,0,294,4
"3c4cd1a5d5fbad21b8acc3f38923dff58f6674ee",0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c82b00d717919e4086632863f8b9b5ba0a259077",0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fd7d89190e5c165cf36284ea0fca46c98216328c",0,0,2480,17814,0,2220,0,7229,14271,0,3957,3827,1953,4780,753,12271,22611,16698,18132,3636,0,15983,1175,1637,0,21446,10
"1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16",0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7d8d284f8419abb75e2ddb771080f1475447d26c",0,0,446,0,0,0,0,0,0,0,0,39,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"a483b776e5165a5eaf6672e78ea680aeac6757d3",0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9",0,0,0,91,0,471,0,25,0,0,0,0,5,0,0,60,22,22,0,0,0,0,0,0,0,0,160
"580a64b0134da56e49bf06482ed6ee164d8a6ec5",0,0,0,6839,15214,10392,9820,0,55,0,0,0,51,0,0,0,1639,0,7,0,22221,6474,0,0,0,0,0
"76918abfaa90d218d683fdbc4f8024dd430d7d91",0,0,0,264,82,1348,2137,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,0,0,0,0,0,0
"f5b5aded2ca74ffb7f6b02448ffa90a36de662df",0,0,0,18,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"2ed8fcca7933e00c05ce112abf7629f3fca0ae03",0,0,0,473,0,70,0,206,421,0,0,0,0,141,0,349,635,488,484,0,0,430,0,0,0,612,0
"7c3a071d9b4e988f7367ae8ae7bf3ada64fdd9af",0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,444,1378,0,0,0,151,0,0,0,489,0,0
"deaadc11b0189c975741718d011ab0f6897f6066",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8828dbea272cc6952163b0c035e1439792fe4507",0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a7517d5f93621c76c69106131eab915faa19f6b4",0,0,0,33,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,38,0,0
"0136045211815efe585d758255e71b356536a546",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adcd4ea08761f730aa3535c79e5680b7c22f6116",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8ade38d6c1396cc32395e6773d53ae373734314c",0,0,0,0,9859,889,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7cbe946625f416ad59615f0ddca7884268f33de2",0,0,0,0,1253,4329,7944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e65f511d819ef32a2941c6d56d076a8616b71c25",0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd",0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7f229c17476e8d9142a9f3db5859a4fcc6b3b5d6",0,0,0,0,395,298,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6162577dad77b615bca5543992542e30cecfbe59",0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9065a17cf1c0baae17365ee6a46d4774faa5f3de",0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"080147934ea92c696ef63f2154b2b093f3a98845",0,0,0,0,118,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7c23ac26c1c5e06f1ae20ecb5e63f9fa4fb68550",0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"de42666eb0e70e73c99b1061e5e4bfe4477204b5",0,0,0,0,0,1042,0,0,496,0,0,0,0,2422,4058,216,0,0,0,0,0,0,0,0,0,0,0
"446af984a6181c35ae70086597fdb60e647afde7",0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66eb21474d8bbd0ab3d49cda6bd486c79b15ff51",0,0,0,0,0,110,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64acd71396ce9fd7a044de196d7f1e36a58c8f32",0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
"9c177b556ac925aa7f5fa05607d9a4820e3dd201",0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
"0485eb50d7319cfbfde5d90ca5100b3b876843f5",0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a56843c86d60d4423f69f4836868d31ea7eadf22",0,0,0,0,0,0,0,4879,0,0,0,0,0,638,1405,223,0,0,0,0,0,397,686,19624,0,0,0
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",0,0,0,0,0,0,0,9756,0,0,0,0,0,2314,6221,0,9,10,0,6,6,5,0,2300,430,0,0
"c6d586dc78d8ef5cac238cba2d5714407775bd69",0,0,0,0,0,0,0,380,218,0,0,0,0,0,0,173,0,0,17,0,0,45,0,172,0,0,0
"5c024b1d5c5f25af45599d69bd92b8837b2ba62f",0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"94b310b913e0d26c0720e1775a3f2a7f2dd6af18",0,0,0,0,0,0,0,794,225,0,0,0,14,86,62,38,591,295,41,265,188,0,0,61,0,85,0
"da86e55cb2b03c4f47a877c184e63d907a48bc4e",0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dcda35cdb325fa88556c3ee37ba18e6f5d8bf054",0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25e8531396b00cb9cdd8c87db81331ec1a0ee28e",0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0
"860ecfffc5c2dce11e2264d31c572c9cbcc78caf",0,0,0,0,0,0,0,267,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
"445504a68c7d0c288ae4240eaa54530d832cacb6",0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8f3d5fa23f8fd179873c67e93ed98c8e7bcedc3d",0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cb0cf229832374ff8f4ce89c20348a90da9c04e1",0,0,0,0,0,0,0,0,6032,0,0,0,0,0,0,12868,0,0,0,0,0,0,0,7,18,0,0
"31f58f5089fdc196a53e11198d538061dd41bb97",0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
"814bd62cd7f0891ddea80fac0be25f86af95d790",0,0,0,0,0,0,0,0,1530,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0
"7ed525639c40b9418b4743e59f833fa5b3bdf355",0,0,0,0,0,0,0,0,1029,0,0,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0
"4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b",0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0
"4be671e1ce0da6b1505cf3f3cbe98a49c6d2d7ff",0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8519a7f742cabfdb887dc2013feba40c4584b8db",0,0,0,0,0,0,0,0,0,119,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e3326d78fc42729ea464440aa62ec3ce02bd2829",0,0,0,0,0,0,0,0,0,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f",0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"b9286e7d00341090882184f5b386f2cd3c61e051",0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4115ee1cadcd375713b30c75e01abb278c4d2ecb",0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298e4a7ba813b8c4aaba63985e35daad007212bb",0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0af50c9e935876232e242db91bb835235691bf3a",0,0,0,0,0,0,0,0,0,0,0,0,147,0,323,0,200,476,0,0,0,0,0,0,0,0,0
"23bf5f5d24f589cba120a8635ee13e9817d90a52",0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,582,1697,0,0,0,0,0,0,0,0,0
"e330f6d1a7768b21c34c1d9d6814f5b48c87b05a",0,0,0,0,0,0,0,0,0,0,0,0,0,7554,5264,0,0,0,0,0,0,0,0,0,949,0,0
"ddf5d8f01c176ab003be35dd8935dab512bf36c1",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"d2b6d6a7ad62c1827c70dfab3c1fd345dadbc9d4",0,0,0,0,0,0,0,0,0,0,0,0,0,227,139,0,0,0,0,0,0,0,0,0,0,0,0
"23c619d6fffd998ebd33fc4a32feda91287ea49e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0
"e256a562220374d61068aad77501e2e1e7b569cc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
"9e831a2f93daeb2d14b4c4990038bad6b33b4cd0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"a6fe0d62e468a8dda26d1d195a1fc7e56ac3ea95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
"7c418641190f04ef854d9017a3e1cde2465e5b8a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"31c87ef38318df885f015bf5a157eb360bd5849e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"d15e926efd8720231adb32a8b4e6e40608827676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0
"c161735732d10ef81323d9b5812491897d2eb5ab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,21,0,0,0,0,0,0,0
"5dbce0075732b37e517721c275ba3c2e14e50196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0
"358d0def35bc8bcf2711011fb63f7fc511496cc5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"d84391b013a0c0b0f0e588766fb6a2f47f8bc81c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0
"673e8585cf20e34fffd5ef53303a189880be4218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0
