"","MiFish.0321.1Prt.Dn.1","MiFish.0321.1Prt.Dn.2","MiFish.0321.1Prt.Up.2","MiFish.0321.2Brn.Dn.1","MiFish.0321.2Brn.Up.1","MiFish.0321.2Brn.Up.2","MiFish.0321.2Brn.Up.3","MiFish.0321.4Pad.Dn.1","MiFish.0321.5Sqm.Up.2","MiFish.0321.1Prt.Dn.1TR2","MiFish.0321.1Prt.Dn.1TR3","MiFish.0421.1Prt.Dn.2","MiFish.0421.3Chk.Dn.3","MiFish.0421.4Pad.Dn.1","MiFish.0421.4Pad.Up11.3","MiFish.0421.5Sqm.Up.1","MiFish.0421.3Chk.Dn.3TR2","MiFish.0421.3Chk.Dn.3TR3","MiFish.0821.1Prt.Dn.1","MiFish.0821.1Prt.Up.1","MiFish.0821.2Brn.Up.2","MiFish.0821.3Chk.Dn.2","MiFish.0821.4Pad.Dn.2","MiFish.0821.4Pad.Up11.3","MiFish.0821.4Pad.Up5.3","MiFish.0821.5Sqm.Dn.2","MiFish.Kangaroo.Run.3"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Seq_0001",5174,0,1846,0,0,0,0,966,2093,0,0,4196,0,578,0,743,0,0,5289,1162,0,0,176,1951,3938,702,8
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_0002",189,0,659,0,0,0,0,3,0,0,133,0,0,106,5,0,0,39,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0003",64,1532,570,0,22,0,175,0,0,114,1701,428,0,0,77,0,119,0,0,279,55,0,0,16,342,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0004",905,189,107,32,36,170,0,27,0,0,94,153,0,107,136,0,0,423,0,805,147,58,0,86,302,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0005",376,0,862,0,0,0,147,24,0,227,103,401,0,48,329,0,0,0,0,608,32,136,7,0,198,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0006",2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0007",1240,0,0,12,48,129,36,0,0,94,31,0,0,0,0,0,0,0,0,305,0,13,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0008",53,0,0,55,0,14,0,0,0,0,0,803,0,0,96,0,252,18,0,144,0,0,0,69,384,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0009",53,350,209,0,15,77,0,0,20,0,70,263,0,121,134,0,0,0,7,115,77,0,10,60,159,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0010",208,237,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0011",30,266,152,0,0,0,0,0,0,638,116,30,0,0,17,0,0,0,0,0,23,0,0,10,170,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0012",41,0,704,60,0,0,0,0,0,498,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0013",392,238,38,0,97,128,106,0,27,241,0,0,0,0,0,0,0,0,5,0,154,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0014",76,7,233,0,0,0,0,0,0,179,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0015",464,0,106,0,0,0,0,0,0,368,24,232,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0016",1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0017",252,0,17,0,52,0,0,21,22,0,0,0,0,19,37,0,0,0,6,151,83,0,116,74,107,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0018",61,0,237,0,0,0,0,18,14,21,389,49,0,57,37,10,0,54,0,0,0,0,0,0,41,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0019",363,287,92,0,0,0,0,0,0,0,0,79,0,0,0,0,17,0,0,57,0,0,0,0,84,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0020",199,102,152,0,0,0,0,35,0,65,0,0,0,0,166,0,0,0,0,25,0,0,0,20,106,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0021",9,0,96,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0022",821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0023",31,133,100,35,0,0,0,0,0,71,82,107,0,0,67,0,0,0,0,61,0,0,0,0,71,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0024",202,100,293,0,0,0,0,4,0,11,0,18,0,94,0,0,32,0,0,0,0,0,0,0,25,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0025",51,323,178,0,0,0,0,0,0,28,6,0,0,60,5,0,0,0,0,70,0,11,0,0,13,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0026",17,50,0,0,0,0,0,0,0,34,589,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0027",299,21,0,0,0,0,17,0,0,0,260,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0028",192,215,42,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0029",8,396,0,0,0,0,0,0,0,0,109,0,0,0,0,0,53,0,0,66,0,0,0,0,6,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0030",537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0031",28,144,102,0,0,0,0,0,0,185,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0
