"","hash.id","tmp"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Seq_0001","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Seq_0001"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_0002","ca4009e9f4961a466d717e77ddddcf64a374073d","Seq_0002"
"NA__NA__NA__NA__NA__NA__NA__Seq_0003","a786ab2b4d6cd6be5394f1351bea438a7d35726e","Seq_0003"
"NA__NA__NA__NA__NA__NA__NA__Seq_0004","629aa86f569921707980e85a596cb12105791f75","Seq_0004"
"NA__NA__NA__NA__NA__NA__NA__Seq_0005","8ec931f8723a382855753cbfb8c92bd75cf323a8","Seq_0005"
"NA__NA__NA__NA__NA__NA__NA__Seq_0006","a9ff5903beb36730262ddb63bb3b19ef024d6e9e","Seq_0006"
"NA__NA__NA__NA__NA__NA__NA__Seq_0007","ad6053ef8b9c7ececb1449fbd7937cc28583b1eb","Seq_0007"
"NA__NA__NA__NA__NA__NA__NA__Seq_0008","a3031e77ffa4c6cf7242a2a8f110a6689a42e882","Seq_0008"
"NA__NA__NA__NA__NA__NA__NA__Seq_0009","8399a44ac9eddd3a5e70f87c08014d7e00b2f02a","Seq_0009"
"NA__NA__NA__NA__NA__NA__NA__Seq_0010","3752acb2d79c35e6b4463e556a13f7f576b238aa","Seq_0010"
"NA__NA__NA__NA__NA__NA__NA__Seq_0011","773eaddaf7c2b4308f12792a94d3b096d11fa542","Seq_0011"
"NA__NA__NA__NA__NA__NA__NA__Seq_0012","8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8","Seq_0012"
"NA__NA__NA__NA__NA__NA__NA__Seq_0013","9c94ba083a52d4995e5bcfae6ea41aa5c0431be8","Seq_0013"
"NA__NA__NA__NA__NA__NA__NA__Seq_0014","fb434d844c0eecd94ddb6cde96b0f0194c52c80a","Seq_0014"
"NA__NA__NA__NA__NA__NA__NA__Seq_0015","63ff73a1d7a66ab647ec5c3c6e7259434f902f87","Seq_0015"
"NA__NA__NA__NA__NA__NA__NA__Seq_0016","994670e185ec4788f0fed5a55c81fc317ac5d740","Seq_0016"
"NA__NA__NA__NA__NA__NA__NA__Seq_0017","8ed6e061a113f0a3323ef17b1c1e2f2fb575a043","Seq_0017"
"NA__NA__NA__NA__NA__NA__NA__Seq_0018","9c944dd49cc66af585d01075d653dc14fb1403c1","Seq_0018"
"NA__NA__NA__NA__NA__NA__NA__Seq_0019","c702739574b66bfbfb8161c171148965ba3b4c59","Seq_0019"
"NA__NA__NA__NA__NA__NA__NA__Seq_0020","f97301b29e339910bf632cf3fab2755f493eac31","Seq_0020"
"NA__NA__NA__NA__NA__NA__NA__Seq_0021","ad5341b4bbcf10ce709fe0ffd855254f4acb16fc","Seq_0021"
"NA__NA__NA__NA__NA__NA__NA__Seq_0022","e99109137944e72bb8ed1425e94a105e3408b60f","Seq_0022"
"NA__NA__NA__NA__NA__NA__NA__Seq_0023","0f393c323c7d2dcd0cb68a529747e8c4abfd9509","Seq_0023"
"NA__NA__NA__NA__NA__NA__NA__Seq_0024","1c55c48eea48f9b3d4988feef548151f23615fc8","Seq_0024"
"NA__NA__NA__NA__NA__NA__NA__Seq_0025","e63a97cc5b55455aed87138fd829f3a8621891d6","Seq_0025"
"NA__NA__NA__NA__NA__NA__NA__Seq_0026","4e19dd3370a35426d62f50d386d535614c42a961","Seq_0026"
"NA__NA__NA__NA__NA__NA__NA__Seq_0027","697a6fed459e4a4aee637d8c9ddf92c39ce05b18","Seq_0027"
"NA__NA__NA__NA__NA__NA__NA__Seq_0028","b2d7890d069f41e55fb8fbfbb07d9aaa90361748","Seq_0028"
"NA__NA__NA__NA__NA__NA__NA__Seq_0029","25f54a7367bed1e335aa3acd6013e39c4cb6b19b","Seq_0029"
"NA__NA__NA__NA__NA__NA__NA__Seq_0030","62cac238a2ecf1b4ea64008763f38acf170560e4","Seq_0030"
"NA__NA__NA__NA__NA__NA__NA__Seq_0031","267aa7fd1982ad1231f15695eab5d5d802650fd1","Seq_0031"
"NA__NA__NA__NA__NA__NA__NA__Seq_0032","0441b212707ec0e2de05c37c6f776f367dc32c2c","Seq_0032"
