"","tmp.hash","tmp.tx","wholetax.tg"
"1","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Taxon_01","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch"
"2","ca4009e9f4961a466d717e77ddddcf64a374073d","Taxon_02","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"3","a0c2e7cbad7bbe0b97f572d9a9aa8eb2b59c0f6b","Taxon_03","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"4","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","Taxon_04","Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561"
"5","3c4cd1a5d5fbad21b8acc3f38923dff58f6674ee","Taxon_05","Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__NA__NA"
"6","c82b00d717919e4086632863f8b9b5ba0a259077","Taxon_06","Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__NA"
"7","fd7d89190e5c165cf36284ea0fca46c98216328c","Taxon_07","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii"
"8","1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16","Taxon_08","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"9","a483b776e5165a5eaf6672e78ea680aeac6757d3","Taxon_09","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"10","d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9","Taxon_10","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"11","580a64b0134da56e49bf06482ed6ee164d8a6ec5","Taxon_11","Metazoa__NA__NA__NA__NA__NA__NA"
"12","f5b5aded2ca74ffb7f6b02448ffa90a36de662df","Taxon_12","Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA"
"13","2ed8fcca7933e00c05ce112abf7629f3fca0ae03","Taxon_13","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"14","deaadc11b0189c975741718d011ab0f6897f6066","Taxon_14","Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA"
"15","adcd4ea08761f730aa3535c79e5680b7c22f6116","Taxon_15","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus"
"16","8ade38d6c1396cc32395e6773d53ae373734314c","Taxon_16","Metazoa__Chordata__Mammalia__Carnivora__Felidae__Lynx__Lynx rufus"
"17","7cbe946625f416ad59615f0ddca7884268f33de2","Taxon_17","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"18","e65f511d819ef32a2941c6d56d076a8616b71c25","Taxon_18","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
