"","MiMammal.0321.2Brn.Dn.3","MiMammal.0321.4Pad.Dn.2","MiMammal.0321.2Brn.Up.1","MiMammal.0321.4Pad.Up11.2","MiMammal.0321.5Sqm.Dn.2","MiMammal.0321.5Sqm.Up.3","MiMammal.0421.1Prt.Dn.1","MiMammal.0421.1Prt.Dn.2","MiMammal.0421.1Prt.Up.3","MiMammal.0421.2Brn.Dn.1","MiMammal.0421.2Brn.Up.1","MiMammal.0421.3Chk.Dn.3","MiMammal.0421.4Pad.Dn.1","MiMammal.0421.4Pad.Dn.3","MiMammal.0421.5Sqm.Dn.1","MiMammal.0821.1Prt.Up.3","MiMammal.0821.2Brn.Up.2","MiMammal.0821.3Chk.Up.1","MiMammal.0821.4Pad.Dn.1","MiMammal.0821.4Pad.Up11.1","MiMammal.0821.4Pad.Up5.1","MiMammal.0821.5Sqm.Dn.1","MiMammal.0821.5Sqm.Up.2","MiMammal.0821.Kangaroo","MiMammal.0321.1Prt.Up.1","MiMammal.0321.2Brn.Dn.2"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Seq_001",5531,298,0,343,1542,612,995,867,1487,942,0,1539,826,390,404,1144,0,19668,785,544,0,9820,13478,0,678,1118
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_002",13857,8541,28,4200,10679,3586,4729,1770,526,19167,5333,15520,2139,14041,10982,14,12146,189,4,13129,11,849,378,0,4184,4419
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_003",3357,0,32,0,0,0,57,0,0,210,2094,475,0,10,0,0,6596,901,0,0,0,0,0,0,0,6909
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Seq_004",13,9,0,0,0,0,0,2004,5141,4,0,1206,0,0,409,16563,0,0,0,0,0,0,0,3,6722,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_005",1939,0,0,0,0,0,0,0,0,770,8555,0,0,0,0,0,5757,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Seq_006",245,867,0,1374,3031,2291,0,0,0,3999,0,1497,2113,178,1526,1768,0,0,0,620,0,0,0,0,0,2254
"Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Seq_007",624,0,0,0,3,0,10,55,582,0,0,0,0,0,0,0,0,0,0,0,0,39,1985,0,11,2176
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_008",397,237,0,103,281,93,150,0,0,509,135,445,0,386,302,0,329,0,0,374,0,0,0,0,122,143
"NA__NA__NA__NA__NA__NA__NA__Seq_009",11,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_010",1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_011",70,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,96,0,0,0,0,14
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_012",152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,264,388,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_013",38,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_014",15,0,0,224,0,0,0,0,0,0,0,40,0,0,0,0,0,0,392,0,58,0,0,0,11,39
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_015",142,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_016",652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_017",22,0,0,22,0,0,0,0,10,0,73,3,45,0,0,0,0,0,0,0,0,0,0,0,0,155
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_018",487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Seq_019",349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_020",19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_021",371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_022",196,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_023",16,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_024",81,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
