"","MiMammal.0321.2Brn.Dn.3","MiMammal.0321.4Pad.Dn.2","MiMammal.0321.2Brn.Up.1","MiMammal.0321.4Pad.Up11.2","MiMammal.0321.5Sqm.Dn.2","MiMammal.0321.5Sqm.Up.3","MiMammal.0421.1Prt.Dn.1","MiMammal.0421.1Prt.Dn.2","MiMammal.0421.1Prt.Up.3","MiMammal.0421.2Brn.Dn.1","MiMammal.0421.2Brn.Up.1","MiMammal.0421.3Chk.Dn.3","MiMammal.0421.4Pad.Dn.1","MiMammal.0421.4Pad.Dn.3","MiMammal.0421.5Sqm.Dn.1","MiMammal.0821.1Prt.Up.3","MiMammal.0821.2Brn.Up.2","MiMammal.0821.3Chk.Up.1","MiMammal.0821.4Pad.Dn.1","MiMammal.0821.4Pad.Up11.1","MiMammal.0821.4Pad.Up5.1","MiMammal.0821.5Sqm.Dn.1","MiMammal.0821.5Sqm.Up.2","MiMammal.0821.Kangaroo","MiMammal.0321.1Prt.Up.1","MiMammal.0321.2Brn.Dn.2"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Taxon_001",5531,298,0,343,1542,612,995,867,1487,942,0,1539,826,390,404,1144,0,19668,785,544,0,9820,13478,0,678,1118
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_002",15192,9286,28,4373,10679,3586,4851,1770,783,19552,5717,15729,2248,14254,11159,14,12146,189,4,13129,11,849,378,0,4519,4419
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_003",5444,0,71,0,0,0,107,0,0,980,14307,475,0,10,0,9,13364,943,0,160,0,262,4,0,0,7179
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Taxon_004",13,9,0,0,0,0,0,2004,5141,4,0,1206,0,0,409,16563,0,0,0,0,0,0,0,3,6722,0
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Taxon_005",245,867,0,1374,3031,2291,1473,1295,1252,3999,0,1497,2113,570,1526,2367,0,0,0,620,0,0,0,9,705,2490
"Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Taxon_006",624,0,0,0,3,0,10,55,582,0,0,0,0,0,0,0,0,0,0,0,0,39,1985,0,11,2176
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_007",397,237,0,103,281,93,150,0,0,509,135,445,0,386,302,0,329,0,0,374,0,0,0,0,122,143
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_008",1478,0,0,0,188,111,118,0,65,844,0,0,0,764,62,0,0,0,0,276,0,0,0,0,55,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_009",152,0,0,0,0,0,53,0,0,0,0,0,65,0,0,0,0,532,0,0,0,264,388,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Taxon_010",142,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
