"","hash.id","tmp"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Seq_001","fd7d89190e5c165cf36284ea0fca46c98216328c","Seq_001"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_002","d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9","Seq_002"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_003","580a64b0134da56e49bf06482ed6ee164d8a6ec5","Seq_003"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Seq_004","8519a7f742cabfdb887dc2013feba40c4584b8db","Seq_004"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_005","76918abfaa90d218d683fdbc4f8024dd430d7d91","Seq_005"
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Seq_006","c161735732d10ef81323d9b5812491897d2eb5ab","Seq_006"
"Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Seq_007","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","Seq_007"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_008","9bb9b0ca0ff04246c282a4ecaa318c8af7a948bb","Seq_008"
"NA__NA__NA__NA__NA__NA__NA__Seq_009","8ec931f8723a382855753cbfb8c92bd75cf323a8","Seq_009"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_010","ddf5d8f01c176ab003be35dd8935dab512bf36c1","Seq_010"
"NA__NA__NA__NA__NA__NA__NA__Seq_011","02087cc593f40be8e3f3405e26b791009dca5131","Seq_011"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_012","dac66c6958eb6715abd0243ec2f5592da97cb1f5","Seq_012"
"NA__NA__NA__NA__NA__NA__NA__Seq_013","b788eca460686de3f92b46d93b89eb571cd06bed","Seq_013"
"NA__NA__NA__NA__NA__NA__NA__Seq_014","1817c9310d0145992696f8490f9c0dea4501cf52","Seq_014"
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_015","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8","Seq_015"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_016","01719166d24c6b718d79036a279a11fa88f786c7","Seq_016"
"NA__NA__NA__NA__NA__NA__NA__Seq_017","de153c34b212edc93e83a42901b4b97d6e887c7f","Seq_017"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_018","88868f145c43408aa6c27982badd3cf6c7435c45","Seq_018"
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Seq_019","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","Seq_019"
"NA__NA__NA__NA__NA__NA__NA__Seq_020","f536d06c01845ccab42b872aac3cb3788e538310","Seq_020"
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_021","d071447bb8ca2177c49e93535e90db16ffe738c3","Seq_021"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_022","2a57b50fb2af64df3bf7b78d13ef04e7215a04d1","Seq_022"
"NA__NA__NA__NA__NA__NA__NA__Seq_023","a1ecb2c70bef54058868d81e8f8b510a48061c41","Seq_023"
"NA__NA__NA__NA__NA__NA__NA__Seq_024","78398923c6c69e284597e3ceadb582b981ec0b7f","Seq_024"
"NA__NA__NA__NA__NA__NA__NA__Seq_025","073c967cd39a8b457613613952b6fd61c50bb9fe","Seq_025"
"NA__NA__NA__NA__NA__NA__NA__Seq_026","726a680652aa1353b47b8f932cc6deeee094a1a3","Seq_026"
"NA__NA__NA__NA__NA__NA__NA__Seq_027","ca63ff4e2cee66494b9478cebbac6c57b26d6542","Seq_027"
"NA__NA__NA__NA__NA__NA__NA__Seq_028","96cf57acc04a8266cc4efbcd460bd10e19a849a7","Seq_028"
"NA__NA__NA__NA__NA__NA__NA__Seq_029","d5702888de20d9944cfa565cfcb59e12c7e484c3","Seq_029"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_030","68555c3d5ffd7dbdae3901cba5230626de7bf52f","Seq_030"
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_031","c49a8f7144e51f8a0d46c19d4c50ac4e41772a40","Seq_031"
"NA__NA__NA__NA__NA__NA__NA__Seq_032","3bfe37b2d08e19d218e68af2ea6db303e0e82fea","Seq_032"
"NA__NA__NA__NA__NA__NA__NA__Seq_033","1e08dd663cd11070046f2732dce934e356a6adec","Seq_033"
"NA__NA__NA__NA__NA__NA__NA__Seq_034","7b0e28ba575b918bd4b81d7664d45482e69c6885","Seq_034"
"NA__NA__NA__NA__NA__NA__NA__Seq_035","65d1dd8204186cabd1e4900895b216e9fa9b298f","Seq_035"
"NA__NA__NA__NA__NA__NA__NA__Seq_036","63283ebd575153d54e2bc0a92a096c3cae26a821","Seq_036"
"NA__NA__NA__NA__NA__NA__NA__Seq_037","f2bc4405f2b55f7fbfb31331eb5215075f0ace3d","Seq_037"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_038","e49f29f531772e66d7044da181264083c6e69d6d","Seq_038"
"NA__NA__NA__NA__NA__NA__NA__Seq_039","201a50d0321078c342d8241e038cb52a5024648b","Seq_039"
"NA__NA__NA__NA__NA__NA__NA__Seq_040","4b8f6db311b209add62ecfbf4cc6c3ccf77fa2ac","Seq_040"
