"","tmp.hash","tmp.tx","wholetax.tg"
"1","fd7d89190e5c165cf36284ea0fca46c98216328c","Taxon_001","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii"
"2","d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9","Taxon_002","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"3","580a64b0134da56e49bf06482ed6ee164d8a6ec5","Taxon_003","Metazoa__NA__NA__NA__NA__NA__NA"
"4","8519a7f742cabfdb887dc2013feba40c4584b8db","Taxon_004","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana"
"5","c161735732d10ef81323d9b5812491897d2eb5ab","Taxon_005","Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA"
"6","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","Taxon_006","Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561"
"7","9bb9b0ca0ff04246c282a4ecaa318c8af7a948bb","Taxon_007","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"8","ddf5d8f01c176ab003be35dd8935dab512bf36c1","Taxon_008","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"9","dac66c6958eb6715abd0243ec2f5592da97cb1f5","Taxon_009","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"10","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8","Taxon_010","Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA"
"11","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","Taxon_011","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"12","d071447bb8ca2177c49e93535e90db16ffe738c3","Taxon_012","Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA"
"13","e49f29f531772e66d7044da181264083c6e69d6d","Taxon_013","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"14","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Taxon_014","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch"
"15","a56843c86d60d4423f69f4836868d31ea7eadf22","Taxon_015","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss"
"16","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","Taxon_016","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA"
"17","5dbce0075732b37e517721c275ba3c2e14e50196","Taxon_017","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"18","d375db6821a4402acdeffb3d216d4abdc355cd48","Taxon_018","Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Melospiza__Melospiza melodia"
"19","63a7d0273f9bdd41fc062c411d5c529730a67ff1","Taxon_019","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA"
"20","ca4009e9f4961a466d717e77ddddcf64a374073d","Taxon_020","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"21","358d0def35bc8bcf2711011fb63f7fc511496cc5","Taxon_021","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"22","71af3877e5027588b85b33c8f9610503cdf2af74","Taxon_022","Metazoa__Chordata__NA__NA__NA__NA__NA"
"23","deaadc11b0189c975741718d011ab0f6897f6066","Taxon_023","Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA"
"24","aa1a9c561aff3aedb076e617010399e8178046a1","Taxon_024","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"25","6f8881a957d250fa5317484de99986d421535178","Taxon_025","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"26","0502a89869e20d6586b3ccd464f94e1feaec8da0","Taxon_026","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"27","f22f946bfb36bec4651a7c53b06a54c54c649c6c","Taxon_027","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"28","35e334311044348b8d39fb275ce94e11c2cf361d","Taxon_028","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"29","8d4bbc6ce4b6ec02b439fdf354147ee4b4399269","Taxon_029","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"30","fe72cd5c92fc95d33982bc5916c5d015404e2977","Taxon_030","Metazoa__Chordata__Actinopteri__NA__NA__NA__NA"
"31","8ade38d6c1396cc32395e6773d53ae373734314c","Taxon_031","Metazoa__Chordata__Mammalia__Carnivora__Felidae__Lynx__Lynx rufus"
"32","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","Taxon_032","Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA"
