"","NGN0302","NGN0303","NGN0304","NGN0305","NGN0306","NGN0307","NGN0308","NGN0309","NGN0310","NGN0311","NGN0312","NGN0313","NGN0314","NGN0315","NGN0316","NGN0317","NGN0318","NGN0319","NGN0320","NGN0321","NGN0322","NGN0323","NGN0324","NGN0325","NGN0326","NGN0327","NGN0328","NGN0329","NGN0330","NGN0331","NGN0332","NGN0333","NGN0334","NGN0335","NGN0336","NGN0337","NGN0338","NGN0339"
"c88fbd921aee1b6d76ad6ff15825be8d2f748de7",343,689,0,31,0,0,0,0,0,174,2496,6298,2796,2648,0,0,0,643,846,105,0,134,1651,1877,0,0,0,0,0,464,407,1643,815,316,2182,2082,1864,0
"218bcd44eeb21aa6a3a3f19109ad92c828df0b5b",46,7,0,13,0,0,0,0,0,0,0,18,0,0,0,26,56,17,11,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"897938cd3d48d1c6fbd7a68fe5130ef6464d47c9",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"9cef33633184a750730a9faaf4192bcea9f1e597",0,543,494,943,0,962,409,3407,2875,4744,2415,6451,3388,740,0,3814,4388,973,1346,606,319,3388,5836,4635,1669,4345,7712,8778,230,248,341,0,0,8722,5236,5319,4453,0
"e40fb96052f16f440bd91a6725c01e58e4e41ec8",0,0,1937,0,0,0,0,0,0,0,0,20,0,1963,698,0,2235,0,0,0,0,0,990,734,1354,1874,117,89,0,0,0,0,0,0,0,0,0,0
"83424f2c63681ca93ee14c9ff6a10d4ab9b739fd",0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"0f5e5476e57373920e469bb97b617e664c3fea46",0,0,413,0,0,0,0,117,55,0,145,1171,320,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,16,815,1106,776,0
"a4127ed44196be51402f0b399ee77cc66e73edc7",0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33e70d115e4909b9f5b80f2598f8bfdb1355ca46",0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ec4ef237f97bc1a88c5f6ba4ed472e7373357b77",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
