"","NGN0302","NGN0303","NGN0304","NGN0305","NGN0306","NGN0307","NGN0308","NGN0309","NGN0310","NGN0311","NGN0312","NGN0313","NGN0314","NGN0315","NGN0316","NGN0317","NGN0318","NGN0319","NGN0320","NGN0321","NGN0322","NGN0323","NGN0324","NGN0325","NGN0326","NGN0327","NGN0328","NGN0329","NGN0330","NGN0331","NGN0332","NGN0333","NGN0334","NGN0335","NGN0336","NGN0337","NGN0338","NGN0339"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_01",343,689,0,31,0,0,0,0,0,174,2496,6298,2796,2648,0,0,0,643,846,105,0,134,1651,1877,0,0,0,0,0,464,407,1643,815,316,2182,2082,1864,0
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Taxon_02",46,7,0,13,0,0,0,0,0,0,0,18,0,0,0,26,56,17,11,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_03",0,543,494,943,0,962,409,3407,2875,4744,2415,6451,3388,740,0,3814,4388,973,1346,606,319,3388,5836,4635,1669,4345,7712,8778,230,248,341,0,0,8722,5236,5319,4453,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_04",24,0,2199,0,0,0,0,140,63,166,0,35,10,2699,698,484,2263,19,0,0,0,99,1166,734,1370,1874,117,92,0,61,20,0,7,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Taxon_05",0,0,37,0,0,0,22,0,0,0,0,0,0,0,11,0,18,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Metazoa__Chordata__NA__NA__NA__NA__NA__Taxon_06",0,0,413,0,0,0,0,117,55,0,206,1171,320,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,16,815,1106,776,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_07",0,0,0,4,0,0,0,0,0,0,10,0,0,103,0,33,928,0,0,5,0,0,0,6,5,0,0,0,0,106,0,0,40,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_08",0,0,0,1097,0,0,1293,0,0,0,0,0,0,0,0,0,0,1795,4766,4026,5204,0,0,0,0,0,0,0,0,605,517,377,792,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__NA__NA__Taxon_09",0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,213,302,0,0,0,0,0,0,0,0,0,7269,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_10",0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,598,595,339,179,0,0,0,0,0,0,0,212,4466,3328,0,0,0,0,0,0,0
