"","hash.id","tmp"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_0001","c88fbd921aee1b6d76ad6ff15825be8d2f748de7","Seq_0001"
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Seq_0002","218bcd44eeb21aa6a3a3f19109ad92c828df0b5b","Seq_0002"
"NA__NA__NA__NA__NA__NA__NA__Seq_0003","11119c69b99f06cf1478b462552c9f6f11cadd29","Seq_0003"
"NA__NA__NA__NA__NA__NA__NA__Seq_0004","187ce04570a0909e11f745ff1577f46cf4ac13cd","Seq_0004"
"NA__NA__NA__NA__NA__NA__NA__Seq_0005","28134a9bd352af6e8b3e381512e2332ca8520fb1","Seq_0005"
"NA__NA__NA__NA__NA__NA__NA__Seq_0006","a56f8c0c678f582bcf1c85df62340f8ce4e25457","Seq_0006"
"NA__NA__NA__NA__NA__NA__NA__Seq_0007","b26441ced909112dec5d401e8adde84947bff8f6","Seq_0007"
"NA__NA__NA__NA__NA__NA__NA__Seq_0008","48dd97eb9a0d33ff3c027c17be5d322981e05301","Seq_0008"
"NA__NA__NA__NA__NA__NA__NA__Seq_0009","b31b29c68af53281c7693d920dfba341aab6a6f7","Seq_0009"
"NA__NA__NA__NA__NA__NA__NA__Seq_0010","687fd3c7c451b63241a8b05022d3528d0f9355df","Seq_0010"
"NA__NA__NA__NA__NA__NA__NA__Seq_0011","ea42fdafe5c0a14b3ceddd71fffa06d2b5e0c783","Seq_0011"
"NA__NA__NA__NA__NA__NA__NA__Seq_0012","7794f33210ae58b5230c6eea902f62766e6c66af","Seq_0012"
"NA__NA__NA__NA__NA__NA__NA__Seq_0013","5576dbfe30509b3f53fbae95efd603135cf805aa","Seq_0013"
"NA__NA__NA__NA__NA__NA__NA__Seq_0014","d9e2244defe51c0c0fa0b61a22605c39b523c46e","Seq_0014"
"NA__NA__NA__NA__NA__NA__NA__Seq_0015","26b9a286bf82bba36ddcc0cb0813111f438984d0","Seq_0015"
"NA__NA__NA__NA__NA__NA__NA__Seq_0016","8ab71b5474010df346df4fb9df83c40f3ed91472","Seq_0016"
"NA__NA__NA__NA__NA__NA__NA__Seq_0017","bfc191505ea4e7f42a5a2f4e3f83fa452979d867","Seq_0017"
"NA__NA__NA__NA__NA__NA__NA__Seq_0018","e71d68ebf0bddc0f76826e041315d66cea05c8ff","Seq_0018"
"NA__NA__NA__NA__NA__NA__NA__Seq_0019","9efc1c8c854cca2556418a29a92a37f75fafed5e","Seq_0019"
"NA__NA__NA__NA__NA__NA__NA__Seq_0020","1da1bf3599cca716ff8b5cf7d2ca151f9d4846d6","Seq_0020"
"NA__NA__NA__NA__NA__NA__NA__Seq_0021","1d99e863155f0ac2725e6822372d0038a25a2983","Seq_0021"
"NA__NA__NA__NA__NA__NA__NA__Seq_0022","d3f178b65e1ef5eadf859c4b380902394adb115c","Seq_0022"
"NA__NA__NA__NA__NA__NA__NA__Seq_0023","c82e99bb2b44fce2e45d64a6b003aedf8b900639","Seq_0023"
"NA__NA__NA__NA__NA__NA__NA__Seq_0024","0e9307b749b58819070ff7c49b952bd84b09e2bf","Seq_0024"
"NA__NA__NA__NA__NA__NA__NA__Seq_0025","ae5ea5229016ca6083387d3b0270bb129e0633d8","Seq_0025"
"NA__NA__NA__NA__NA__NA__NA__Seq_0026","8e85f27f66c432750659e1c75a067324caafd32c","Seq_0026"
"NA__NA__NA__NA__NA__NA__NA__Seq_0027","e6a2e1624f5f8e5c8495b8c90d580410cf10e415","Seq_0027"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_0028","897938cd3d48d1c6fbd7a68fe5130ef6464d47c9","Seq_0028"
"NA__NA__NA__NA__NA__NA__NA__Seq_0029","7e257ff756b4478f37e459c8373bb97ad97dcdde","Seq_0029"
"NA__NA__NA__NA__NA__NA__NA__Seq_0030","beb10c40350446e8b624569f89ad7a0ca0856906","Seq_0030"
